"ADChub","Encryption","IPv6","Plugin","Hashalgorithms","Bloomfilter","ADCsupport","Other"
"ADCH++","Yes","Yes","Lua,Python,Ruby","Tigertreehash","Yes","TIGR,ADCS,PING",""
"ADCH++GUI","Yes","No","Python","Tigertreehash","Yes","TIGR,ADCS,PING",""
"DSHub","Yes","No","Java,Python","Tigertreehash","No","TIGR,ADCS,PING",""
"FLexHub","Linuxonly","No","No","Tigertreehash","No","TIGR,ADCS,PING",""
"Luadch","Yes","Yes","Lua","Tigertreehash","No","TIGR,ADCS,PING,KEYP,ASCH,SUDP,OSNR",""
"Nexthub","Yes","No","C#","Tigertreehash","No","TIGR,ADCS",""
"uhub","Yes","Yes","C","Tigertreehash","No","TIGR,ADCS,PING",""
"Qhub","?","?","?","Tigertreehash","No","TIGR",""
"StarletADCHub","No","No","No","Tigertreehash","No","TIGR",""
"Starhub","?","?","?","Tigertreehash","No","TIGR",""
"RusHub","No","?","No","Tigertreehash","No","TIGR",""
"ADChub","Encryption","IPv6","Plugin","Hashalgorithms","Bloomfilter","ADCsupport","Other"
