"Firstsuccess","LEO","GTO/GEO","Notes"
"11Feb1970","L-4S(26kg)","","Firstlaunchwas1966(failed4times)."
"24Apr1970","CZ-1(0.3t)","","Firstlaunchfailedin1969."
"26Jul1975","FB-1(2.5t)","","Suborbitalflightwasperformedin1972.CZ-2A(LEO2t)failedin1974."
"12Aug1986","H-I(LEO3.2t/GTO1.1t)","H-I(LEO3.2t/GTO1.1t)","Firststagewasalicense-builtDeltarocket."
"16Jul1990","CZ-2E(LEO9.2t/GTO3.5t)","CZ-2E(LEO9.2t/GTO3.5t)",""
"3Feb1994","H-II(LEO10.1t/GTO3.9t)","H-II(LEO10.1t/GTO3.9t)",""
"20Aug1997","CZ-3B(LEO12t/GTO5.2t)","CZ-3B(LEO12t/GTO5.2t)",""
"18Dec2006","H-IIA204(LEO15t/GTO5.8t)","H-IIA204(LEO15t/GTO5.8t)",""
"10Sep2009","H-IIB(LEO19t/GTO8t)","H-IIB(LEO19t/GTO8t)",""
"3Nov2016","H-IIB(LEO19t)","CZ-5(GTO14t)",""
"5May2020","CZ-5(LEO25t/GTO14t)","CZ-5(LEO25t/GTO14t)",""
