"","HTML5standard","HTMLwebbrowserfeatures","AdobeFlash/AIRfeatures"
"Datestarted","Workbeganin2003WorkingDraftasof2011","N/A","Workbeganin1996Version1releasedin1997"
"Desktopoperatingsystems","N/A","AmigaOS,MorphOS,ApplemacOS,Linux,MicrosoftWindows","ApplemacOS,Linux,MicrosoftWindows"
"Mobileoperatingsystems","N/A","Android2.3andnewerAppleiOS6andnewerChromeOSSymbianBelleBlackBerryOS7and10WindowsPhone7andnewer","Android2.1to4.1AppleiOS(AdobeAIRonly)BlackBerry10(uptoOS10.3.0)BlackBerryTabletOSWindowsRT"
"Videogameconsoles","N/A","PlayStation(PS4,PS3andPSVita)NintendoSwitchandWiiUNintendo3DSfamily(partial)XboxOneandXbox360","PlayStation3(Flash9.1)andPSP(Flash6)Wii(FlashLite3.1,equivalenttoFlash8)Leapster(Flash5forgames)Dreamcast(Flash4)"
"Devicesupport","N/A","Full,permission-basedaccesstowebcamera,microphone,accelerometerandGPS","Full,permission-basedaccesstowebcamera,microphone,accelerometerandGPS"
"Marketpenetration","N/A","82.3%ofwebsites(asofMarch28,2020)","4.5%ofwebsites(asofApril19,2018)"
"Browsersupport","N/A","97.5%ofbrowserinstallations(asofFebruary2020)","29%ofbrowserinstallations(asofJuly2019)"
"Vectorgraphicsformats","N/A","ScalableVectorGraphics(SVG)supportedon~97%ofbrowsers","SWFwithembeddedgraphicsandAS3SVGRenderer"
"Bitmapeffects","Yes","90+%supportofFiltersinCSS3(e.g.Glow,Blur,DropShadow,Sepia)","Yes,appliedtotextorgraphics(e.g.Glow,DropShadow,Bevel)"
"Vectortextdisplay","Yes","Yes","Yes,withSaffronTypeSystem"
"Fontsupport","N/A","InstalledfontsandcustomfontsusingCSS3webfonts","Installedfontsandembeddedfonts"
"Textanti-aliasing","N/A","Yes,implementedinmostbrowsers,forsystemandcustomfonts","Yes,inmostcases"
"Texttabstops","No","Onlysupportedinside""pre""tags","Yes,withTextLayoutFramework"
"Liquidtextlayout","Yes","Yes,via""div""tagandCSSstyling","No,buttextfieldscanberesizedinActionScript"
"Tabulardata","Yes","Yes,via""table""tag","No,buttextfieldscanbearrangedintoagrid"
"Linkedtextframes","Asof2016,twospecificationscompete:CSSRegionsandCSSOverflow","WithCSSRegions,supportedbySafari,IE11andEdge","Yes,withTextLayoutFramework"
"Programminglanguages","Depends","JavaScript","ActionScript,PixelBender"
"C++support","Cross-compilingC++codetoJavaScriptviaEmscripten","SupportedwithWebAssembly","Cross-compilingC++codetoruninFlashPlayerviaFlasCCAIRhasAIRNativeExtensionsthatallowloadingnativecode,suchascompiledC++code."
"Codedeliveryformat","Plaintext","PlaintextJavaScriptwithlimitedobfuscation,WebAssemblybytecode,GLSLforGPUs,inCanvaselements","Compiledbytecode,canbeobfuscated"
"Dataformats","Depends","CSS3,HTML,XML,JSON","JSON,XML,SubsetofCSS1"
"Datacompression","No","GZIPcompressionforHTML,JSandCSSfiles","LZMAorDEFLATEforSWFfiles"
"Imageformats","Depends","PNG,JPEG,SVG,AnimatedGIF","PNG,JPEG,JPEG-XR,Single-frameGIF"
"Videoformats","Depends","90+%supportofH.264;varyingsupportofWebMandOggTheora(seeHTML5video)","H.264,SorensonSpark,andOn2VP6"
"Streamingvideo","Yes","SupportedbyIE,Edge,Firefox,Chrome,SafariandOpera.","FlashVideo,H.264andpartialsupportforMP4"
"Audioformats","Depends","~94%supportofMP3,AACandWAVPCM;varyingsupportofOggVorbis,andWebMVorbis(seeHTML5audio)","MP3,WAVandAACaudiofilesorembeddedsound"
"Fullscreensupport","Yes","Supportedonallmajordesktopbrowsers,withwarningdisplayed.Notyetwidelysupportedonmobile","Yes,withwarningdisplayed"
"EncryptionDRM","Depends","~65%supportofaudio/videofiles.Allotherfilesbeingplaintext,exceptforobfuscation","No,binaryformattedfilescanbedecompiled,whichisobfuscation"
"Filesystemaccess","Depends","Singlefileupload,anddraganddropoffilesontobrowser","Supportforsinglefileuploadandgeneration,AIRonly:fullcreate/read/writeaccesstofilesystem"
"Bitmapmanipulation","Depends","~95%supportforcanvaselement","Yes,viaBitmapDataclass"
"Binarymanipulation","Yes","Yes,viaJavaScriptTypedArrays","Yes,viaByteArrayclass"
"Largebinarydata","No","ViaWebSocketstostreambinaryorotherdata","Yes,embeddedorstreamingbinarydata"
"Offlinestorage","Depends","Yes,viaWebstorage,HTTPcookie,orIndexedDBtostorebinary,XMLorJSONdata","Yes,viaLocalSharedObjectstostoreAMF-formatteddata"
"Metadata","Metatags","Canbeincludedinmetatags","ExtensibleMetadataPlatform"
