"Editor","Windows","OSX","Linux","BSD","Unix","iOS","Android"
"Amaya","Terminated2012","Terminated2012","Terminated2012","Terminated2012","Terminated2012","No","No"
"Aptana","Yes","Yes","Yes","Yes","No","No","No"
"Arachnophilia","Yes","Yes","Yes","Yes","No","No","No"
"Atom","Yes","Yes","Yes","No","No","No","No"
"Bluefish","Yes","Yes","Yes","Yes","Yes","No","No"
"BlueGriffon","Yes","Yes","Yes","No","No","No","No"
"Brackets","Yes","Yes","Yes","No","No","No","No"
"ClarisHomepage","Terminated(3.0)","No","No","No","No","No","No"
"Codelobster","Yes","No","No","No","No","No","No"
"CoffeeCupHTMLEditor","Yes","Yes","No","No","No","No","No"
"CudaText","Yes","Yes","Yes","Yes","Yes","No","No"
"Contribute","Yes","Yes","No","No","No","No","No"
"Dreamweaver","Yes","Yes","No","No","No","No","No"
"EZGenerator","Yes","No","No","No","No","No","No"
"Freeway","No","Yes","No","No","No","No","No"
"GoLive","Terminated(9.0)","Terminated(9.0)","No","No","No","No","No"
"HTML-Kit","Yes","No","No","No","No","No","No"
"KompoZer","Yes","Yes","Yes","Yes","No","No","No"
"LibreOffice","Yes","Yes","Yes","sourceonly","sourceonly","No","No"
"Maqetta","Yes","Yes","Cloud","Cloud","No","No","No"
"MicrosoftExpressionWeb","Yes","No","No","No","No","No","No"
"MicrosoftFrontPage","Terminated(2003)","No","No","No","No","No","No"
"MicrosoftSharePointDesigner","Yes","No","No","No","No","No","No"
"MicrosoftVisualWebDeveloper","Yes","No","No","No","No","No","No"
"WebArchitect","Yes","No","No","No","No","No","No"
"Mobirise","Yes","Yes","No","No","No","No","Yes"
"MozillaComposer","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","Terminated(1.7.13)","No","No"
"Nvu","Terminated(1.0)","Terminated(1.0)","Terminated(1.0)","Terminated(1.0)","No","No","No"
"openElement","Yes","No","No","No","No","No","No"
"OpenOffice.org","Yes","Yes","Yes","sourceonly","sourceonly","No","No"
"oXygenXMLEditor","Yes","Yes","Yes","Yes","Yes","No","No"
"QuantaGold(deprecated)","Yes","Yes","Yes","No","No","No","No"
"QuantaPlus","No","Terminated2009","Terminated2009","Terminated2009","Terminated2009","No","No"
"RocketCake","Yes","Yes","No","No","No","No","No"
"SeaMonkeyComposer","Yes","Yes","Yes","Yes","Yes","No","No"
"TOWeb","Yes","No","No","No","No","No","No"
"WebStormIDE","Yes","Yes","Yes","Yes","Yes","No","No"
"Editor","Windows","OSX","Linux","BSD","Unix","iOS","Android"
