"Specification","HTML3.2","HTML4.01","HTML4.01","XHTML1.0","XHTML1.0","HTML4.01","HTML5","XHTML1.0","XHTML1.1","Validating"
"Variant","","strict","trans.","f.set","","strict","trans.","f.set","",""
"Amaya","No","No","Yes","No","No","Yes","Yes","No","Yes","Yes"
"Aptana","?","Yes","Yes","?","Yes","Yes","Yes","Yes","Yes","?"
"Arachnophilia","?","?","?","?","No","Yes","?","?","?","Yes"
"Bluefish","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon","No","Yes","Yes","?","Yes","Yes","Yes","?","?","?"
"Brackets","?","?","?","?","Yes","?","?","?","?","?"
"ClarisHomepage","?","?","?","?","No","?","?","?","?","?"
"Codelobster","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"CoffeeCupHTMLEditor","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Contribute","?","?","?","?","?","?","?","?","?","?"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Freeway","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes"
"GoLive","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","?"
"HTML-Kit","?","?","Yes","?","No","?","Yes","?","?","Yes"
"LibreOffice","?","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?"
"KompoZer","No","Yes","Yes","No","No","Yes","Yes","No","No","Yes"
"Maqetta","?","?","?","?","Yes","?","?","?","?","?"
"MicrosoftExpressionWeb","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"MicrosoftFrontPage","?","?","?","?","No","?","?","?","?","?"
"MicrosoftSharePointDesigner","?","?","?","?","No","?","?","?","?","?"
"MicrosoftVisualWebDeveloper","?","?","?","?","No","?","?","?","?","?"
"MozillaComposer","?","?","?","?","No","?","?","?","?","?"
"openElement","?","?","?","?","Yes","?","?","?","?","Yes"
"OpenOffice.org","?","Yes","Yes","?","Yes","Yes","Yes","?","Yes","?"
"oXygenXMLEditor","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"QuantaGold","?","?","?","?","No","?","?","?","?","?"
"QuantaPlus","?","?","?","?","No","?","?","?","?","?"
"RocketCake","?","?","Yes","?","Yes","?","?","?","?","?"
"SeaMonkeyComposer","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"TOWeb","No","No","No","No","Yes","No","No","No","No","Yes"
"WebArchitect","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WebStormIDE","?","?","?","?","Yes","?","?","?","?","?"
"Variant","","strict","trans.","f.set","","strict","trans.","f.set","",""
"Specification","HTML3.2","HTML4.01","HTML4.01","XHTML1.0","XHTML1.0","HTML4.01","HTML5","XHTML1.0","XHTML1.1","Validating"
