"C++","Java"
"ExtendsCwithobject-orientedprogrammingandgenericprogramming.Ccodecanmostproperlybeused.","StronglyinfluencedbyC++/Csyntax."
"CompatiblewithCsourcecode,exceptforafewcornercases.","ProvidestheJavaNativeInterfaceandrecentlyJavaNativeAccessasawaytodirectlycallC/C++code."
"Writeonce,compileanywhere(WOCA).","Writeonce,runanywhere/everywhere(WORA/WORE)."
"Allowsproceduralprogramming,functionalprogramming,object-orientedprogramming,genericprogramming,andtemplatemetaprogramming.Favorsamixofparadigms.","Allowsproceduralprogramming,functionalprogramming(sinceJava8)andgenericprogramming(sinceJava5),butstronglyencouragestheobject-orientedprogrammingparadigm.Includessupportforcreatingscriptinglanguages."
"Runsasnativeexecutablemachinecodeforthetargetinstructionset(s).","Runsonavirtualmachine."
"Providesobjecttypesandtypenames.Allowsreflectionviarun-timetypeinformation(RTTI).","Isreflective,allowingmetaprogramminganddynamiccodegenerationatruntime."
"Hasmultiplebinarycompatibilitystandards(commonlyMicrosoft(forMSVCcompiler)andItanium/GNU(foralmostallothercompilers)).","Hasonebinarycompatibilitystandard,cross-platformforOSandcompiler."
"Optionalautomatedboundschecking(e.g.,theat()methodinvectorandstringcontainers).","Alloperationsarerequiredtobebound-checkedbyallcompliantdistributionsofJava.HotSpotcanremoveboundschecking."
"Nativeunsignedarithmeticsupport.","Nativeunsignedarithmeticunsupported.Java8changessomeofthis,butaspectsareunclear."
"Standardizedminimumlimitsforallnumericaltypes,buttheactualsizesareimplementation-defined.Standardizedtypesareavailableviathestandardlibrary<cstdint>.","Standardizedlimitsandsizesofallprimitivetypesonallplatforms."
"Pointers,references,andpass-by-valuearesupportedforalltypes(primitiveoruser-defined).","Alltypes(primitivetypesandreferencetypes)arealwayspassedbyvalue."
"Memorymanagementcanbedonemanuallyvianew/delete,automaticallybyscope,orbysmartpointers.Supportsdeterministicdestructionofobjects.GarbagecollectionABIstandardizedinC++11,thoughcompilersarenotrequiredtoimplementgarbagecollection.","Automaticgarbagecollection.Supportsanon-deterministicfinalize()method,useofwhichisnotrecommended."
"Resourcemanagementcanbedonemanuallyorbyautomaticlifetime-basedresourcemanagement(RAII).","Resourcemanagementmustgenerallybedonemanually,orautomaticallyviafinalizers,thoughthisisgenerallydiscouraged.Hastry-with-resourcesforautomaticscope-basedresourcemanagement(version7onwards).ItcanalsobedoneusingtheinternalAPIsun.misc.UnsafebutthatusageishighlydiscouragedandwillbereplacedbyapublicAPIinanupcomingJavaversion."
"Supportsclasses,structs(passivedatastructure(PDS)types),andunions,andcanallocatethemontheheaporthestack.","Classesareallocatedontheheap.JavaSE6optimizeswithescapeanalysistoallocatesomeobjectsonthestack."
"Allowsexplicitlyoverridingtypes,andsomeimplicitnarrowingconversions(forcompatibilitywithC).","Rigidtypesafetyexceptforwideningconversions."
"TheC++StandardLibrarywasdesignedtohavealimitedscopeandfunctions,butincludeslanguagesupport,diagnostics,generalutilities,strings,locales,containers,algorithms,iterators,numerics,input/output,randomnumbergenerators,regularexpressionparsing,threadingfacilities,typetraits(forstatictypeintrospection)andStandardCLibrary.TheBoostlibraryoffersmorefunctionsincludingnetworkI/O.Arichamountofthird-partylibrariesexistforGUIandotherfunctionslike:AdaptiveCommunicationEnvironment(ACE),Crypto++,variousXMPPInstantMessaging(IM)libraries,OpenLDAP,Qt,gtkmm.","Thestandardlibraryhasgrownwitheachrelease.Byversion1.6,thelibraryincludedsupportforlocales,logging,containersanditerators,algorithms,GUIprogramming(butnotusingthesystemGUI),graphics,multi-threading,networking,platformsecurity,introspection,dynamicclassloading,blockingandnon-blockingI/O.ItprovidedinterfacesorsupportclassesforXML,XSLT,MIDI,databaseconnectivity,namingservices(e.g.LDAP),cryptography,securityservices(e.g.Kerberos),printservices,andwebservices.SWTofferedanabstractionforplatform-specificGUIs,butwassupersededbyJavaFXinthelatestreleases;allowingforgraphicsaccelerationandCSS-themableUIs.Althoughitdoesn'tsupportanykindof""nativeplatformlook""support."
"Operatoroverloadingformostoperators.Preservingmeaning(semantics)ishighlyrecommended.","Operatorsarenotoverridable.Thelanguageoverrides+and+=fortheStringclass."
"Singleandmultipleinheritanceofclasses,includingvirtualinheritance.","Onlysupportssingleinheritanceofclasses."
"Compile-timetemplates.AllowsforTuringcompletemeta-programming.","Genericsareusedtoachievebasictype-parametrization,buttheydonottranslatefromsourcecodetobytecodeduetotheuseoftypeerasurebythecompiler."
"Functionpointers,functionobjects,lambdas(inC++11),andinterfaces.","Functionsreferences,functionobjectsandlambdaswereaddedinJava8.Classes(andinterfaces,whichareclasses)canbepassedasreferencesaswellthroughSomeClass.classandsomeObject.getClass()."
"Nostandardinlinedocumentationmechanism.Third-partysoftware(e.g.Doxygen)exists.","ExtensiveJavadocdocumentationstandardonallsystemclassesandmethods."
"constkeywordfordefiningimmutablevariablesandmemberfunctionsthatdonotchangetheobject.Const-nessispropagatedasameanstoenforce,atcompile-time,correctnessofthecodewithrespecttomutabilityofobjects(seeconst-correctness).","finalprovidesaversionofconst,equivalenttotype*constpointersforobjectsandconstforprimitivetypes.Immutabilityofobjectmembersachievedviaread-onlyinterfacesandobjectencapsulation."
"Supportsthegotostatement.","Supportslabelswithloopsandstatementblocks.gotoisareservedkeywordbutismarkedas""unused""intheJavaspecification."
"Sourcecodecanbewrittentobecross-platform(canbecompiledforWindows,BSD,Linux,macOS,Solaris,etc.,withoutmodification)andwrittentouseplatform-specificfeatures.Typicallycompiledintonativemachinecode,mustberecompiledforeachtargetplatform.","CompiledintoJavabytecodefortheJVM.BytecodeisdependentontheJavaplatform,butistypicallyindependentofoperatingsystemspecificfeatures."
