"OLAPserver","Company","Website","Lateststableversion","Softwarelicense","Licensepricing"
"ApacheDruid","ApacheSoftwareFoundation","","0.21.0","Apache2.0","free"
"ApacheKylin","ApacheSoftwareFoundation","","3.1.0","Apache2.0","free"
"ApachePinot","ApacheSoftwareFoundation","","0.7.1","Apache2.0","free"
"ClickHouse","ClickhouseInc","","21.12","Apache2.0","free"
"Essbase","Oracle","","21.1","Proprietary","[1]"
"IBMCognosTM1","IBM","","10.2.2FP7","Proprietary","-"
"icCube","icCube","","6.8.9","Proprietary","community/[2]"
"JedoxOLAPServer","Jedox","","2019.3","Proprietary","[3]"
"Kyvos","KyvosInsights","","2021.3","Proprietary","-"
"MicrosoftAnalysisServices","Microsoft","","2016","Proprietary","[4]"
"MondrianOLAPserver","Pentaho","","3.7","EPL","free"
"OracleDatabaseOLAPOption","Oracle","","11gR2","Proprietary","[5]"
"SAPNetWeaverBW","SAP","","7.30","Proprietary","-"
"SASOLAPServer","SASInstitute","","9.4","Proprietary","-"
