"OLAPserver","RealTime","Write-back","Partitioning","UsageBasedOptimizations","LoadBalancingandClustering"
"ApacheDruid","Yes","?","Yes","Yes","Yes"
"ApacheKylin","Yes","No","Yes","Yes","Yes"
"ApachePinot","Yes","Yes","Yes","Yes","Yes"
"ClickHouse","Yes","Yes","Yes","Yes","Yes"
"Essbase","Yes","Yes","Yes","Yes","Yes"
"IBMCognosBI","Yes","No","Yes","Yes","?"
"IBMCognosTM1","Yes","Yes","Yes","?","?"
"icCube","Yes","Yes","Yes","?","?"
"JedoxOLAPServer","Yes","Yes","Yes","?","?"
"Kyvos","Yes","Yes","Yes","Yes","Yes"
"MicrosoftAnalysisServices","Yes","Yes","Yes","Yes","Yes"
"MicroStrategyIntelligenceServer","?","Yes","Yes","Yes","Yes"
"MondrianOLAPserver","Yes","Planned","Yes","?","?"
"OracleDatabaseOLAPOption","?","Yes","Yes","No","?"
"SAPNetWeaverBW","?","Yes","Yes","?","?"
"SASOLAPServer","?","Yes","Yes","?","?"
