"OLAPserver","Windows","Linux","UNIX","z/OS","AIX"
"ApacheDruid","No","Yes","Yes","",""
"ApacheKylin","No","Yes","Yes","No","No"
"ApachePinot","Yes","Yes","Yes","Yes","Yes"
"ClickHouse","No","Yes","Yes","No","No"
"Essbase","Yes","Yes","Yes","No","Yes"
"IBMCognosTM1","Yes","Yes","Yes","No","Yes"
"icCube","Yes","Yes","Yes","Yes","Yes"
"JedoxOLAPServer","Yes","Yes","Yes","No",""
"Kyvos","No","Yes","Yes","No","No"
"MicrosoftAnalysisServices","Yes","No","No","No",""
"MicroStrategyIntelligenceServer","Yes","Yes","Yes","No","Yes"
"MondrianOLAPserver","Yes","Yes","Yes","Yes",""
"OracleDatabaseOLAPOption","Yes","Yes","Yes","Yes",""
"SAPNetWeaverBW","Yes","Yes","Yes","Yes",""
"SASOLAPServer","Yes","Yes","Yes","Yes",""
