"","Version","Operatingsystems","Officesuite","Developer","License","ECMA-376","ISO/IEC29500:2008","Notes"
"ButlerOfficeProX","2.2.0","MacOSX","ButlerOfficeProX","ButlerSoftwareSolutions","Proprietary","Yes","","Fullsupportviaemail"
"CollaboraOffice","Allversions","Windows,macOS,Linux,Android,iOS,iPadOS,ChromeOSChromebooks","CollaboraOffice","Collabora","MPL","Yes","Yes",""
"CollaboraOnline","Allversions","Webapplication","CollaboraOnline","Collabora","MPL","Yes","Yes",""
"DataVizSlideshowToGo","11.000","PalmOS,WindowsMobile,Symbian(UIQ,S80)","DocumentsToGo","DataViz","Proprietary","Yes","",""
"EIOfficePresentation","2009,5.0.1272.101","Windows,Linux","EIOffice","EvermoreSoftware","Proprietary","Yes","","Importonly"
"Go-ooImpress","3.0.0","Windows,Linux,Unix,MacOSX","Go-oo","Freesoftwarecommunity","LGPL,CDDL","Yes","","Importonly"
"IBMLotusSymphony","1.3","Windows,MacOSX,Linux","IBMLotusSymphony","IBM","Proprietary","Yes","","Importonly"
"Keynote","'08","MacOSX","iWork","AppleInc.","Proprietary","Yes","",""
"LibreOffice","Allversions","Windows,macOS,Linux,Unix","LibreOffice","TheDocumentFoundation","MPL","Yes","Yes",""
"MicrosoftOfficePowerPoint","2013,2011forMac","Windows,MacOSX","MicrosoftOffice","Microsoft","Proprietary","Yes","Yes",""
"MicrosoftOfficeMobilePowerPointMobile","6.1","WindowsMobile","MicrosoftOfficeMobile","Microsoft","Proprietary","Yes","",""
"NeoOfficeImpress","2.2.5","MacOSX","NeoOffice","PatrickLuby,EdwardPeterlin","GPL","Yes","",""
"ONLYOFFICE","5.2","Webapplication","ONLYOFFICE","AscensioSystemSIA","Proprietary,AGPL","Yes","",""
"OpenOffice.orgImpress","3.0","Windows,Linux,Unix,MacOSX","OpenOffice.org","OpenOffice.org","LGPL","Yes","","Importonly"
"CorelPresentations","X4(2008)","Windows","WordPerfectOffice","Corel","Proprietary","Yes","","Importonly"
"StarOfficeImpress","9","Windows,Linux,Solaris","StarOffice","SunMicrosystems","Proprietary","Yes","","Importonly"
"ThinkfreeOfficeShow","","Windows,MacOSX,Linux","ThinkfreeOffice","ThinkFreeCorp","Proprietary","Yes","",""
"","Version","Operatingsystems","Officesuite","Developer","License","ECMA-376","ISO/IEC29500:2008","Notes"
