"Distribution","Approximatenumberofpackages","Packageformat/tools","Defaultinstaller","Graphicalinstallationprocedure"
"BeleniX","?","RPM","?","?"
"NexentaOS","?","APT","?","?"
"NexentaStor","?","?","?","?"
"OmniOS","1032","IPS","Kayak","No"
"OpenIndiana","4600","IPS","Caiman","Yes"
"SmartOS","?","pkgsrc/pkgin","N/A(livesystem)","N/A"
"Tribblix","130","SVR4","N/A(livesystem)","N/A"
"v9os","?","IPS","?","No"
"Distribution","Approximatenumberofpackages","Packageformat/tools","Defaultinstaller","Graphicalinstallationprocedure"
