"Name","License","Cost","OSX","Unix-like","Windows","Audio","Images","Video","Transcoding","WebInterface","DLNAsupport","Multilingual","Implementation","Subtitles","StillSupported","Misc."
"360MediaServer","GPL","Free","No","Yes","Yes","Yes","No","No","Yes","Yes","Unknown","Unknown","Java","Unknown","No",""
"ALLMediaServer","GPL","Trialware","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Delphi/Python","Yes","Yes",""
"ArkMS","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C++","Yes","Yes",""
"aViaMediaPlayer","Prop.","Free","No","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Java","Unknown","Yes",""
"BRisa","MIT","Free","Partial","Partial","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Python","Unknown","Unknown",""
"Coherence","MIT","Free","Partial","Partial","Partial","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Python","Unknown","No",""
"DivX","Prop.","Free","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","C++","Unknown","Yes",""
"ElgatoEyeconnect","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Yes","Unknown","Unknown","No",""
"Foobar2000","Prop.","Free","No","No","Yes","Yes","No","No","Yes","No","Unknown","Unknown","C++","Unknown","Yes",""
"FUPPES","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Unknown","C++","Unknown","No",""
"GeeXboXuShare","GPL","Free","No","Yes","No","Yes","Yes","Yes","No","Yes","Yes","Unknown","C","Unknown","No",""
"Gmediaserver","GPL","Free","No","Yes","No","Yes","No","Yes","No","No","Unknown","Unknown","C","Unknown","No",""
"HomeMediaCenter","GPLv2","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",".NET4","Yes","Yes",""
"HomeMediaServer","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi","Yes","Yes",""
"iSedoraMediaServer","Prop.","Non-free","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","ObjectiveC/C++/JavaScript","Unknown","Yes",""
"Jamcast","Prop.","Free","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Unknown","C++/C#/Java","Unknown","Yes",""
"JRiverMediaCenter","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"Kodi(formerlyXBMC)","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","C++","Yes","Yes",""
"KooRaRooMedia","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"LimboMedia","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes",""
"LXiMedia","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes,mandatory","Yes","Yes","Unknown","C++","Yes","No",""
"MajesticMediaServer","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Unknown","Unknown","Unknown",""
"MediaMonkey","Prop.","Non-free","No","No","Yes","Yes","No","Yes","Yes","No","Yes","Yes","Delphi","Yes","Yes",""
"MediaTomb","GPL","Free","Partial","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","No",""
"Gerbera","GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","C++","Unknown","Yes","BasedonMediaTomb"
"ReadyMedia(formerlyMiniDLNA)","GPL/BSD","Free","Partial","Yes","Yes","Yes","Yes","Yes","Partial","Partial","Yes","Unknown","C","Yes","Yes",""
"Mezzmo","Prop.","Free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++","Yes","Yes",""
"myiHome","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Unknown","Unknown","Java","Unknown","Unknown",""
"MythTVwithuPnP","GPL","Free","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","C++","Unknown","Unknown",""
"NullriverMedialink","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","Unknown","Unknown","Yes","Unknown",""
"PlayOn","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C#","Partial","Unknown",""
"Plex","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","C++/Python","Yes","Yes",""
"PS3MediaServer","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","No",""
"PyMedS","MIT","Free","Partial","Partial","No","Unknown","Unknown","Unknown","Yes","No","Unknown","Unknown","Python","Unknown","No",""
"Rygel","LGPLv2","Free","No","Yes","No","Yes","Yes","Yes","Yes","No","Yes","Yes","Vala","Unknown","Yes",""
"Rivet","Prop.","Free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No",""
"Serviio","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Partial","Unknown",""
"SimpleCenterPremium","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown","Unknown","Unknown",""
"Skifta","Prop.","Free","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Unknown","Java","Unknown","Unknown",""
"Songbird","GPLv2","Free","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","C++","No","No",""
"TVble","Prop.","Free","No","No","Yes","Yes","Yes","Yes","No","Yes","Yes","No","C#/C++","Unknown","Yes",""
"TVersity","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Yes","Yes",""
"TVMOBiLi","Prop.","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Partial","C++","Yes","No",""
"TVShare","Prop.","Non-free","No","No","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown","Java","Unknown","Unknown",""
"TwonkyMediaserver","Prop.","Non-free","Yes","Yes","Yes","Yes","Yes","Yes","Partial","Yes","Yes","Yes","Unknown","Unknown","Yes",""
"UniversalMediaServer","GPL","Free","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Java","Yes","Yes","BasedonPS3MediaServer"
"WindowsMediaConnect","Prop.","Free","No","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Unknown","Unknown","Yes",""
"WildMediaServer","Prop.","Trialware","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Delphi","Yes","Yes",""
"xupnpd","GPLv2","Free","No","Yes","No","Yes","Unknown","Yes","No","Yes","Yes","Unknown","C++","Unknown","Unknown",""
"YazsoftPlayback","Prop.","Non-free","Yes","No","No","Yes","Yes","Yes","No","No","Unknown","Unknown","Unknown","Unknown","No",""
"Name","License","Cost","OSX","Unix-like","Windows","Audio","Images","Video","Transcoding","WebInterface","DLNAsupport","Multilingual","Implementation","Subtitles","StillSupported",""
