"","KDESoftwareCompilation","GNOME","Mate","Cinnamon","Xfce","LXDE","ROXDesktop","Étoilé","EDE","Enlightenment"
"Xwindowmanager","KWin","Mutter","Marco","Muffin","Xfwm4","Openbox","OroboROX","Azalea","edewm","Enlightenment"
"Xdisplaymanager","KDM,SDDM","GDM","","LightDM","","LXDM","","","elma","Entrance"
"Filemanager","Dolphin(KonquerorbeforeSC4)","Files","Caja","Nemo","Thunar","PCManFM","ROXFiler","","Efiler","EFM,Entropy"
"Widgettoolkit","Qt","GTK","GTK","GTK","GTK","GTK+(legacy)/Qt","GTK","GNUstep","FLTK(previouslyeFLTK)","Elementary"
"Terminalemulator","Konsole","GNOMETerminal","MATETerminal","GNOMETerminal","Terminal","LXTerminal","ROXTerm","aterm","","Terminology"
"Texteditor","KWrite(KatebeforeSC4)","gedit","Pluma","Xed","Mousepad,Leafpad","Leafpad","Edit","TextEdit","","Eyesight,Ecrire"
"Videoplayer","DragonPlayer(KaffeinebeforeSC4)","Videos","","Celluloid","Parole","lxine","mplayer-rox","","","Enna(mediacenter),Eclair"
"Audioplayer","JuK,Amarok","Banshee,Rhythmbox","","","Parole","LXMusic","MusicBox","Melodie","","Enjoy"
"CDburners","K3b","Brasero","","","Xfburn","","RoxISO","","",""
"CDripper","K3b,KAudioCreator","SoundJuicer","","","","","Ripper","","","Extrackt"
"Imageviewer","Gwenview","EyeofGNOME","EyeofMATE","Xviewer","Ristretto","GPicView","Picky","","Eimage","Ephoto"
"Officesuite","CalligraSuite,KOffice","GnomeOffice","","","","","","","",""
"Webbrowser","Konqueror,Falkon","Web","","","Midori","","","","","Eve"
"E-mailclient","Kmail","Evolution","","","","","GNUMail","","",""
"Personalinformationmanager","Kontact","Evolution","","","","","Contacts","","",""
"Instantmessenger","Kopete,KDETelepathy","Empathy","","","","","","","","Shotgun"
"Archivemanager","Ark","ArchiveManager","Engrampa","ArchiveManager","Xarchiver,Squeeze","Xarchiver","Archive","","",""
"PDFviewer","Okular(KPDFbeforeSC4)","Evince","Atril","Xreader","","","","Vindaloo","","Epdf"
"IDE","KDevelop","Anjuta,GNOMEBuilder","","","","","","Gorm,ProjectCenter","","EDI"
"Xsessionmanager","ksmserver","gnome-session","mate-session","cinnamon-session","Xfce4-session","LXSession","ROX-Session","","",""
"Widgetengine","built-in–Plasma(SuperKarambabeforeSC4)","gDesklets","","","","","","","","Elementary"
"Licensesused","GPL,LGPL,BSD,others","GPL,LGPL","GPL,LGPL","GPLv2(orlater)","GPL,LGPL,BSD","GPL,LGPL","GPL","GPL,BSD","GPL,LGPL","BSD,LGPL"
"","KDESoftwareCompilation","GNOME","MATE","Cinnamon","Xfce","LXDE","ROXDesktop","Étoilé","EDE","Enlightenment"
