"Audioplayer","Audio","Audio","Audio"
"Audioplayer","CD","DVD-Audio","HDCD"
"AIMP","Yes","No","No"
"Amarok","Partial","No","No"
"aTunes","No","No","No"
"Audacious","Yes","No","No"
"Audion","Yes","No","No"
"cmus","No","No","No"
"Cog","No","No","No"
"foobar2000","Yes","Yes(plugin)","Yes(plugin)"
"JuK","Yes","No","No"
"JRiverMediaCenter","Yes","Yes","Yes"
"MediaMonkey","Yes","No","No"
"MusicBee","Yes","Yes","Yes"
"MusicmatchJukebox","Yes","No","No"
"musikCube","Yes","No","No"
"Rhapsody","Yes","No","No"
"Rhythmbox","Yes","No","No"
"Sonique","Yes","No","No"
"Winamp","Yes","No","No"
"XMMS","Yes","No","No"
"Zinf","Yes","No","No"
"Audioplayer","CD","DVD-Audio","HDCD"
"Audio","Audio","Audioplayer","Audio"
