"Audioplayer","AVI","ASF","QuickTime","Ogg","OGM","Matroska","MP4","MPEG-21","NUT","FLV"
"AIMP","No","Yes","No","Yes","No","No","Partial","No","No","No"
"Amarok","Yes","Yes","Yes","Yes","Basic","Basic","Yes","?","?","Yes"
"Audacious","No","Yes","No","Yes","No","No","Yes","No","No","Audioonly"
"Audion","No","No","No","No","No","No","No","?","?","?"
"cmus","No","No","No","Vorbisonly","No","Basic","Yes","?","?","?"
"Cog","No","No","No","Yes","No","No","Partial","?","?","?"
"foobar2000","Partial","Yes","No","Yes","No","Yes","Yes","?","?","Audioonly"
"JuK","No","No","No","Vorbisonly","No","No","No","?","?","?"
"JRiverMediaCenter","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes"
"MediaMonkey","No","No","No","Vorbisonly","No","No","No","?","?","?"
"MOC","Yes","?","?","Yes","?","Yes","Yes","?","?","Yes"
"MPXPLAY","Yes","Yes","No","Yes","?","?","Yes","?","?","?"
"MusicBee","No","No","No","Vorbisonly","No","No","AAConly","No","No","No"
"MusicmatchJukebox","No","No","No","No","No","No","No","?","?","?"
"musikCube","No","No","No","Vorbisonly","No","No","No","?","?","?"
"Rhapsody","No","No","No","No","No","No","No","?","?","?"
"Rhythmbox","No","Yes","No","Vorbisonly","No","No","Yes","?","?","?"
"SayonaraPlayer","No","?","No","Vorbisonly","?","?","?","?","?","?"
"Sonique","No","No","No","Yes","No","No","No","?","?","?"
"Winamp","Yes","Yes","Yes","Yes","Yes","Yes","Yes","?","?","Yes"
"XMMS","No","No","No","Vorbisonly","No","No","No","?","?","?"
"Zinf","No","No","No","Vorbisonly","No","No","No","?","?","?"
"Audioplayer","AVI","ASF","QuickTime","Ogg","OGM","Matroska","MP4","MPEG-21","NUT","FLV"
