"Name","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot"
"Name","MS-DOS","Windows9x/Me","WindowsNTseriesbeforeVista","WindowsVista/7/8/10","Linux","ReactOS","MenuetOS","*BSD","MacOSX"
"AcronisOSSelector","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes"
"AiR-BOOT","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"AKernelLoader","?","?","?","?","Yes","?","?","?","?"
"Barebox","?","?","?","?","Yes","?","?","?","?"
"BOOTBOOT","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"BootItBareMetal","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"BootKey","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"BootManager","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","CallsGRUBorLILO","?","?","?","?"
"BootX(Apple)","?","?","?","?","?","?","?","?","Yes"
"BootX(Linux)","?","?","?","?","Yes","?","?","?","?"
"Clover","?","?","Yes","Yes","Yes","?","?","Yes","Yes"
"DarwinBootLoader","?","?","?","Yes","?","?","?","Yes","Yes"
"DasU-Boot","?","?","?","?","Yes","?","?","Yes(FreeBSD)","?"
"FreeBSDloader","?","?","?","?","?","?","?","Yes(FreeBSD,TrueOS)","?"
"GAG","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","CallsGRUBorLILO","Callsbootloader","Callsbootloader","Callsbootloader","No"
"GRUBLegacyandGRUB4DOS","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","Yes","CallsFreeLoader","Yes","Callsbootloaderforsomekernels","Yes"
"GNUGRUB","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","Yes","CallsFreeLoader","Yes","Yes","Yes"
"Grub2Win","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","Yes","?","?","Yes(FreeBSD)","CallsClover"
"Gujin","Yes","Yes","CallsNTLDR","Yes","Yes","?","?","?","?"
"systemd-boot/Gummiboot","No","No","WindowsServer201364bitswithUEFIonly","CallsWindowsBootManager","Yes","?","?","UEFIonly","Yes"
"iBoot","?","?","?","?","?","?","?","?","Yes"
"LILO","?","Yes","CallsNTLDR","Yes","Yes","?","?","Callsbiosboot(FreeBSD,PC-BSD,...)","?"
"loadlin","withMEMDISK","No","No","No","Yes","No","No","?","?"
"Limine","Callsbootloader","Callsbootloader","Callsbootloader","Callsbootloader","Yes","Callsbootloader","Callsbootloader","Callsbootloader","Callsbootloader"
"MasterBooter","Yes","Yes","Yes","Yes","Yes","?","?","Yes","?"
"NTLDR","Yes","Yes","Yes","No","CallsGRUB4DOS","?","?","?","CallsDarwinbootloader"
"OpenCore","?","?","Yes","Yes","Yes","?","?","Yes","Yes"
"OSL2000BootManager","Yes","Yes","Yes","Yes","CallsGRUBorLILO","?","?","?","?"
"PLoPBootManager","Yes","Yes","Yes","Yes","CallsGRUBorLILO","?","?","?","?"
"RedBoot","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","Yes","CallsFreeLoader","Yes","Yes","Yes"
"rEFInd(forkofrEFIt)","?","?","Yes","Yes","Yes","?","?","Yes","Yes"
"rEFIt(notmaintained)","?","?","Yes","Yes","Yes","?","?","Yes","Yes"
"SmartBootManager","Yes","Yes","Yes","?","Yes","?","?","Yes","?"
"SPFdisk","Yes","Yes","?","?","?","?","?","?","?"
"SYSLINUX","Yes","Yes","CallsNTLDR","CallsWindowsBootManager","Yes","?","Yes","viamboot.c32module[1]","?"
"TianocoreEDKII","No","No","No","Yes","Yes","No","?","Yes(FreeBSD,OpenBSD)","Yes"
"WindowsBootManager","?","Yes","CallsNTLDR","Yes","CallsGRUBorLILO","?","?","?","?"
"XOSL","Yes","Yes","Yes","Yes","Yes","?","?","?","?"
"FreeLoader(ReactOSBootLoader)","Yes","Yes","Partial","CallsWindowsBootManager","Yes","Yes","?","?","?"
"Name","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot","Canboot"
"Name","MS-DOS","Windows9x/Me","WindowsNTseriesbeforeVista","WindowsVista/7/8/10","Linux","ReactOS","MenuetOS","*BSD","MacOSX"
