"Shell","Commandnamecompletion","Pathcompletion","Commandargumentcompletion","Wildcardcompletion","Commandhistory","Mandatoryargumentprompt","Automaticsuggestions","Coloreddirectorylistings","Texthighlighting","Syntaxhighlighting","Directoryhistory,stackorsimilarfeatures","Implicitdirectorychange","Autocorrection","Integratedenvironment","Snippets","Valueprompt","Menu/optionsprompt","Progressindicator","Contextsensitivehelp","Commandbuilder"
"Thompsonshell","No","No","No","No","No","No","No","?","?","No","No","No","No","No","No","No","No","No","No","No"
"Bourneshell1977version","No","No","No","No","No","No","No","?","?","No","No","No","No","No","No","Yes","No","External","No","No"
"Bourneshellcurrentversion","No","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes(CDPATH,pushd,popd,dirs),CDPATHsinceSVr4","No","No","No","No","Yes","No","External","No","No"
"POSIXshell","No","No","No","No","Yes","No","No","Yes","Yes","No","Yes(CDPATH)","No","No","No","No","Yes","No","External","No","No"
"bash(v4.0)","Yes","Yes","whendefined","Yes","Yes","No","No","Yes","Yes","No","Yes(CDPATH,pushd,popd)","optional","No","No","No","Yes","Yes","External","No","No"
"csh","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","Yes(cdpath,pushd,popd)","optional","No","No","No","Yes","No","External","No","No"
"tcsh","Yes","Yes","whendefined","No","Yes","No","No","Yes","Yes","No","Yes(cdpath,pushd,popd)","optional","Yes","No","No","Yes","No","External","No","No"
"HamiltonCshell","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes(cdpath,pushd,popd)","No","No","No","No","Yes","No","External","No","No"
"Scsh","No","No","No","No","No","No","No","?","?","No","No","No","No","No","No","Yes","No","External","No","No"
"ksh(ksh93t+)","Yes(extendable)","Yes(extendable)","No","No","Yes","No","No","Yes","Yes","No","Yes(cdpathbuiltin,pushd,popdimplementedasfunctions)","No","No","No","No","Yes","Yes","External","No","No"
"pdksh","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","External","No","No"
"zsh","Yes","Yes","whendefined","Yes","Yes","Yes","Yes(viapredict-onoruser-defined)","Yes","Yes","Third-partyextension","Yes","optional","Yes","No","whendefined(asZLEwidgets)","Yes","Yes","External","Yes","No"
"ash","No","No","No","No","Yes","No","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","External","No","No"
"CCP","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"COMMAND.COM","No","No","No","No","No","No","No","No","No(onlyinDR-DOSthrough%$ON%,%$OFF%,%$HEADER%,%$FOOTER%)","No","No","No","No","No(onlysingle-steppingwithCOMMAND/Y)","No","No","No(onlyviaexternalCHOICEcommand,inDR-DOSalsoviaSWITCH/DRSWITCHinternalcommands)","No","No","No"
"OS/2CMD.EXE","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"WindowsCMD.EXE","partial","partial","No","No","Yes(F8)","No","No","No","No","No","Yes(PUSHD,POPD)","No","No","No","No","Yes(viaSET/Pcommand)","No","No","No","No"
"4DOS","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","(viapopup,extendeddirectorysearches,CDPATH,PUSHD,POPD,DIRHISTORY,DIRS,CDD,CD-commandsand%@DIRSTACK[]function)","Yes","No","Yes","No","Yes(viaINPUT,INKEYandESETcommands)","Yes(via@SELECT[]function,andindirectlyviaacombinationofINKEY,INPUT,SWITCHcommands)","No","Yes","No(exceptforOPTIONcommandforINIfiledirectives)"
"4OS2","?","?","?","?","Yes","No","No","Yes","No","No","Yes","Yes","No","?","No","?","?","No","Yes","No"
"TCC(formerly4NT)","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","(viapopup,extendeddirectorysearches,CDPATH,PUSHD,POPD,DIRHISTORY,DIRS,CDD,CD-commandsand%@DIRSTACK[]function)","Yes","No","Yes","No","Yes(viaINPUT,INKEY,ESETandSET/Pcommands)","Yes(via@SELECT[]function,andindirectlyviaacombinationofINKEY,INPUT,SWITCHcommands)","No","Yes","No"
"PowerShell","Yes","Yes","Yes","Yes","Yes(F8)","Yes","Yes;viaPSReadLinemodule(bundledinv5.0)orinISE","Third-partyextension","Yes","Yes;viaPSReadLinemodule(bundledinv5.0)orinISE","No","Yes,inPSReadLinemodule","Yes,inISE","Yes,inISE","Yes","Yes","Yes","Yes,inISE","popupwindow","Yes,inISE"
"rc","Yes","Yes","No","No","Yes","No","No","?","?","No","No","No","No","No","No","?","No","No","No","No"
"BeanShell","Yes","Yes","No","No","No","No","No","?","?","No","No","No","No","No","No","No","No","No","No","No"
"VMSDCL","Minimumuniquenessscheme","No","No","No","Yes","Yes","No","?","?","No","No","No","No","No","No","Yes","No","No","No","No"
"fish","Yes","Yes","whendefinedorparsableinmanpages","Yes","Yes","No","Yes","Yes","Yes(built-inhelperavailable)","Yes","Yes","Yes","Yes","Yes","Yes,usingabbrcommand","Yes","(viafish_configcommand)","No","No","No"
"Shell","Commandnamecompletion","Pathcompletion","Commandargumentcompletion","Wildcardcompletion","Commandhistory","Mandatoryargumentprompt","Automaticsuggestions","Coloreddirectorylistings","Texthighlighting","Syntaxhighlighting","Directoryhistory,stackorsimilarfeatures","Implicitdirectorychange","Autocorrection","Integratedenvironment","Snippets","Valueprompt","Menu/optionsprompt","Progressindicator","Contextsensitivehelp","Commandbuilder"
