"Application","CD-R/W","DVD-R/RW/RAM","DVD+R/RW","DVD+R/RWDL","DVD-R/RWDL","BD-R/RE","BD-R/REDL"
"Alcohol120%","Yes","Yes","Yes","Yes","Yes","No","No"
"CDBurnerXP","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"cdrtools","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"DeepBurner","Yes","Yes","Yes","?","?","No","No"
"ImgBurn","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"InfraRecorder","Yes","Yes","Yes","Yes","Yes","No","No"
"K3b","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Libburnia","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"NeroBurningROM","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"UltraISO","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"X-CD-Roast","Yes","Yes","Yes","?","?","No","No"
"Application","CD-R/W737MB=702MiB","DVD-R/RW/RAM4.707GB=4.384GiB","DVD+R/RW4.700GB=4.378GiB","DVD+R/RWDL8.548GB=7.961GiB","DVD-R/RWDL8.544GB=7.957GiB","BD-R/RE25GB=23.31GiB","BD-R/REDL50GB=46.61GiB"
