"Language","Firstpublicreleasedate","Creator","Editor","Viewer"
"AsciiDoc","2002","StuartRackham","Texteditor","OutputtoXHTML,HTML,DocBook(whichcanconverttoPDF,EPUB,DVI,LaTeX,roff,andPostScript)"
"ComputableDocumentFormat","2010","WolframResearch","WolframLanguage&Mathematica","CDFPlayer;CDFformatcanalsobeembeddedinwebpagesviewablewithconventionalbrowsers."
"Creole","2007","","Texteditor","OutputtoHTML,RTF,LaTeX,others;renderersforMFC,others."
"DarwinInformationTypingArchitecture(DITA)","2005","IBM,OASIS","Text/XMLeditor","OutputtoHTML,PDF,CHM,javadoc,others."
"DocBook","1992","TheDavenportGroup,OASIS","XMLeditor","OutputtoHTML,PDF,CHM,javadoc,others."
"EncodedArchivalDescription(EAD)","1998","BerkeleyProject","Texteditor","Webbrowser"
"ExtensibleHyperTextMarkupLanguage(XHTML)","2000(January26)","W3C","Text/XMLeditor,HTMLeditor","Webbrowser"
"HyperTextMarkupLanguage(HTML)","1993","TimBerners-Lee","Texteditor,HTMLeditor","Webbrowser"
"LilyPond","1996","Han-WenNienhuys,JanNieuwenhuizen","Texteditor,Scorewriter","OutputtoDVI,PDF,PostScript,PNG,others."
"MakerInterchangeFormat(MIF)","1986","FrameTechnologyacquiredbyAdobeSystemsin1995","Texteditor,FrameMaker","FrameMaker"
"MakeDoc","2000","CarlSassenrath","Texteditor","Webbrowser(XHTMLorHTMLoutput)"
"Markdown","2004","JohnGruberandAaronSwartz","Texteditor,E-mailclient","Webbrowser(XHTMLorHTMLoutput),previewingedit-markdown-plugin"
"Textile","2002","DeanAllen","Texteditor","Webbrowser(XHTMLorHTMLoutput),referenceandtester(useslatestPHP-Textileversion3.5.5)"
"MathMarkupLanguage(MathML)","1999(July)","W3C","Text/XMLeditor,TeXconverter","Webbrowser,Wordprocessor"
"TheMusicEncodingInitiative(MEI)","1999","TheMEICommunity","XMLeditor","Verovio"
"MusicExtensibleMarkupLanguage(MusicXML)","2002","Recordare","Scorewriter","Scorewriter"
"OfficeOpenXML(OOXML)","2006","EcmaInternational,ISO/IEC","Officesuite","Officesuite"
"OpenDocumentFormat(ODF)","2005","OASIS,ISO/IEC","Officesuite","Officesuite"
"OpenMathematicalDocuments(OMDoc)","2000","MichaelKohlhase","Text/XMLeditor","OutputtoXHTML+MathML,TeX,others."
"Org-mode","2003","Org-modeproject","Emacs,texteditor","Emacs.OutputtoHTML,PDF,DocBook,FreeMind,OpenDocumentFormat(ODF),others."
"reStructuredText","2001","DavidGoodger","Texteditor","OutputtoHTML,LaTeX,PDF,Unixmanpages,ODT,S5(HTMLSlideShows),XML,others."
"ScalableVectorGraphics(SVG)","2004","W3C","Vectorgraphicseditor","Webbrowser,etc."
"ScriptGML","19681971","IBM","Texteditor","GDDM,AFPviewer"
"TeXLaTeX","19781984","DonaldKnuthLeslieLamport","Texteditor","DVIorPortableDocumentFormat(PDF)converter"
"Texinfo","1986","RichardStallman","Texteditor","outputtoDVI,PortableDocumentFormat(PDF),HTML,DocBook,others."
"TeXmacsformat","1998","JorisvanderHoeven","Texteditor/TeXmacseditor","PDForPostScriptfiles.ConvertersexistforTeX/LaTeXandXHTML+Mathml"
"TextEncodingInitiative(TEI)","1990","TextEncodingInitiativeConsortium","Text/XMLeditor","WebBrowser(usingXHTML),PDF,WordProcessor(usingODF)orEPUB"
"troff(typesetterrunoff),groff(GNUrunoff)","1973","JoeOssanna","Texteditor","groffer,oroutputtoPostScript"
"WirelessMarkupLanguage(WML)","1999","WAPForum","Text/XMLeditor","Mobilebrowser"
"Language","Firstpublicreleasedate","Creator","Editor","Viewer"
