"DatasetName","Briefdescription","Preprocessing","Instances","Format","DefaultTask","Created(updated)","Reference","Creator"
"Amazonreviews","USproductreviewsfromAmazon.com.","None.","233.1million","Text","Classification,sentimentanalysis","2015(2018)","","McAuleyetal."
"OpinRankReviewDataset","ReviewsofcarsandhotelsfromEdmunds.comandTripAdvisorrespectively.","None.","42,230/~259,000respectively","Text","Sentimentanalysis,clustering","2011","","K.Ganesanetal."
"MovieLens","22,000,000ratingsand580,000tagsappliedto33,000moviesby240,000users.","None.","~22M","Text","Regression,clustering,classification","2016","","GroupLensResearch"
"Yahoo!MusicUserRatingsofMusicalArtists","Over10MratingsofartistsbyYahoousers.","Nonedescribed.","~10M","Text","Clustering,regression","2004","","Yahoo!"
"CarEvaluationDataSet","Carpropertiesandtheiroverallacceptability.","Sixcategoricalfeaturesgiven.","1728","Text","Classification","1997","","M.Bohanec"
"YouTubeComedySlamPreferenceDataset","UservotedataforpairsofvideosshownonYouTube.Usersvotedonfunniervideos.","Videometadatagiven.","1,138,562","Text","Classification","2012","","Google"
"SkytraxUserReviewsDataset","Userreviewsofairlines,airports,seats,andloungesfromSkytrax.","Ratingsarefine-grainandincludemanyaspectsofairportexperience.","41396","Text","Classification,regression","2015","","Q.Nguyen"
"TeachingAssistantEvaluationDataset","Teachingassistantreviews.","Featuresofeachinstancesuchasclass,classsize,andinstructoraregiven.","151","Text","Classification","1997","","W.Lohetal."
"VietnameseStudents’FeedbackCorpus(UIT-VSFC)","Students’Feedback.","Comments","16,000","Text","Classification","1997","","Nguyenetal."
"VietnameseSocialMediaEmotionCorpus(UIT-VSMEC)","Users’FacebookComments.","Comments","6,927","Text","Classification","1997","","Nguyenetal."
"VietnameseOpen-domainComplaintDetectiondataset(ViOCD)","Customerproductreviews","Comments","5,485","Text","Classification","2021","","Nguyenetal."
