"Filearchivers","Datacompression","Shellintegration","Passwordprotection","Multiplevolumes","Selfextraction","Filerepairing","Batchconversion","Unicodefile/directorynames","Encryption","FilenameEncryption"
"7-Zip","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes"
"ALZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Unknown","Unknown"
"ArchiveManager","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"ArchiveUtility","Yes","Yes","No","Unknown","No","No","Yes","Yes","Unknown","Unknown"
"ARJ","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown","Unknown","Unknown"
"Ark","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"B1FreeArchiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"BetterZip","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes","Yes"
"bsdtar/libarchive","non-tarformats","Yes","zip","Yes","No","No","Yes","Yes","7z,zip,rar","7z,zip,rar"
"CommanderOne","Yes","No","Yes","No","No","No","Yes","Yes","Unknown","Yesfor7z"
"DiskARchiver","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes"
"Filzip","Yes","Yes","Yes","Unknown","Yes","No","No","Unknown","Unknown","Unknown"
"FreeArc","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes"
"GNUtar","No","Yes","No","Yes","No","Separate","Yes","Yes","Unknown","Unknown"
"iArchiver","Yes","No","Yes","Yes","No","No","No","Yes","Unknown","Unknown"
"Info-ZIP","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","ZipCrypto(weak)andAES","No"
"KGBArchiver","Yes","Notenabledbydefault","Yes","Unknown","Yes","No","No","Yes","Yes","Unknown"
"PeaZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"PKZIP","Yes","Yes","Yes","No","Separate","Separate","No","Yes","Yes","Unknown"
"PowerArchiver","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"StuffIt","Yes","Yes","Yes","Unknown","Yes","Yes","Yes","Yes","Yes","Unknown"
"TheUnarchiver","No","someformats","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Unknown"
"TUGZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinAce","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Unknown"
"WinRARandRAR","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"WinZip","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"XAD","No","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"Xarchiver","Yes","Yes","Yes","Unknown","Yes","Unknown","Unknown","Unknown","Unknown","Unknown"
"ZipGenius","Yes","Yes","Yes","Unknown","Yes","Unknown","Yes","No","Unknown","Unknown"
"ZPAQ","Yes","Unknown","Yes","Yes","No","Unknown","Unknown","Yes","Yes","Unknown"
"","Datacompression","Shellintegration","Passwordprotection","Multiplevolumes","Selfextraction","Filerepairing","Batchconversion","Unicodefile/directorynames","Encryption","FilenameEncryption"
