"Filemanager","Filesystemsupport","Attributecolumns","Filepreviews","Metadataindexing","Unicodesupport","Visualthemes"
"AltapSalamander","Yes","Yes","Yes","?","Partial","No"
"CommanderOne","Yes","Yes","Yes","?","Yes","Yes"
"DirectoryOpus","Yes","Yes","Yes","Partial","Yes","Yes"
"Dired","Yes","Yes","Yes","No","Yes","Yes"
"Dolphin","Yes","No","Yes","Yes","Yes","Yes"
"DoubleCommander","Yes","Yes","Yes","No","Yes","Partial"
"emelFM2","?","?","?","?","","?"
"FarManager","Yes","Yes","Yes","Partial","Yes","No"
"Files(Apple)","","","Yes","","Yes",""
"FilesbyGoogle","","","","","",""
"Finder","Yes","No","Yes","Yes","Yes","Partial"
"ForkLift","Yes","Yes","Yes","No","Yes","Yes"
"Konqueror","Yes","No","Yes","Yes","Yes","Yes"
"Krusader","Yes","No","Yes","Partial","","Yes"
"MidnightCommander","Yes","No","No","No","Yes","No"
"GNOMEFiles(Nautilus)","Yes","?","Yes","?","Yes","Yes"
"Nemo","Yes","?","Yes","Yes","Yes","Yes"
"Nomad.NET","Yes","Yes","Yes","?","Yes","Yes"
"PathFinder","?","?","?","?","","?"
"PCManFM","Yes","Yes","Yes","No","Yes","No"
"ROX-Filer","","No","Yes","No","","?"
"TotalCommander","Yes","Yes","Yes","YesInsearchtool","Yes","Yes"
"WindowsExplorer","Yes","Yes","Yes","Yes","Yes","Partial"
"XandrosFileManager","?","?","?","?","?","?"
"Xfe","No","Partial","No","No","Partial","Partial"
"Xfile","?","?","?","?","?","?"
"Xfm","?","?","?","?","?","?"
"xplorer²","Yes","Yes","Yes","?","Yes","Yes"
"XYplorer","Yes","Yes","Yes","?","Yes","Yes"
"ZTreeWin","Yes","Yes","Yes","?","Yes","No"
"Filemanager","Filesystemsupport","Attributecolumns","Filepreviews","Metadataindexing","Unicodesupport","Visualthemes"
