"","Multiplestorefronts","Affiliates","API(remotemanagementfunctions)","Minimumorders","Multiplevendorsupport","Out-of-the-boxshoppingcart"
"ApacheOFBiz","Yes","Yes","Yes","Yes","No","Yes"
"Batavi","No","No","No","Yes","Yes","Yes"
"BigCommerce","No","3rdparty","Yes","Yes","Yes","Yes"
"DrupalCommerce","Yes","Yes","Yes","Yes","Yes","Yes"
"KonaKart","No","No","Yes","Yes","Yes","Yes"
"Magento","Yes","3rdparty","Yes","Yes","Yes","Yes"
"nopCommerce","Yes","Yes","Yes","Yes","Yes","Yes"
"osCommerce","No","No","No","Yes","No","Yes"
"pimcore","Yes","Yes","Yes","Yes","Yes","No"
"PrestaShop","Yes","Yes","Yes","Yes","Yes","Yes"
"Shopify","No","Yes","Yes","Yes","Yes","Yes"
"SupaDupa","No","No","No","No","No","Yes"
"WooCommerce","No","Yes","Yes","No","Yes","No"
"ZenCart","add-on","3rdparty","No","add-on","No","Yes"
"","Multiplestorefronts","Affiliates","API(remotemanagementfunctions)","Minimumorders","Multiplevendorsupport","Out-of-the-boxshoppingcart"
