"","Generallinearmodel","Generalizedlinearmodel"
"Typicalestimationmethod","Leastsquares,bestlinearunbiasedprediction","MaximumlikelihoodorBayesian"
"Examples","ANOVA,ANCOVA,linearregression","linearregression,logisticregression,Poissonregression,gammaregression,generallinearmodel"
"Extensionsandrelatedmethods","MANOVA,MANCOVA,linearmixedmodel","generalizedlinearmixedmodel(GLMM),generalizedestimatingequations(GEE)"
"Rpackageandfunction","lm()instatspackage(baseR)","glm()instatspackage(baseR)"
"Matlabfunction","mvregress()","glmfit()"
"SASprocedures","PROCGLM,PROCREG","PROCGENMOD,PROCLOGISTIC(forbinary&orderedorunorderedcategoricaloutcomes)"
"Statacommand","regress","glm"
"SPSScommand","regression,glm","genlin,logistic"
"WolframLanguage&Mathematicafunction","LinearModelFit[]","GeneralizedLinearModelFit[]"
"EViewscommand","ls","glm"
