"Program","Fullscreen","slideshow","zoom(styles)","cachedecodedimages","thumbnails(sizes)","thumbnailcaching","navigationviews","print","sort(schemes)"
"ACDSee","Yes","Yes","Yes1:1,fitwidthand/orheight,lock","Yesprevious,next","Yesuser-defined","Yesdatabase","directory-tree,albums,calendar,favourites,searchresults","Yes","Yesuser-defined,name,date,size,type,..."
"CDisplay","Yes","Yes","Yes1:1,fitover/underwidth/height,fullscreen,doublepage","","YesFixed,withscroll","","Thumbnails(ofcurrentfolderimagesorarchive)","No","No"
"digiKam","Yes","Yes","Yesfit,in/out","Yesprevious,next","Yesadjustablesize","Yes","Yesalbum-tree,tags,calendar,searches,map(geolocation)","Yes","Partialtags,date,keywords,metadata;nouser-definedorder"
"Eyeofgnome","Yes","Yes","Yes+/-,1:1,bestfit","","imagecollectionpane,onlyonerow","","Thumbnails(ofcurrentfolderimages)","Yes","No"
"F-Spot","Yes","Yes","Yes","","Yes","","list,file-tree","","Yeskeywords"
"FastPictureViewer","Yes","YesAuto-advancemode","Yes1:1,fit,50%-6400%magnifier,click-and-holdzooming","Yesdynamic,adaptive","Yes96x96px,shownonnavigationslider(Vistaorlater)","Yes(usesOS-managedcacheonWindowsVistaorlater)","YesWindowedorfull-screen,backandforthnavigation,bookmarks,navigationslider","No","YesFilenames,filecreation/modificationdate,Exifdatetaken,GPStimestamp"
"FastStoneImageViewer","Yes","Yes","Yes1:1,2%-5000%magnifier,click-and-holdzooming,fitwidthand/orheight,lock","No","Yes6predefinedsizes","Yesdatabase","dir-tree,backandforthnavigation,bookmarks","Yes","Yesuser-defined,name,date,filesize,imagesize,type"
"Geeqie","Yes","Yes","Yesfit,1:1,in/out","Yesprevious,next","Yes24x24-256x256","Yesaspng-filescentrallyorinsub-dir","list,dir-tree,collection","Yes","Yescollections,keywords,directory"
"gThumb","Yes","Yesrandom,forward,reverse","Yesfit,1:1,remember,fit-if-larger,in/out","","Yes48x48-256x256,9sizes","PartialNewerversionscacheinacentraldirectory","list,icon,subfolders,categories,catalog","Yes","Yescatalogs,categories"
"Gwenview","Yes","Yes","Yesfit,1:1,fit-if-larger,zoomto1600%","","Yesadjustablesize","Yes","Yesfullscreenthumbnails,dir-tree","Yes","Yesname,size,date"
"IrfanView","Yes","Yes","Yes1:1,fitwidthand/orheight,lock","No","Yes18predefinedsizes:50×50–800×800","No","dir-tree,searchresults","Yes","Yesname,date,filesize,imagewidth/height,type,user-defined"
"KPhotoAlbum","Yes","Yes","Yesfit,in/out,presets","","Yes","","viewssearchresults","","bydate"
"PhaseOneMediaPro","Yes","Yes","YesFittoviewingarea/height/width,1:1,zoomto1600%","Yes","YesYes,user-defined","YesDatabase","YesCatalog-sets,date,filetypes,events,author,people,bysearch,bykeywordsandallmetadata","Yes","Yesname,date,size,user-defined"
"Picasa","Partialonlyinslideshowmode","Yes","Partialnoviewwindow,fittoviewingarea,1:1,zoomto400%","No","Yesuserdefined","Yesdatabase","directory-tree,albums,timeline","Yes","Partialname,date,size,user-defined"
"Shotwell","Yes","Yes","Yes","No","Yesfixedsize","Yes","Thumbs,Events(dates),tags","Yes","YesTitle,ExposureDate"
"STDUViewer","Yes","No","Yesfittowidth,fittoheight,fittosize","No","Yes","No","No","Yes","No"
"WindowsPhotoViewer","Yes","Yes","Yes1:1,fit,in/out","Yes","No","No","No","Yes","No"
"XnViewandXnViewMP","Yes","Yes","Yes1:1,fitwidthand/orheight,lock","Yesprevious,next","Yesuser-defined","Yesdatabase","dir-tree,favourites,categories","Yes","Partialname,date,size,type,etc.;nouser-definedorder"
"xv","No","Yes","","No","Yesfixedsize","Yesinsubdirectory(.xvpics)","","Yes","Partialname"
"ZonerPhotoStudio","Yes","Yes","Yes1:1,fitwidthand/orheight,lock","YesinViewer,previousandnext","Yesuser-defined","Yesdatabase","dir-tree,albums,CDcompilations,mediaarchive,searchresults,webalbums","Yescontactsheet,templates,calendars,papersaver","Yesname,date,size,type,etc.;user-definedorder"
"Program","Fullscreen","slideshow","zoom(styles)","cachedecodedimages","thumbnails(sizes)","thumbnailcaching","navigationviews","print","sort(schemes)"
