"Client","Developer","Initialrelease","Platform","Latestrelease","Latestrelease","License","Monthlyactiveusers"
"Client","Developer","Initialrelease","Platform","Version","License","Monthlyactiveusers","Date"
"Briar","","May9,2018;3yearsago(2018-05-09)","Android","1.4.5","2022-02-27","GPL-3.0-or-later",""
"Discord","DiscordInc.","March6,2015;7yearsago(2015-03-06)","Android","109.9","2022-01-11","Proprietaryfreeware","350million(2021)"
"Discord","DiscordInc.","March6,2015;7yearsago(2015-03-06)","iOS","101.0","2021-11-16","Proprietaryfreeware","350million(2021)"
"Discord","DiscordInc.","March6,2015;7yearsago(2015-03-06)","Linux","0.0.16","2021-09-22","Proprietaryfreeware","350million(2021)"
"Discord","DiscordInc.","March6,2015;7yearsago(2015-03-06)","macOS","0.0.263","2021-05-25","Proprietaryfreeware","350million(2021)"
"Discord","DiscordInc.","March6,2015;7yearsago(2015-03-06)","Windows","1.0.9004","2022-02-18","Proprietaryfreeware","350million(2021)"
"eBuddy","PauloTaylor","March9,2003;19yearsago(2003-03-09)","","","","Proprietaryfreeware",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","Android","1.4.4","2022-03-09","Apache-2.0",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","iOS","1.8.5","2022-03-09","Apache-2.0",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","Linux","1.10.6","2022-03-01","Apache-2.0",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","macOS","1.10.6","2022-03-01","Apache-2.0",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","Windows","1.10.6","2022-03-01","Apache-2.0",""
"Element","NewVectorLimited","July2016;5yearsago(2016-07)","Web","1.10.6","2022-03-01","Apache-2.0",""
"Gadu-Gadu","?ukaszFoltyn,GGNetworkS.A.","August15,2000;21yearsago(2000-08-15)","","","","Proprietaryfreeware",""
"Gajim","YannLeBoulanger","May21,2004;17yearsago(2004-05-21)","BSD","1.3.3","2021-10-10","GPL-3.0-only",""
"Gajim","YannLeBoulanger","May21,2004;17yearsago(2004-05-21)","Linux","1.3.3","2021-10-10","GPL-3.0-only",""
"Gajim","YannLeBoulanger","May21,2004;17yearsago(2004-05-21)","macOS","1.3.3","2021-10-10","GPL-3.0-only",""
"Gajim","YannLeBoulanger","May21,2004;17yearsago(2004-05-21)","Windows","1.3.3","2021-10-10","GPL-3.0-only",""
"GoogleMessages(RCS)","Google","2018","Android","10.9.36","2022-02-24","Proprietaryfreeware","1billion(2021)500millionactive(2020)"
"GoogleMessages(RCS)","Google","2018","Web","","","Proprietaryfreeware","1billion(2021)500millionactive(2020)"
"GoogleMessages(RCS)","Google","2018","WearOS","","","Proprietaryfreeware","1billion(2021)500millionactive(2020)"
"ICQ","Mail.Ru","November1996;25yearsago(1996-11)","","","","Proprietaryadwarefreemium",""
"Jami","Savoir-faireLinux","","Android","20211210-01","2021-12-22","GPL-3.0-or-later",""
"Jami","Savoir-faireLinux","","iOS","3.28","2021-12-18","GPL-3.0-or-later",""
"Jami","Savoir-faireLinux","","Linux","20211223.2.37be4c3","2021-12-23","GPL-3.0-or-later",""
