"System","Documentationintegration/generation,reporting","Testplanningintegration","Customizableworkflow","Unicodesupport","Customfields","SLA","PluginAPI","Multipleprojects","Full-textsearch","Indexedfull-textsearch","Indexedfilesearch","Editconflictwarning"
"ApacheBloodhound","Yes,integratedwiki","Yes","Yes","Yes","Yes","No","Yes","Yes(asof0.6)","Yes","YesusesWhoosh","No","No"
"AssemblaTickets","Yes,Wikisyntax,emailnotification,linkingtoSubversioncommits,documentmanager,charts,reports,notifications","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Unknown","No","No"
"Axosoft","Yes,TeamWiki,Burndown,GitHubandTortoiseSVNintegration,dashboards,customreportsforOnPremises,e-mailnotificationsandalerts,customerportal,RSS","No","Yes","Yes","Yes","Yes","Yes","Yes","","","","No"
"AzureDevOpsServer(TeamFoundationServer)","Yes-workflowdefinitions,processdocumentation","Yes","Yes","Yes","Yes","No","Yes","Yes","","","","No"
"Bugzilla","Yes,reporting:integratedreportsandcharts,scheduledreportsbymail","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","YesWhenusingMySQLMyISAMorOracleDatabasebutnotPostgreSQL","","Yes"
"Debbugs","No","No","No","Yes","No","No","No","Unknown","","","No","No"
"FaveoHelpdesk","Yes,IntegratedSocialMedia,In-builtKnowledgeBaseandReporting","No","Yes","Yes","Yes","Yes","Yes","N/A","Yes","No","No","No"
"FogBugz","Yes,Integratedwiki","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","Yes"
"Fossil","Yes,IntegratedWikiinadditiontointegratedversionedprojectdocumentationviawebui.","No","No","No","Yes","No","No","Yes","No","No","","No"
"FusionForge","Yes,integratedMediawiki,discussionforums,newsblogs,emailintegration,exporttoCSV,reportinggraphs","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","","No"
"GLPI","Yes,Containsaproprietaryknowledgebaseofsorts","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No"
"GNATS","No","No","No","No","No","No","No","Unknown","","","","No"
"HelixALM","Yes-Advancedreporting,integratedcharts,exporttoExcel,workflowwithtriggers","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","","No"
