"","","MSHTML","Tasman","Gecko","WebKit","KHTML","Presto"
"InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet","InterfaceStyleSheet"
"DOM2","type","6.0","?","1.0","Yes","?","2.0"
"DOM2","disabled","6.0","?","1.0","Yes","?","2.0"
"DOM2","ownerNode","No","?","1.0","Yes","?","2.0"
"DOM2","parentStyleSheet","6.0","?","1.0","Yes","?","2.0"
"DOM2","href","8.0","?","1.0","Yes","?","2.0"
"DOM2","title","6.0","?","1.0","Yes","?","2.0"
"DOM2","media","Incorrect","?","1.0","Yes","?","2.0"
"InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList","InterfaceStyleSheetList"
"DOM2","length","6.0","?","1.0","Yes","?","2.0"
"DOM2","item()","6.0","?","1.0","Yes","?","2.0"
"InterfaceMediaList","InterfaceMediaList","InterfaceMediaList","InterfaceMediaList","InterfaceMediaList","InterfaceMediaList","InterfaceMediaList","InterfaceMediaList"
"DOM2","mediaText","No","?","1.0","Yes","?","2.0"
"DOM2","length","No","?","1.0","Yes","?","2.0"
"DOM2","item()","No","?","1.0","Yes","?","2.0"
"DOM2","deleteMedium()","No","?","1.0","Yes","?","2.0"
"DOM2","appendMedium()","No","?","1.0","Yes","?","2.0"
"InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle","InterfaceLinkStyle"
"DOM2","sheet","No","?","1.0","No","?","2.0"
"InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle","InterfaceDocumentStyle"
"DOM2","styleSheets","No","?","1.0","No","?","2.0"
