"Tag","Function","Introducedby","Alternativesolution","MSHTML","Gecko","WebKit","KHTML","Presto"
"bgsound","Usedtoaddsoundtothebackgroundofawebsite","InternetExplorer","audio","<3.1","No","No","No","Dropped"
"blink","Usedtodisplayablinkingtext","Netscape","Javascript,CSS","No","Dropped","Yes","No","1.0"
"bq","Usedtodisplayablockquote","WebTV,HTML3.0","blockquote","No","No","No","No","Dropped"
"comment","UsedtoallowtheadditionofcommentstoHTMLdocuments","InternetExplorer,WebTV","<!--...-->","3.1","No","No","No","No"
"ilayer","Inlinelayers","Netscape(4only)","iframe","No","No","No","Partial","No"
"image","Synonymofimg","?","img","3.1","Yes","Yes","Yes","Yes"
"layer","Usedtocreatemultiplelayersoftextandimageswhichlayontopofeachotherinagivenorder","Netscape(4only)","CSS,AJAX","No","No","No","Partial","No"
"marquee","Usedtodisplayascrolling,marquee-liketext.","InternetExplorer,WebTV","JavaScript,CSS3","3.1","1.7","125","3.3","1.0"
"nobr","Preventsanylinebreaksfromoccurringwithintheflowofatext","Netscape","CSS","3.1","Yes","Yes","Yes","Yes"
"noembed","Displaysanalternativetextforbrowserswhichdonotrecognizetheembedtag","Netscape","Childelementsofobjectusedasfallback","3.1","Yes","Yes","Yes","Yes"
"spacer","Addswhitespaceinalayout","Netscape","CSS","No","Dropped","No","No","No"
"wbr","Placedinsideanobrelementtoaddalinebreak","Netscape","Unicodecharacterzero-widthspace(U+200B)","Dropped","1.7","Yes","3.1","No"
"xml","IncludesXMLdata,eitherinlineorfromanURL,inanHTMLpage","InternetExplorer","AJAX,possiblyXMLnamespaces","3.1","No","No","No","No"
