"MailServer","DNSBL","SURBL","Spamtraps","Greylisting","SPF","DKIM","DMARC","Tarpit","Bayesianfilters","Regularexpressions","EmbeddedAntivirus","EmbeddedAntispam"
"agorumcore","No","No","No","No","No","No","No","No","No","Yes","No","No"
"ApacheJames","?","?","?","?","?","?","?","?","Yes","?","YesClamAV","Optional(ApacheSpamAssassin)"
"Axigen","Yes","No","Yes","Yes","Yes","Yes","?","No","Yes,inSpamAssassin","Yes","YesCYREN","YesCYREN"
"Citadel","Yes","Yes","No","No","Optional(viaSpamAssassin)","?","?","No","Optional(viaSpamAssassin)","No","Optional(ClamAV)","Optional(SpamAssassin)"
"CourierMailServer","Yes","?","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","YesClamav","Yes"
"Dovecot","No","No","?","?","?","?","?","?","?","?","?","?"
"EudoraInternetMailServer","Yes","?","Yes","Yes","?","?","?","?","?","?","?","?"
"Exim","Yes","Yes","Yes","Yes","Optionalatbuildtime","Yes","Optionalatbuildtime","Yes","Optionalwithspamassassinetc.","Yes","Optionalany","Optionalany"
"FirstClass","Yes","Yes","No","?","Yes","?","?","Yes","Yes","Yes","YesSymantec","?"
"GordanoMessagingSuite","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","YesCYREN,Authentium","YesCYREN"
"GroupWise","Yes","?","?","?","?","?","?","?","?","?","?","?"
"Halon","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Optional(viaSpamAssassin)","Yes","Optional(Sophos,ClamAV)","Optional(CYREN,SpamAssassin)"
"Haraka","Yes","Yes","Yes","Yes","Yes","Yes","?","Yes","Optionalwithspamassassinetc.","Yes","OptionalClamAV,AVG,anyviaplugins","OptionalSpamAssassin,MessageSniffer"
"hMailServer","Yes","Yes","No","Yes","Yes","Yes","?","No","No","Yes","YesClamAV","YesSpamAssassin"
"IBMNotes","Yes","?","?","?","No","?","?","?","?","?","?","?"
"IceWarpMailServer","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Yes","Yes","Yes","Yes"
"IpswitchIMailServer","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","YesSymantec,BitDefender","YesCYREN"
"Kolab","Yes","?","?","Yes","Yes","?","?","?","Optionalwithspamassassinetc.","Yes","Optional(viacontentfilterinterface)","Optional(viacontentfilterinterface)"
"Mailsite","Yes","Yes","Yes","Yes","Yes","?","?","No","Yes","Yes","Yes","Yes"
"Mailtraq","?","?","?","?","?","?","?","?","?","?","?","?"
"MDaemon","Yes","Yes(viaSpamAssassin)","Yes","Yes","Yes","Yes","Yes","Yes","Yes(viaSpamAssassin)","Yes(viaContentFilter)","OptionalCyren,ClamAV","YesSpamAssassin"
"MercuryMailTransportSystem","Yes","?","?","Yes(GreyWallextension)","?","?","?","?","Yes(SpamHalterextension)","?","Yes(ClamWallextension)","?"
"MicrosoftExchangeServer","Yes(2003&later)","?","?","Yes","Yes","Optional(Signingonlyvia3rdPartyExtensions)","?","Yes(2003&later)","?","?","?","?"
"NetMail","?","?","?","?","?","?","?","?","?","?","?","?"
"OpenSMTPD","?","?","?","?","Yes","Yes","?","?","?","?","?","?"
"OracleCommunicationsMessagingServer","Yes","Yes","Yes","Yes","Yes","?","?","Yes","Optionalwithspamassassinetc.","Yes","Optionalany","Optionalany"
"Postfix","Yes","?","?","Yes","Yes","Optional","Optional","?","Optionalwithspamassassinetc.","Yes","Optional(viacontentfilterinterface)","Optional(viacontentfilterinterface)"
"qmail","?","?","?","Yes","?","?","?","?","No","?","No","No"
"Scalix","Yes","Yes(viaScalixAntiSpampoweredbyCyrenorSpamAssassin)","Yes(viaScalixAntiSpampoweredbyCyrenorSpamAssassin)","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes(viaScalixZeroHourAntiViruspoweredbyCyrenorClamAV)","Yes"
"Sendmail","Yes","Yes(viamilter/SA)","?","Yes","Optional","Optional","Optional","?","Optionalwithspamassassinetc.","Yes","YesClamAV","YesSpamAssassin"
"SparkEngine","?","?","?","?","?","?","?","?","?","?","?","?"
"UWIMAP","?","?","?","?","?","?","?","?","?","?","?","?"
"WinGate","?","?","?","?","?","?","?","?","?","?","?","?"
"Zarafa","External","External","External","External","External","External","External","External","External","External","External","External"
"Zimbra","Yes","Yes(viaSpamAssassin)","?","Yes(viaCluebringerPolicyDaemon)","Yes","Yes","?","Yes","Yes","Yes(partially)","Yes(viaClamAV,optionallyanyviaAmavisd)","Yes(viaSpamAssassin)"
"MailServer","DNSBL","SURBL","Spamtraps","Greylisting","SPF","DKIM","DMARC","Tarpit","Bayesianfilters","Regularexpressions","EmbeddedAntivirus","EmbeddedAntispam"
