"Client","CTCP","DCC","IPv6","SSL","TLS","OCSP","CRL"
"AndroidChat","No","No","No","No","No","No","No"
"MobileColloquy","Yes","No","Yes","Yes","Yes","No","No"
"fIRC","?","?","?","?","?","?","?"
"jmIrc","Yes","No","No","No","No","No","No"
"k-IRC","Yes","No","No","No","No","No","No"
"RevolutionIRC","No","Yes","?","Yes","Yes","?","?"
"Virca","?","?","?","?","?","?","?"
"wIRC","Yes","Yes","No","Yes","Yes","?","?"
"WLIrc","Yes","Yes","?","No","No","No","?"
"Yaaic","No","?","?","Yes","Yes","?","?"
"SimpleIRC","Yes","Yes","?","Yes","Yes","?","?"
"zsIRC","Yes","No","No","Yes","Yes","No","No"
"Client","CTCP","DCC","IPv6","SSL","TLS","OCSP","CRL"
