"Client","Multi-server","UTF-8","Proxyserver","irc://URIscheme","Automaticupdates","Scriptinglanguage","Pushnotifications"
"AndroidChat","?","?","?","?","?","?","?"
"MobileColloquy","Yes","Yes","No","Yes","Yes","No","Yes"
"fIRC","?","?","?","?","?","?","?"
"jmIrc","No","Yes","Yes","No","No","Yes","?"
"k-IRC","No","No","No","No","No","No","?"
"RevolutionIRC","Yes","Yes","No","?","No","No","Yes"
"Virca","?","Yes","?","?","No","?","?"
"wIRC","?","?","Yes","?","?","?","?"
"WLIrc","?","No","?","?","No","?","?"
"Yaaic","Yes","Yes","No","No","Yes","No","?"
"SimpleIRC","Yes","Yes","No","No","No","No","Yes"
"zsIRC","Yes","Yes","No","No","Yes","No","?"
"Client","Multi-server","UTF-8","Proxyserver","irc://URIscheme","Automaticupdates","Scriptinglanguage","Pushnotifications"
