"Name","WordprocessingSoftware","SpreadsheetSoftware","PresentationSoftware","Notetakingsoftware","Diagrammingsoftware","Rastergraphicseditor","Vectorgraphicseditor","Imageviewer","Formulaeditor","Databasemanagementsoftware","Projectmanagementsoftware","Desktoppublishingsoftware","Communication","Calendaringsoftware","Filehostingservice"
"AbilityOffice","AbilityWrite","AbilitySpreadsheet","AbilityPresentation","No","AbilityDraw","AbilityPhotopaint","AbilityDraw","AbilityPhotoalbum","No","AbilityDatabase","No","No","No","No","No"
"ApacheOpenOffice","OpenOfficeWriter","OpenOfficeCalc","OpenOfficeImpress","No","OpenOfficeDraw","No","OpenOfficeDraw","No","OpenOfficeMath","OpenOfficeBase","Partial","OpenOfficeDraw","No","No","No"
"Discontinued-BreadboxOffice","Writer","Spreadsheet","No","No","No","Artist","Artist","No","No","Geofile","No","No","No","No","No"
"CalligraSuite","CalligraWords","CalligraSheets","CalligraStage","Braindump","CalligraFlow","Krita","Karbon","Gwenview/Digikam","KFormula","Kexi","CalligraPlan","CalligraWords","No","No","No"
"CollaboraOnline","Writer","Calc","Impress","Partial","Yes","Yes","Yes","Yes","Partial","Partial","Partial","Draw","Partial","Partial","Partial"
"FengOfficeCommunityEdition","Yes","No","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","No","No"
"GNUTeXmacs","Yes","Yes","Yes","No","No","No","Yes","No","Highqualitymathstypesetting","No","No","underdevelopment","No","No","No"
"Discontinued-GobeProductive","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No"
"GoogleWorkspace","GoogleDocs","GoogleSheets","GoogleSlides","GoogleKeep","GoogleDrawings","GoogleDrawings","GoogleDrawings","GooglePhotos","GoogleDocs","GoogleFusionTables","No","GoogleSlides","GoogleChat/Meet","GoogleCalendar","GoogleDrive"
"HancomOffice","Write","Calc","Show","No","No","No","No","No","No","No","No","No","No","No","No"
"iWork","Pages","Numbers","Keynote","Notes","No","No","No","No","Yes","No","No","Pages","No","No","iCloud"
"LibreOffice","LibreOfficeWriter","LibreOfficeCalc","LibreOfficeImpress","No","LibreOfficeDraw","LibreOfficeDraw","LibreOfficeDraw","LibreOfficeDraw","LibreOfficeMath","LibreOfficeBase","Partial","LibreOfficeWriterandLibreOfficeDraw","No","No","No"
"LotusSmartSuite","LotusWordPro","Lotus1-2-3","LotusFreelanceGraphics","No","LotusFreelanceGraphics","No","No","No","builtin","LotusApproach","LotusOrganizer","No","No","No","No"
"MicrosoftOffice","MicrosoftWord","MicrosoftExcel","MicrosoftPowerPoint","MicrosoftOneNote","MicrosoftVisio(Viewer)","No","MicrosoftVisio(Viewer)","MicrosoftOfficePictureManager","EquationEditor","MicrosoftAccess","MicrosoftProject","MicrosoftPublisher","MicrosoftTeams","MicrosoftOutlook","OneDrive"
"MicrosoftWorks","MicrosoftWorksWordProcessor","MicrosoftWorksSpreadsheet","MicrosoftOfficePowerPoint(Viewer)","No","No","No","No","No","No","MicrosoftWorksDatabase","No","No","No","No","No"
"OfficeSuite","WordModule","SpreadsheetModule","PresentationModule","No","No","No","No","No","No","No","No","No","No","No","No"
"NeoOffice","NeoOfficeWriter","NeoOfficeCalc","NeoOfficeImpress","No","NeoOfficeDraw","No","NeoOfficeDraw","No","NeoOfficeMath","NeoOfficeBase","No","NeoOfficeDraw","No","No","No"
"SoftMakerOffice","Textmaker","PlanMaker","Presentations","No","No","No","No","No","Yes","DataMaker","No","Yes","No","No","No"
"StarOffice","StarWriter","StarCalc","StarImpress","No","StarDraw","No","StarDraw","No","StarMath","StarBase","No","StarDraw","No","No","No"
"TeamLab","Yes","Yes","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","No"
"TikiWikiCMSGroupware","TikiWiki","TikiSpreadsheet","TikiSlideshowwithS5format","TikiNotepad","TikiDrawviaSVG-edit","TikiDrawviaSVG-edit","TikiDrawviaSVG-edit","TikiFileGallery","No","TikiTrackers","TikiTrackers,TikiWikiandTikiTask","No","No","No","No"
"WordPerfectOffice","WordPerfect","QuattroPro","CorelPresentations","WordPerfectLightning","CorelPresentations","CorelPaintShopPro","CorelDraw","No","EquationEditor","Paradox","Yes","Yes","No","No","No"
"WPSOffice","WPSWriter","WPSSpreadsheets","WPSPresentation","No","No","No","No","No","EquationEditor","No","No","No","No","No","No"
"ZohoOfficeSuite","ZohoWriter","ZohoSheet","ZohoShow","ZohoNotebook","No","No","No","No","No","ZohoReports","ZohoProjects","No","No","No","No"
"Name","WordprocessingSoftware","SpreadsheetSoftware","PresentationSoftware","Notetakingsoftware","Diagrammingsoftware","Rastergraphicseditor","Vectorgraphicseditor","Imageviewer","Formulaeditor","Databasemanagementsoftware","Projectmanagementsoftware","Desktoppublishingsoftware","Communication","Calendaringsoftware","Filehostingservice"
