"Name","Navigation","Audioout","Speaker","Screensize(in)","Screentype","Resolution(px)","Framerate(Hz)","Colordepth(bpp)","Videoout","Videobatterylife(hr)","Audiobatterylife(hr)"
"Archos105","D-pad,7buttons","Headphonejack","No","1.8","OLED","160×128","30","18","Component,Composite","Unknown","18"
"Archos405","D-pad,6two-waybuttons","Headphonejack,dockconnector","No","3.5","TFTLCD","320×240","30","Predecessor:24","Component,Composite","5","16"
"Archos5","Touchscreen","Headphonejack","Yes","4.8","TFTLCD","800×480","30","24","S-Video,compositeviadocking","7","22"
"Archos605WiFi/GPS","D-pad/touchscreen,6two-waybuttons","Headphonejack","Yes","4.3","TFTLCD","800×480","30","24","Component,composite","5.5","15"
"Archos705WiFi","D-pad/touchscreen,6two-waybuttons","Headphonejack","Yes","7","TFTLCD","800×480","30","18","Component,composite","5.5","15"
"CowonA3","D-pad,4buttons","Headphonejack","Yes","4","TFTLCD","800×480","30","24","Component,composite,S-video","10","18"
"CowonD2","Touchscreen,3buttons","Headphonejack","No","2.5","TFTLCD","320×240","30","24","Component,composite","10","52"
"CowonQ5W","Touchscreen","Headphonejack","Yes","5","TFTLCD","800×480","30","24","Component,S-video,composite","7","13"
"GigabeatT-Series","D-pad,4buttons","Headphonejack","No","2.4","TFTLCD","320×240","25","18","No","5","16"
"GP2XF-200","8-wayd-pad/touchscreen,9buttons","Headphonejack","Yes","3.5","TFTLCD","320×240","30","16","Component","3.5","6"
"iPodclassic","Clickwheel,1center,4embeddedbuttons","Headphonejack,dockconnector","Clickeronly","2.5","TFTLCD","320×240","30","16","Component,composite","6","36"
"iPodnano5G","Clickwheel,1center,4embeddedbuttons","Headphonejack,dockconnector","Yes","2.25","TFTLCD","320×240","30","16","Component,composite","4","24"
"iPodnano6G","Multi-touchscreen","Headphonejack,dockconnector","No","1.54","TFTLCD","240×240","","","Component,composite","Novideosupport","24"
"iPodtouch","Multi-touchscreen,3buttons","Headphonejack,dockconnector","Yes(ex.1stand2ndgen.)","3.5","TFTLCD","480×320(4thgen.960×640)","30","24(4thgen.)18(1st.-3rdgen.)","Component,composite","6","40(4thgen),30(3rdgen),36(2ndgen),24(1stgen)"
"iriverclix2G","D-pad,4embeddedbuttons","Headphonejack","No","2.2","AMOLED","320×240","30","18","No","5","25"
"PSPSlim/Lite","Analogstick/d-pad,15buttons","Headphonejack,dockconnector","Yes","4.3","TFTLCD","480×272","30","24","Component,composite,d-terminal","4","10"
"SamsungGalaxyPlayer4.0&5.0","Touchscreen,3buttons","Headphonejack","Yes","4.0/5.0","TFTLCD","800×480","","","","5(4.0),8(5.0)","36(4.0),60(5.0)"
"SamsungT10","D-pad,5buttons","Headphonejack","No","2","TFTLCD","320×240","30","18","No","4","30"
"SamsungP2","Touchscreen,4buttons","Headphonejack","No","3","TFTLCD","480×272","30","18","No","5","35"
"SansaFuze","Scrollring,6buttons","Headphonejack,dockconnector","No","1.9","TFTLCD","224×176","20","16","Composite","5","24"
"SansaFuze+","Touchpad,3buttons","Headphonejack","No","2.4","TFTLCD","320×240","30","16","","5","24"
"SansaView","Scrollwheel,3buttons","Headphonejack,dockconnector","No","2.4","TFTLCD","320×240","30","16","Composite","7","35"
"WalkmanNWZ-A810series","D-pad,7buttons","Headphonejack","No","2","TFTLCD","320×240","30","16","Composite","8","33"
"ZEN","D-pad,9buttons","Headphonejack","No","2.5","TFTLCD","320×240","30","24","No","5","30"
"ZENVisionW","D-pad,12buttons","Headphonejack,dockconnector","Yes","4.3","TFTLCD","480×272","30","18","Composite","4.5","13"
"Zune4/8/16","Zunepad,2buttons","Headphonejack,dockconnector","No","1.8","TFTLCD","320×240","30","16","No","4","23(Wi-Fi)/24"
"Zune80/120","Zunepad,2buttons","Headphonejack,dockconnector","No","3.2","TFTLCD","320×240","30","16","Component,composite","4","29(Wi-Fi)/30"
"ZuneHD","Touchscreen,3buttons","Headphonejack,dockconnector","No","3.3","OLED","480×272","30","Unknown","HDMI,composite","8.5","33(Wi-Fioff)"
"ZVUE260","D-pad,9buttons","Headphonejack","Yes","2.5","AMTFTLCD","234×160","30","24","No","Unknown","6"
