"Name","Connectivity","OScompatibility","OScompatibility","Protocolcompliancy","OScompatibility","OScompatibility","OScompatibility","OScompatibility","Connectivity","Connectivity","Connectivity","OScompatibility","Integratedsoftware","Protocolcompliancy"
"USB","Name","USB","Wi-Fi","Integratedsoftware","Windows","Windows","Windows","Bluetooth","Linux","Macintosh","Windows","MSC","MTP"
"Name","Wi-Fi","Bluetooth","Linux","Mini-Bport","2.0","MSC","MTP","Integratedsoftware","MacOSX","Vista","XP","2000","9x"
"Archos105","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","WMPthroughMTP","Yes","Yes"
"Archos405","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","WMPthroughMTP","Yes","Yes"
"Archos5","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Me","WMPthroughMTP","Yes","Yes"
"Archos605WiFi/GPS","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","WMPthroughMTP","Yes","Yes"
"Archos705WiFi","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","WMPthroughMTP","Yes","Yes"
"CowonA3","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Me","jetAudio","Yes","Yes"
"CowonD2","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","jetAudio","Yes","Yes"
"CowonQ5W","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Me","jetAudio","Yes","Yes"
"GigabeatT400","Yes","Yes","No","No","No","No","Yes","Yes","No","No","WMPthroughMTP","No","Yes"
"GP2XF-200","Unknown","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","N/A","N/A","N/A"
"iPodclassic","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No"
"iPodnano4G","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No"
"iPodtouch1G","No","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","iTunes","No","No"
"iPodtouch2G-5G","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","iTunes","No","No"
"iriverclix2G","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","iriverplusRhapsody","Yes","Yes"
"PSPSlim&Lite","Yes","Yes","Yes","PSPGoonly","Yes","Yes","Yes","Yes","Yes","No","MediaGo","Yes","No"
"SamsungGalaxyPlayer","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","WMPthroughMTP","No","Yes"
"SamsungT10","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","EmoDio","No","Yes"
"SamsungP2","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","EmoDio","Yes","Yes"
"SansaFuze","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","MSC","WMPthroughMTP","Yes","Yes"
"SansaFuze+","microB","Yes","No","No","Yes","Yes","Yes","Yes","Yes","MSC","WMPthroughMTP","Yes","Yes"
"WalkmanNWZ-A810series","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","No","WMPthroughMTP","Yes","Yes"
"ZEN","Yes","Yes","No","No","No","No","Yes","Yes","No","No","CreativeMediaSource","No","Yes"
"ZENVisionW","Yes","Yes","No","No","No","No","Yes","Yes","No","No","CreativeMediaSource","No","Yes"
"Zune","No","Yes","Yes","No","No","No","Yes","Yes","No","No","ZuneSoftware","No","Yes"
"ZVUE260","Unknown","Yes","No","No","No","Yes","No","Yes","No","No","ZAPP","No","No"
