"ResearchNetworkingTool","DataSource/InfeedFunctionality","AutoIngest?","LinkedOpenData?","DataExportTypes"
"AcademicRoom","Manualentryofdatabyusers.Maybesomeauto-ingestofPubMedcitationdata","Unknown","Unknown","Unknown"
"AcademicLabs","Pubmed,ORCID,fundedprojectsfroma.o.NIH,NSF,France,Flanders,ClinicalTrialsfromWHO,ClinicalTrials.gov,EUClinicalTrialRegister,PatentsfromUSPTOandEPO,nationalandregionalpublicrepositories,websites,directinputbyresearchers.","Yes","Unknown","XLS,CSV,JSON"
"ActivityInsight","Informationtypicallyimportedfromthefollowingsources:PubMed,GoogleScholar,Scopus,WebofScience,RefWorks,Banner,Datatel,PeopleSoft,CampusVue,Jenzabar,Sedona,EndNote,Mendeley,Zotero,BiBTeX,aRESTfulwebservicesAPI,CSVDataImports,etc.Alsosupportsvariousmethodsofmanualentry.","Yes","Yes","RTF,XLS,CSV,PDF,HTML,XML"
"C-IKNOW","NetworkSurveys,automateduploadforanykindofnetworkdataincludingarchival,scientometric,webometricandcomputerlogdata.AlsoimportdatainGraphML,RDF,andDL(usedbyUCINET)","Yes(fordefineddata)","Yes","RDF,XML/RDF"
"PROFILESbyMentis(formerlyCollaborativePartnership/ProfileSystem)","Automatedoron-demandimportfromPubMed,GoogleScholar,WebofScience,Scopus,Banner,PeopleSoft,WebServices,FlatfilesandManualEntry.Canbeeasilyconfiguredwithanyinstitutionalsubscriptionordatabase.","Yes","Yes","RTF,XLS,CSV,PDF,HTML,XML,JSON"
"CommunityAcademicProfiles-CAP","CAPautomaticallygeneratesaprofileforallfaculty,physicians,students,postdocsandstaff(bothacademicandadministrative)intheSchoolofMedicine.Dataflowsautomaticallyfromavarietyofsourcesystems.","Yes","Unknown","Unknown"
"Converis","DefaultconnectiontoClarivateAnalyticsWebofScience,Scopus,pubmed,europubmed,etc.Ayinternaldatafeed(HR,financecanbeconfigured)","Yes—canbepre-populatedandalertsrecommendnewdata","Yes—canbeusedtopowerVIVO","Excel(.xlsx),EndNote(.ciw),BibTex(.bib),XML,JSON,PDF,RTF"
"CurvitaProfileManager","Informationcollectedfromuniversitysystems","Yes","Unknown","Unknown"
"CUSP-ColumbiaUniversityScientificProfiles","Databasesforemployeesandgrants;PubMedforpublications","Yes","Unknown","Unknown"
"DigitalVita","PubMed,somefromHRsystem,directinputfrominvestigators.SystemauthenticatesusersthroughanapplicationdevelopedbytheITgroupthatsupportstheSeniorViceChancellorofHealthSciences;thatsystemaccessestheHRsystemfordataaboutemployees'rankandstatus(activeornot),workingwiththegrantsofficetogetaregularreportofdatafromtheirproposaldatabase.Manuallyenteredpublications/presentationsareautomaticallyforwardedtoco-authors.","Yes(Some)","Yes","PDF,RTF"
"Elsevier'sPure(nowintegratedwithSciValExperts)","SourcesincludeScopus,WebofScience,PubMed,Embase,Mendeley,arXiv,Worldcat,CrossRef,JournalTOC,CABAbstracts,SAO/NASAAstrophysicsDataSystemandSciValFundingopportunities;Datafrominstitutions'internalsystems,includingHRdata,grants,publications,patents,corefacilities/resources,etc.Researchersorproxyuserscanenteradditionalcontentintotheprofiles,includingresearchstatements,researchinterestkeywords,publications,grants,patents,books,creativeworks,education,researcherdatasets,pressclippings,awardsandhonors;freetextcanalsobeimported.Integrationwithallmajorinstitutionalrepositories.","Yes","Yes","XML,RDF,SPARQL,CSV,CERIFXML,MSWord,Excel,PDF,ATOM/XMLwebservices,EndNote/ReferenceManager,BibTex,variousgovernmentassessmentsubmissionformats"
"Elsevier'sSciVal","ScopusandScienceDirectusagedata","Yes","No","CSV,PDF,PNG,JPEG"
"EpernicusSolutions&EpernicusNetwork","Dataenteredbyapplicant","No","Unknown","Unknown"
"ERIMMemberProfileSystem(ERIMMIS)","ERIMMISdatabase,ErasmusPublicationRepository,Oracleportal","Yes","Unknown","Unknown"
"Esploro","InformationisimportedfromProQuest‘sSummonServiceandfromthefollowingsources:PubMed,ORCID,BiBTeX,aRESTfulwebservicesAPI,CSVDataImports,etc.Alsosupportsmethodsofmanualentry.","Yes","Yes","RTF,XLS,CSV,PDF,HTML,XML"
"EUREKA!EnhancingStudentResearch","Informationaboutfacultyresearchinterests","No","Unknown","Unknown"
"Expertise@Maryland","Centraluniversityfacultydatabase","Yes","Unknown","Unknown"
"FacultyProfileSystem","Manuallyentereddataaboutthefaculty(facultycanenter,aproxycanenter,ordesignatedstaffworkonmaintainingprofiles)","No(FacultystatusverifiedbycomparisonwithUCIrvineHR'sAcademicPersonnelsystem)","Unknown","Unknown"
"FacultyResearchInformationProfile(FRIP)","Discontinued.Workonthissystemceased;movedontodevelopingDigitalVita","N/A","N/A","N/A"
"FacultyScholarlyProductivityIndex","FSPDatabase(2007–2008)","Yes","Unknown","Unknown"
"GENIUS","InfoEdproprietarygrantfundingdatabases","Yes(ButonlyofInfoEddatabasedata.Facultyprofileinformationmustbeenteredmanually.)","Unknown","Unknown"
"Google","Institution'sdirectory,newsreleases,andotherinstitutionalwebsites","Yes","Yes","Manytypes,dependingontheformatofthefileretrieved."
"HUBzero","ComprehensiveportaltosupportvirtualresearchorganizationsincludingmodularWeb2.0tools,modelingandsimulationtools,computationalintegration,identitymanagement,workflow,personalprofilemanagement,datamanagement,education","Yes","Yes","Unknown"
"iamResearcher","Unknown","Unknown","Unknown","Unknown"
"iAMscientist","PubMed","Yes","Unknown","Unknown"
"i2iConnect","Listingsofindustrylicensingrepresentativescategorizedbyproductanddiseasecategorieswithmatchmakingandcollaboratordiscoveryfeatures","Yes","Unknown","Unknown"
"InCites","ClarivateAnalyticsWebofScience,ESI,JCR","No","No","XML,.mbb,XLS"
"INDURE(IndianaDatabaseforUniversityResearchExpertise)","Faculty-enteredinformationaboutresearch,facultyhomepages","Yes?(Partial?)","Unknown","Unknown"
"LattesDatabase","Unknown","Unknown","Unknown","Unknown"
"LatticeGrid","MedicalSchoolFacultydatabase,PubMed,InfoEd,Northwestern'seIRBdatabase","Yes","Yes","MicrosoftWord,Excel,PDF"
"LinkedIn","Informationenteredmanuallybyuser","No","Unknown","Unknown"
"LifeScienceNetwork","PubMed/Informationenteredmanuallybyuser.","No","Yes","CSV(forsomemodules)."
"Loki","LocalMedline,PubMed,localNSFawarddatabase,localNIHRePORTERdatabase,campusdirectoryservices","Yes(Partial)","Unknown","Unknown"
"Lyterati","PubMed,GoogleScholar,BibTex,Ellucian,PeopleSoft,Workday,RESTfulAPIs,TemplateDrivenImports,CSV,Excel,ManualEntryUsingWebpages,FacultyCVs","Yes","Unknown","PDF,MSWord,Excel,CSV,WebServices"
"McCormickCollaborationVisualizationTool","ClarivateAnalyticsWebofScience","Yes","Unknown","Unknown"
"MizzouLinks","Informationcollectedfrominterviewsandimportedfromafewinstitutionalsystems","No","Unknown","Unknown"
"MyScienceWork","Informationinputbyuser","No","Unknown","Unknown"
"OSU:pro","OSUsystems","Yes","Unknown","Unknown"
"Pivot","Combineseditoriallycreateddataonfundingopportunitiesandprofiles.Profiledatasourcesfrompubliclyavailableuniversityorganizationandfacultymember/researcherinformation,user-generateddata,PubMed,Agricola,ERIC,andProQuestcitationdatabases,indexedfaculty/researcherwebpages.","Yes(forallcitationdatafromsourceslistedinDataSource.Profileseditoriallycreated,butuser-generatedprofilesalsoincluded)","No","Unknown"
"Portfolio&Showroom","ORCID,librarycatalogue,GND,VIAF","No","Yes","BibTex,CSV,PDF"
"ProfilesResearchNetworkingSoftware","HRsystems,PubMed,NIHRePORTER,commercialsourcesofpublicationdata,institution-providedandusermanageddata","Yes","Yes","XML,RDF,SPARQL"
"REACHNCLifeScienceExpertsVisualizationTool","SciValExperts,RAMSES","Yes","Yes","RSI,CSV,Web-serviceAPI"
"ResearchAccelerator","Informationenteredbyindividualmembers","No","Unknown","Unknown"
"ResearcherID","Manuallyenteredbiographicalandbibliographicalinformation.MemberscansearchWebofScience,WebofKnowledge,andotheronlinecollections,ormanuallyenterpublicationdata.Accountscanbecreatedbyindividualsorbyadministratorsusingawebservice.","Yes(Partial;profilescreatedbyadministratorsarepre-populatedforindividualstoreview.)","No","None"
"SciENcv","Informationthatwouldnormallybefoundinacurriculumvitaeorbiosketch","Yes","Unknown","Usesopendataexchangestandards"
"SymplecticElements","CustomimportfromanyinternaldatasourceviaAPI,outoftheboxautomaticbibliographicimport(subjecttosubscriptionswhereappropriate)fromarXiv,Cinii,CrossRef,DBLP,EuropePMC,figshare,PubMed,RePeC,Scopus,WebofScience,withmoreplanned.SecureORCIDintegrationalsoavailable.In-feedfromHR/Identitysystems,internalgrantdatabases.Integrationwithallmajorrepositorytechnologies.","YesThroughintegratedportalslikeVIVOandProfilesRNS","YesSourceforlinkeddata","CSV,CERIFXML,MSWord,Excel,PDF(APA6),ATOM/XMLwebservices,EndNote/ReferenceManager,BibTex,RDF(LinkedData),variousgovernmentassessmentsubmissionformats"
"UNIWeb","UserscanentertheirCVorbibliographicdatamanually,orimportfromtheCanadianCommonCV,PubMed,GoogleScholar,Scopus,WebofScience,Bibtek,Endnote.","Unknown","Unknown","XML,MSWord,Excel"
"VIVO","PubMed,NIHRePORTER,PeopleSoft,internalHR&administrativedatabases,Scopus(withinstitutionallicense),WebofScience(withinstitutionallicense);emphasisonverifieddatasources,manymanyothersbeingingestedatvariousinstitutions.","Yes(manualdataentrypossible,too)","Yes","RDF,GraphXML,CSVfile"
"Yaffle","MemorialUniversitysystems","Yes","Unknown","Unknown"
