"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","Memoryconfiguration","Memoryconfiguration","Clockrate","Clockrate","Clockrate","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Core(MHz)","AverageBoost(MHz)","MaxBoost(MHz)","Shader(MHz)","Memory(MHz)","TDP(Watts)","ReleasePrice(USD)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","DRAMtype","Buswidth(bit)","Vulkan","Direct3D","OpenGL","OpenCL","Singleprecision","Doubleprecision"
"GeForce605","April3,2012","GF119","TSMC40nm","292","79","PCIe2.0x16","1","48:8:4","523","N/A","N/A","1046","898(1796)","1.05","4.2","5121024","14.4","DDR3","64","n/a","12","4.6","1.2","100.4","Unknown","25","OEM"
"GeForceGT610","May15,2012","GF119-300-A1","TSMC40nm","292","79","PCIe2.0x16,PCIex1,PCI","1","48:8:4","810","N/A","N/A","1620","10001800","1.62","6.5","51210242048","814.4","DDR3","64","n/a","12","4.6","1.2","155.5","Unknown","29","Retail"
"GeForceGT620","April3,2012","GF119","TSMC40nm","292","810","79","PCIe2.0x16","1620","1","1.62","48:8:4","N/A","N/A","898(1796)","6.5","5121024","14.4","155.5","Unknown","30","DDR3","64","n/a","12","4.6","1.2","OEM"
"GeForceGT620","May15,2012","GF108-100-KB-A1","PCIe2.0x16","585","TSMC40nm","116","2","96:16:4","700","N/A","N/A","1400","1000–1800","2.8","11.2","10242048","8–14.4","268.8","Unknown","DDR3","64","n/a","12","4.6","1.2","49","Retail"
"GeForceGT625","February19,2013","GF119","PCIe2.0x16","TSMC40nm","292","79","1","48:8:4","810","N/A","N/A","1620","898(1796)","3.24","6.5","5121024","14.4","155.5","DDR3","64","n/a","12","4.6","1.2","Unknown","30","OEM"
"GeForceGT630","April24,2012","GK107","TSMC28nm","1300","1","118","PCIe3.0x16","192:16:16","875","N/A","N/A","875","891(1782)","14","14","10242048","28.5","128","OEM","DDR3","1.0","336","12","4.6","1.2","14","50"
"GeForceGT630","May15,2012","GF108-400-A1","TSMC40nm","585","116","PCIe2.0x16","2","96:16:4","700","N/A","N/A","1620","1600–1800","2.8","11.2","102420484096","128","25.6–28.8","n/a","DDR3","311","Unknown","12","4.6","1.2","49","Retail"
"May15,2012","GeForceGT630","TSMC40nm","585","116","PCIe2.0x16","2","GF108","96:16:4","810","N/A","N/A","1620","800(3200)","3.2","13","1024","n/a","51.2","GDDR5","311","Retail","Unknown","65","12","128","4.6","1.2"
"GeForceGT630","May29,2013","GK208-301-A1","TSMC28nm","1020","79","PCIe2.0x8","1","384:16:8","902","N/A","N/A","902","900(1800)","7.22","14.44","10242048","14.4","DDR3","64","1.0","692.7","12","4.6","1.2","Unknown","25",""
"GeForceGT635","February19,2013","TSMC28nm","1020","79","GK208","1","PCIe3.0x8","384:16:8","967","N/A","N/A","967","1001(2002)","7.74","10242048","15.5","DDR3","64","1.0","16","742.7","Unknown","35","OEM","12","4.6","1.2"
"GeForceGT640","April24,2012","GF116","TSMC40nm","1170","238","PCIe2.0x16","3","144:24:24","720","N/A","N/A","1440","891(1782)","17.3","17.3","OEM","15363072","DDR3","42.8","192","n/a","414.7","12","4.6","1.2","Unknown","75"
"GeForceGT640","April24,2012","GK107","TSMC28nm","1300","118","PCIe3.0x16","2","384:32:16","797","N/A","N/A","797","891(1782)","12.8","25.5","10242048","28.5","OEM","128","DDR3","1.0","612.1","25.50","50","12","4.6","1.2"
"GK107","TSMC28nm","1300","118","PCIe3.0x16","2","384:32:16","GeForceGT640","June5,2012","900","N/A","N/A","900","891(1782)","14.4","28.8","128","1.0","20484096","28.5","691.2","28.8","65","$100","12","4.6","1.2","DDR3"
"GK107","TSMC28nm","1300","118","PCIe3.0x16","2","384:32:16","GeForceGT640","April24,2012","950","N/A","N/A","950","1250(5000)","15.2","30.4","128","1.0","10242048","80","GDDR5","729.6","30.40","75","OEM","12","4.6","1.2"
"GeForceGT640","May29,2013","GK208-400-A1","TSMC28nm","1020","2","79","PCIe2.0x8","384:16:8","1046","GDDR5","N/A","N/A","1046","1252(5008)","8.37","16.7","1024","1.0","40.1","64","803.3","Unknown","49","","12","4.6","1.2"
"GeForceGT645","April24,2012","GF114-400-A1","TSMC40nm","1950","332","PCIe2.0x16","6","288:48:24","776","GDDR5","N/A","N/A","1552","1024","1914","18.6","37.3","91.9","192","n/a","894","Unknown","12","4.6","1.2","140","OEM"
"GeForceGTX645","April22,2013","GK106","TSMC28nm","2540","221","PCIe3.0x16","3","576:48:16","823.5","GDDR5","888.5","N/A","823","1024","1000(4000)","14.16","39.5","64","128","1.0","948.1","OEM","39.53","12","4.6","1.2","64"
"GeForceGTX650","September13,2012","GK107-450-A2","TSMC28nm","1300","118","PCIe3.0x16","2","384:32:16","1058","N/A","N/A","GDDR5","1058","1250(5000)","16.9","33.8","128","1.0","10242048","80","64","812.54","33.86","$110","12","4.6","1.2"
"GeForceGTX650","November27,2013","GK-106-400-A1","2540","TSMC28nm","2","384:32:16","1058","221","N/A","1058","1250(5000)","16.9","33.8","10242048","80","812.54","33.86","PCIe3.0x16","65","?","12","4.6","1.2","GDDR5","128","1.0"
"GeForceGTX650Ti","October9,2012","2540","221","GK106-220-A1","TSMC28nm","4","768:64:16","PCIe3.0x16","928","N/A","N/A","928","1350(5400)","GDDR5","14.8","10242048","59.4","86.4","1425.41","128","1.0","59.39","110","$150(130)","12","4.6","1.2"
"GeForceGTX650TiBoost","March26,2013","2540","4","221","GK106-240-A1","TSMC28nm","768:64:24","980","PCIe3.0x16","1032","N/A","980","1502(6008)","23.5","GDDR5","62.7","10242048","144.2","192","1505.28","62.72","1.0","134","$170(150)","12","4.6","1.2"
"GeForceGTX660","September13,2012","2540","221","980","1032","GK106-400-A1","980","TSMC28nm","5","960:80:24","PCIe3.0x16","1084","1502(6008)","23.5","78.4","20483072","GDDR5","96.1+48.1144.2","128+64192","1881.6","78.40","140","1.0","$230(180)","12","4.6","1.2"
"GeForceGTX660","August22,2012","GK104-200-KD-A2","3540","TSMC28nm","294","6","PCIe3.0x16","1152:96:241152:96:32","823.5","888.5","899","823","GDDR5","1450(5800)","19.8","79","153620483072","134","1.0","192256","2108.6","79.06","130","OEM","12","4.6","1.2"
"GeForceGTX660Ti","August16,2012","3540","294","GK104-300-KD-A2","TSMC28nm","7","1344:112:24","PCIe3.0x16","915","980","1058","915","1502(6008)","GDDR5","22.0","102.5","2048","96.1+48.1144.2","128+64192","1.0","2459.52","102.48","150","$300","12","4.6","1.2"
"GeForceGTX670","May10,2012","3540","7","294","915","980","GK104-325-A2","915","TSMC28nm","1344:112:32","1084","PCIe3.0x16","1502(6008)","29.3","102.5","20484096","192.256","GDDR5","256","2459.52","102.48","170","$400","1.0","12","4.6","1.2"
"GeForceGTX680","March22,2012","3540","294","GK104-400-A2","TSMC28nm","8","1536:128:32","20484096","PCIe3.0x16","256","1006","1058","1110","1006","1502(6008)","GDDR5","32.2","128.8","192.256","3090.43","128.77","1.0","195","$500","12","4.6","1.2"
"GeForceGTX690","April29,2012","2xGK104-355-A2","TSMC28nm","2x3540","2x294","PCIe3.0x16","2x8","2x1536:128:32","915","1019","1058","GDDR5","915","1502(6008)","2x29.28","2x117.12","2x2048","1.0","2x192.256","2x256","2x2810.88","2x117.12","300","$1000","12","4.6","1.2"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","SupportedAPIversion","SupportedAPIversion","Memoryconfiguration","Memoryconfiguration","Clockrate","Clockrate","Clockrate","Clockrate","Fillrate","Memoryconfiguration","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","ReleasePrice(USD)"
"Model","Launch","Codename","Fab(nm)","Transistors(million)","Diesize(mm)","Businterface","SMcount","Coreconfig","Core(MHz)","AverageBoost(MHz)","MaxBoost(MHz)","Shader(MHz)","Memory(MHz)","TDP(Watts)","ReleasePrice(USD)","Pixel(GP/s)","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","DRAMtype","Buswidth(bit)","Vulkan","Direct3D","OpenGL","OpenCL","Singleprecision","Doubleprecision"
