"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MHz)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(MB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForceGT520M","January5,2011","GF119","40","PCIe2.0x16","48:8:4","740","1480","1600","2.96","5.92","1024","12.8","DDR3","64","12","4.6","142.08","12","SimilartoDesktop510/520"
"GeForceGT520M","","GF108","40","PCIe2.0x16","96:16:4","515","1030","1600","2.06","8.24","1024","12.8","DDR3","64","12","4.6","197.76","20","NoticedinLenovolaptops,similartoDesktop530/430/440"
"GeForceGT520MX","May30,2011","GF119","40","PCIe2.0x16","48:8:4","900","1800","1800","20","3.6","7.2","1024","14.4","DDR3","64","12","4.6","172.8","SimilartoDesktop510&GT520"
"GeForceGT525M","January5,2011","GF108","40","PCIe2.0x16","96:16:4","1800","600","1200","2.4","9.6","28.8","1024","128","DDR3","230.4","12","4.6","20–23","SimilartoDesktopGT530/430/440"
"GeForceGT540M","January5,2011","GF108","96:16:4","672","1344","40","PCIe2.0x16","28.8","128","2.688","1800","10.752","20481024","258.048","32–35","SimilartoDesktopGT530/440","DDR3","12","4.6"
"GeForceGT550M","January5,2011","GF108GF106","96:16:4144:24:16","40","PCIe2.0x16","740475","32–35","SimilartoDesktopGT530/440","1480950","28.8","128","18001800","2.96","11.84","1024","284.16312.6","DDR3","12","4.6"
"GeForceGT555M","January5,2011","GF106GF108","144:24:24144:24:1696:16:4","40","PCIe2.0x16","590650753","118013001506","180018003138","14.610.43","14.615.612","153620481024","43.228.850.2","DDR3DDR3GDDR5","192128128","339.84374.4289.15","12","4.6","30–35","SimilartoDesktopGT545"
"GeForceGTX560M","May30,2011","GF116","40","PCIe2.0x16","192:32:16192:32:24","775","1550","2500","18.6","24.8","20481536,3072","40.060.0","GDDR5","128192","12","4.6","595.2","75","SimilartoDesktopGTX550Ti"
"GeForceGTX570M","June28,2011","GF114","40","PCIe2.0x16","336:56:24","575","1150","3000","13.8","32.2","GDDR5","1536","72.0","75","192","772.8","12","4.6","SimilartoDesktopGTX560"
"GeForceGTX580M","June28,2011","GF114","384:64:32","620","40","3000","PCIe2.0x16","1240","19.8","39.7","2048","96.0","256","GDDR5","952.3","100","SimilartoDesktopGTX560Ti","12","4.6"
