"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes(originalresearch)"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MT/s)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes(originalresearch)","Texture(GT/s)","Size(GB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
"GeForce810M","February2014","GF117","28","PCIe2.0x16","48:8:4","738–888","1476–1776","1800","2.95–3.55","5.9–7.1","1","14.4","DDR3","64","12","4.5","141.7–170.5","15",""
"GeForce820M","February2014","GF117","28","PCIe2.0x16","96:16:4","719–954","1438–1908","2000","2.9–3.8","11.5–15.3","2","16","DDR3","64","12","4.5","276.1–366.3","15","115%of620(Fermi)"
"GeForce825M","January27,2014","GK208","28","PCIe3.0x8","850","384:16:8(2SMX)","850","2","1800","6.8","13.6","14.4","652.8","33","DDR3","64","12","4.5","94%of630(Kepler)"
"GeForce830M","March12,2014","GM108","28","PCIe3.0x16","1029","256:16:8(2SMM)","1800","1029","2","8.2","16.5","14.4","526.8","~25","50%of750(Maxwell)","DDR3","64","12","4.5"
"GeForce840M","March12,2014","GM108","PCIe3.0x16","384:24:8(3SMM)","1029","2000","28","8.2","24.7","2–4","16","790.3","30","50–80%of745(Maxwell)","DDR3","64","12","4.5"
"GeForce845M","February7,2015","GM108","1071-1150","PCIe3.0x16","384:32:16(3SMM)","28","1071-1150","5000","18.8","37.6","2","40","GDDR5","903.2","33","","64","12","4.5"
"GeForce845M","August16,2015","GM107","863","512:32:16(4SMM)","PCIe3.0x16","28","863","2","2000","13.8","27.6","16","","DDR3","883.7","45","64","12","4.5"
"GeForceGTX850M","GM107","March12,2014","876+Boost","640:40:16(5SMM)","PCIe3.0x16","28","876+Boost","5000","14.0","35.0","2-4","80.2","GDDR5","128","1121.3","40","80%of750Ti","12","4.5"
"936+Boost","GeForceGTX850M","March12,2014","640:40:16(5SMM)","936+Boost","GM107","2000","15.0","2-4","PCIe3.0x16","28","128","37.4","40","32","DDR3","1198.1","85%of750Ti","12","4.5"
"GeForceGTX860M","March12,2014","1029–1085","GM107","640:40:16(5SMM)","1029–1085","PCIe3.0x16","28","5000","16.5","41.2","128","2","80","GDDR5","1389","40–45","equalto750Ti","12","4.5"
"GeForceGTX860M","GK104","797–915","March12,2014","5000","1152:96:16(6SMX)","797–915","PCIe3.0x16","80","GDDR5","28","12.8","76.5","4","2108","128","75","similarto660OEM.","12","4.5"
"GK104","GeForceGTX870M","941–967","March12,2014","1344:112:24(7SMX)","5000","941–967","PCIe3.0x16","28","22.6","GDDR5","105.4","3,6","120","192","2599","110","105%of660Ti","12","4.5"
"GK104","GeForceGTX880M","954–993","March12,2014","1536:128:32(8SMX)","5000","954–993","PCIe3.0x16","28","30.5","GDDR5","122.1","4,8","160","256","3104","130","90%of770","12","4.5"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Clockspeed","Fillrate","Memory","SupportedAPIversion","Memory","Memory","Clockspeed","Clockspeed","Fillrate","Memory","SupportedAPIversion","Processingpower(GFLOPS)","TDP(Watts)","Notes"
"Model","Launch","Codename","Fab(nm)","Businterface","Coreconfig","Core(MHz)","Shader(MHz)","Memory(MT/s)","Pixel(GP/s)","Processingpower(GFLOPS)","TDP(Watts)","Notes","Texture(GT/s)","Size(GB)","Bandwidth(GB/s)","Bustype","Buswidth(bit)","Direct3D","OpenGL"
