"","English","Esperanto","Novial"
"Infinitive","(to)getabsorbed","est-iabsorb-at-a(j)(absorb-iĝ-i)","bliabsorba"
"Simplepresent","get(s)absorbed","est-asabsorb-at-a(j)(absorb-iĝ-as)","bliabsorba"
"Future","will(shall)getabsorbed","est-osabsorb-at-a(j)(absorb-iĝ-os)","salbliabsorba"
"Simplepast","gotabsorbed","est-isabsorb-at-a(j)(absorb-iĝ-is)","bli-dabsorba"
"Pastperfect","have(has)gotabsorbed","est-asabsorb-it-a(j)(est-asabsorb-iĝ-ant-a(j))","habliabsorba"
"Pluperfect","hadgotabsorbed","est-isabsorb-it-a(j)(est-isabsorb-iĝ-ant-a(j))","ha-dbliabsorba"
"Futureperfect","will(shall)havegotabsorbed","est-osabsorb-it-a(j)(est-osabsorb-iĝ-ant-a(j))","salhabliabsorba"
"Futureinthepast","wasgoingto(would,should)getabsorbed","est-isabsorb-ot-a(j)(est-isabsorb-iĝ-ont-a(j))","sal-edbliabsorba"
"Conditional","would(should)getabsorbed","est-usabsorb-at-a(j)(absorb-iĝ-us)","vudbliabsorba"
"Conditionalperfect","would(should)havegotabsorbed","est-usabsorb-it-a(j)(est-usabsorb-iĝ-ant-a(j))","vudhabliabsorba"
"Firstimperative","letusgetabsorbed!","niest-uabsorb-ataj!(niabsorb-iĝ-u!)","letnusbliabsorba!"
"Secondimperative","getabsorbed!","est-uabsorb-at-a(j)!(absorb-iĝ-u!)","bliabsorba!"
"Thirdimperative","lethimgetabsorbed!","liest-uabsorb-at-a!(liabsorb-iĝ-u)","letlobliabsorba!"
"Presentcontinuous","is(am,are)gettingabsorbed","est-asabsorb-at-a(j)(est-asabsorb-iĝ-ant-a(j))","esbli-ntabsorba"
"Futurecontinuous","shall(will)begettingabsorbed","est-osabsorb-at-a(j)(est-osabsorb-iĝ-ant-a(j))","salesbli-ntabsorba"
"Pastcontinuous","was(were)gettingabsorbed","est-isabsorb-at-a(j)(est-isabsorb-iĝ-ant-a(j))","dides(es-ed)bli-ntabsorba"
