"Application","AlembicImporter","USDImporter","RenderingEngine","VolumeRenderingforclouds","InteractiveRendering","Isolatinglightcontribution","LightLister","IESLight","PhysicalSun&Sky","SunPositioningbylocationandtimes","LightPortal","ShadowCatcher","IBLandEnvironmenttexture","IBLandEnvironmenttexture","IBLandEnvironmenttexture","HighlightPlacement","LightMixer"
"Application","AlembicImporter","USDImporter","RenderingEngine","VolumeRenderingforclouds","InteractiveRendering","Isolatinglightcontribution","LightLister","IESLight","PhysicalSun&Sky","SunPositioningbylocationandtimes","LightPortal","ShadowCatcher","LatLong","HighlightPlacement","LightMixer","sIBL","LightExtraction"
"Maya","Yes","USDExtensionforMaya","MayaHardware2.0","?","Yes","No","LightEditor","?","?","?","?","?","Yes","?","?","(PlaceHighlightToolforMaya)","No"
"Maya","Yes","USDExtensionforMaya","MayaSoftware","?","?","LightLinking","LightEditor","No","?","?","?","?","EnvSphere","?","?","(PlaceHighlightToolforMaya)","No"
"Maya","Yes","USDExtensionforMaya","Arnold","Yes","Yes","LightLinking","LightEditor","AiPhotometricLight","Yes","?","Yes","Yes","Yes","?","?","(PlaceHighlightToolforMaya)","LightMixerimager"
"3dsMax","Yes","(USDforAutodesk3dsMax)","Quicksilver","?","Yes","No","LightLister","?","?","?","?","?","?","?","?","PlaceHighlight","No"
"3dsMax","Yes","(USDforAutodesk3dsMax)","Scanline","?","?","LightExclude/Include","LightLister","?","?","?","?","Yes","?","sIBL-GUIsoftware","?","PlaceHighlight","No"
"3dsMax","Yes","(USDforAutodesk3dsMax)","ART","?","?","?","LightLister","Yes","?","?","?","?","?","?","?","PlaceHighlight","No"
"3dsMax","Yes","(USDforAutodesk3dsMax)","Arnold","Yes","Yes","LightGroup","LightLister","AiPhotometricLight","Yes","SunPositioner","Yes","Yes","Yes","?","?","PlaceHighlight","LightMixerimager"
"Blender","2.78andlater","3.0andlater","Workbench","Some","Yes","ViewLayers","PropertyChartAddon/Gafferaddon","No","?","SunPositionaddon","No","?","Yes","?","?","LookAtGizmo(withCtrlkey)","No"
"Blender","2.78andlater","3.0andlater","EEVEE","Some","Yes","ViewLayers","PropertyChartAddon/Gafferaddon","No","Yes","SunPositionaddon","No","ShaderNode","Yes","?","?","LookAtGizmo(withCtrlkey)","No"
"Blender","2.78andlater","3.0andlater","Cycles","Yes","Yes","ViewLayers","PropertyChartAddon/Gafferaddon","2.80andlater","Yes","SunPositionaddon","from2.75","from2.79","Yes","sIBL_GUIforBlenderaddon/AddEnvironmentnodesaddon","?","LookAtGizmo(withCtrlkey)","No"
"MODO","Yes","14.1andlater","MODORenderer/mPath","Yes","Yes","LightLinking","?","PhotometricLight","DirectionalLight","DirectionalLight","Portal","ShadowCatcher","Yes","mm_sIBLToModoEnvironmentscript","?","?","No"
"LightWave","11.6andlater","No","LightWaveRenderer","Yes","Yes","?","?","PhotometricLight","Yes","Yes","Yes","Yes","Yes","originalloaderscript,wheremostsIBLfeatureswereinvented","?","?","No"
"Houdini","Yes","Solaris","Mantra(PT)/Karma","Yes","Yes","Lightcategories","Lightbank","Yes","?","?","?","ShadowMatte","Yes","?","?","Solaris","?"
"Cinema4D","Yes","R23andlater","CineRender","Yes","Yes","Exclude/Include","?","Yes","?","?","?","fromR18","Yes","?","?","?","?"
