"","Imports","Imports","Imports","Imports","Imports","Imports","Imports","Imports","Imports","Exports","Exports"
"","GeometryCache","GeometryCache","PointCache","Exports","ParticleCache","ParticleCache","ParticleCache","PointCache","ParticleCache","Animation",""
"","Alembic(*.abc)","MayaCache(*.mc)","3dsMaxPC2","LightWaveMDD","MayaParticleData(*.pda/*.pdb)","HoudiniBGEO","RealFlowBIN","KrakatoaPRT","BiovisionHierarchy(*.bvh)","Alembic(*.abc)","others"
"3dsMax","Yes","Yes","Yes","?","?","?","?","?","?","Yes",""
"AC3D","?","?","?","?","?","?","?","?","?","?",""
"Blender","Yes","No","MeshCacheModifier","MeshCacheModifier","?","?","?","?","Yes","Yes","BVH"
"ElectricImageAnimationSystem","?","?","?","?","?","?","?","?","?","?",""
"Cinema4D","Yes","?","?","?","?","?","?","?","?","Yes",""
"Clara.io","?","?","?","?","?","?","?","?","Yes","?","BVH"
"Cobalt","?","?","?","?","?","?","?","?","?","?",""
"Houdini","Yes","viaFBXimporter","viaFBXimporter","?","?","Yes","?","?","?","Yes",""
"IClone","?","?","?","?","?","?","?","?","Yes","?","BVH"
"Lightwave3D","Yes","?","?","Yes","PartioNode","No","?","?","?","Yes",""
"MakeHuman","?","?","?","?","?","?","?","?","?","?",""
"Maya","Yes","Yes","?","?","Yes","?","?","?","?","Yes",""
"Metasequoia","?","?","?","?","?","?","?","?","?","?",""
"Modo","Yes","?","?","MDDDeformer","?","?","?","?","?","Yes",""
"Remo3D","?","?","?","?","?","?","?","?","?","?",""
"Shade","?","?","?","?","?","?","?","?","?","?","BVH"
"Softimage","(ExocortexCrate)","?","?","PointOven","?","?","?","?","?","(ExocortexCrate)",""
"SolidEdge","?","?","?","?","?","?","?","?","?","?",""
"SketchUpMake","?","?","?","?","?","?","?","?","?","?",""
"SketchUpPro","?","?","?","?","?","?","?","?","?","?",""
"E-onVue","?","?","?","?","?","?","?","?","?","?",""
"Wings3D","?","?","?","?","?","?","?","?","?","?",""
