"ADCclient","Windows","Linux","OSX","BSD","Haiku"
"AirDC++","Yes","No","No","No","No"
"AirDC++WebClient","No","Yes","Noinstallablepackage","Yes","?"
"ApexDC++","Yes","No","No","No","No"
"DC++","Yes","No","No","No","No"
"jucy","Yes","Yes","Yes","No","No"
"LinuxDC++","No","Yes","No","Yes","No"
"EiskaltDC++","Yes","Yes","Yes","Yes","Yes"
"FlylinkDC++","Yes","No","No","No","No"
"RSX++","Yes","No","No","No","No"
"TKDC++","Yes","No","No","No","No"
"StrongDC++","Yes","No","No","No","No"
"ncdc","No","Yes","Yes","Yes","?"
"ADCclient","Windows","Linux","OSX","BSD","Haiku"
