"Pronunciation","Examples","Pronunciation","Examples"
"StandardDutch","Afrikaans","StandardDutch","Afrikaans"
"z/z/voiceds/z/","s/s/","zuid/ˈzœʏ̯t/analyse/aːnaːˈlizə/","suid/ˈsœɪ̯t/analise/ɑːnɑːˈlisə/"
"startingv/v/","/f/","vier/ˈvir/","vier/ˈfir/"
"middlev/v/","w/v/","haven/ˈɦaːvən/","hawe/ˈɦɑːvə/"
"v(forLatinandFrenchloanwords)/v/","v,w/v/","visueel/vizyˈeːl/conservatief/kɔnsɛrvaːtif/","visueel/visyˈɪəl/konserwatief/kɔnsɛrvɑːtif/"
"w/ʋ/","/v,w/","weet/ˈʋeːt/kwaad/ˈkʋaːt/wraak/ˈʋraːk/","weet/ˈvɪət/kwaad/ˈkwɑːt/wraak/ˈvrɑːk/"
"ch/x/g/ɣ/","g/χ/","acht/ˈɑxt/gat/ˈɣɑt/","agt/ˈaχt/gat/ˈχat/"
"sch/sx/","sk/sk/","school/ˈsxoːl/","skool/ˈskʊəl/"
"-rgen/-rɣən/","-rge/-rgə/","bergen/ˈbɛrɣə(n)/","berge/ˈbɛrgə/"
"-rv-/-rv/","-rw-/-rv/","sterven/ˈstɛrvə(n)/","sterwe/ˈstɛrvə/"
"-tie/-tsi,-si/","-sie/-si/","actie/ˈɑktsi~ˈɑksi/","aksie/ˈaksi/"
"-st/-st/","-s/-s/","best/ˈbɛst/","bes/ˈbɛs/"
"-cht/-xt/","-g/-χ/","lucht,echtgenoot/ˈlʏxt,ˈɛxtxənoːt/","lug,eggenoot/ˈlœχ,ˈɛχənʊət/"
"-ct/-kt/","-k/-k/","contact/ˈkɔntɑkt/","kontak/ˈkɔntak/"
"-isch/-is/","-ies/-is/","Tsjechisch/ˈtʃɛxis/","Tsjeggies/ˈtʃɛχis/"
