"Agerange","BritishEnglish","AmericanEnglish","BritishEnglish","BritishEnglish","AmericanEnglish"
"Agerange","Name","Alternative/oldname","Syllabus","Name","Alternativename"
"1–4","Preschool(optional)","","Preschool(optional)","Preschool(optional)",""
"1–4","Nursery","Playgroup","FoundationStage1","Daycare",""
"3–5","Primaryschool","","Primaryschool","Primaryschool",""
"3–5","Reception","Infantsreception","FoundationStage2","Preschool","Pre-K"
"5–6","Year1","Infantsyear1","KeyStage1","Kindergarten",""
"Elementaryschool","5–6","Year1","Infantsyear1","KeyStage1","Elementaryschool"
"6–7","Year2","Infantsyear2","KeyStage1","1stgrade",""
"7–8","Year3","FirstyearJunior","KeyStage2","2ndgrade",""
"8–9","Year4","Secondyearjunior","KeyStage2","3rdgrade",""
"9–10","Year5","Thirdyearjunior","KeyStage2","4thgrade",""
"10–11","Year6","Fourthyearjunior","KeyStage2","5thgrade",""
"11–12","Secondaryschool/Highschool","Secondaryschool/Highschool","Secondaryschool/Highschool","Middleschool","Juniorhighschool"
"11–12","Year7","Firstform","KeyStage3","6thgrade",""
"12–13","Year8","KeyStage3","Secondform","7thgrade",""
"13–14","Year9","KeyStage3","Thirdform","8thgrade",""
"14–15","Year10","Fourthform","KeyStage4,GCSE","Highschool","Highschool"
"14–15","Year10","Fourthform","KeyStage4,GCSE","9thgrade","Freshmanyear"
"15–16","Year11","Fifthform","KeyStage4,GCSE","10thgrade","Sophomoreyear"
"16–17","Sixthform/FECollege","Sixthform/FECollege","Sixthform/FECollege","11thgrade","Junioryear"
"16–17","Year12","11thgrade","Junioryear","Lowersixth(firstyear)","KeyStage5,Alevel"
"17–18","Year13","KeyStage5,Alevel","Uppersixth(secondyear)","12thgrade","Senioryear"
