"Launchsystem","Launchsystem","Countryoforigin","Classandtype","Payloadcapacity","Payloadcapacity","Payloadcapacity","Maidenflight","Manufacturer","Status","Ref"
"Launchsystem","Countryoforigin","Classandtype","LEO(Orbit)","Maidenflight","Manufacturer","Status","Ref","GTO","Other",""
"Al-Abid","Al-Abid","Iraq","Smallliftexpendablelaunchvehicle","100kg(220lb)to300kg(660lb)(200km(120mi)to500km(310mi)","N/A","","1989","SpaceResearchCenter,Baghdad","Abandoned",""
"AugmentedSatelliteLaunchVehicle","AugmentedSatelliteLaunchVehicle","India","Smallliftexpendablelaunchvehicle","150kg(330lb)(400km(250mi))","N/A","","1987","ISRO","Retired",""
"Epsilon","Epsilon","Japan","Smallliftexpendablelaunchvehicle","1,500kg(3,300lb)(250km(160mi)x500km(310mi))700kg(1,500lb)(500km(310mi))","","590kg(1,300lb)to500km(310mi)(SSO)","2013","JAXA/IHI","Inservice",""
"FengBao1","FengBao1","China","Mediumliftexpendablelaunchvehicle","2,500kg(5,500lb)","","","1972","ShanghaiBureauNo.2","Retired",""
"GeosynchronousSatelliteLaunchVehicle","GSLVMkI","India","Mediumliftexpendablelaunchvehicle","5,000kg(11,000lb)","2,150kg(4,740lb)","","2001","ISRO","Retired",""
"GeosynchronousSatelliteLaunchVehicle","GSLVMkII","India","Mediumliftexpendablelaunchvehicle","5,000kg(11,000lb)","2,700kg(6,000lb)","","2010","ISRO","Inservice",""
"GeosynchronousSatelliteLaunchVehicleMarkIII","GeosynchronousSatelliteLaunchVehicleMarkIII","India","Mediumliftexpendablelaunchvehicle","10,000kg(22,000lb)","4,000kg(8,800lb)","","2014(Suborbital)2017(Orbital)","ISRO","Inservice",""
"GX","GX","JapanUnitedStates","Mediumliftexpendablelaunchvehicle","3,600kg(7,900lb)","","1,814kg(3,999lb)to800km(500mi)SSO","N/A","JAXA/ULA/IHI","Cancelled",""
"H-I","H-I","JapanUnitedStates","Mediumliftexpendablelaunchvehicle","3,200kg(7,100lb)","1,100kg(2,400lb)","","1986","MitsubishiHeavyIndustries/McDonnellDouglas","Retired",""
"H-II","H-II","Japan","Mediumliftexpendablelaunchvehicle","10,060kg(22,180lb)","3,930kg(8,660lb)","","1994","MitsubishiHeavyIndustries","Retired",""
"H-II","H-IIA","Japan","Mediumliftexpendablelaunchvehicle","10,000kg(22,000lb)to15,000kg(33,000lb)","4,100kg(9,000lb)to6,000kg(13,000lb)","","2001","MitsubishiHeavyIndustries/ATK","Inservice",""
"H-II","H-IIB","Japan","Mediumliftexpendablelaunchvehicle","16,500kg(36,400lb)","8,000kg(18,000lb)","","2009","MitsubishiHeavyIndustries","Inservice",""
"H3","H3","Japan","Mediumliftexpendablelaunchvehicle","",">8,000kg(18,000lb)",">4,000kg(8,800lb)toSSO(Minimumconfiguration)","2020(Planned)","MitsubishiHeavyIndustries","Underdevelopment",""
"J-I","J-I","Japan","Experimentalexpendablelaunchvehicle","–","–","1,054kg(2,324lb)along1,300km(810mi)downrange.","1996","NASDA/ISAS","Retired",""
"Jielong-1","Jielong-1","China","Smallliftexpendablelaunchvehicle","","N/A","150kg(330lb)to700km(430mi)(SSO)","2019","CALT","Inservice",""
"Kaituozhe","Kaituozhe-1","China","Smallliftexpendablelaunchvehicle","100kg(220lb)","Notapplicable","","2002","CASC","Retired",""
"Kaituozhe","Kaituozhe-2","China","Smallliftexpendablelaunchvehicle","800kg(1,800lb)","","","2017","CASC","Inservice",""
"Kaituozhe","Kaituozhe-2A","China","Mediumliftexpendablelaunchvehicle","2,000km(1,200mi)","","","","Unconfirmed","CASC","Unknown"
"Kuaizhou","Kuaizhou1","China","Smallliftexpendablelaunchvehicle","","N/A","430kg(950lb)to500km(310mi)(SSO)","2013","CASC","Inservice",""
"Kuaizhou","Kuaizhou-1A","China","Smallliftexpendablelaunchvehicle","300kg(660lb)","N/A","250kg(550lb)to500km(310mi)(SSO)200kg(440lb)to700km(430mi)(SSO)","2017","CASC","Inservice",""
"Kuaizhou","Kuaizhou-11","China","Smallliftexpendablelaunchvehicle","1,500kg(3,300lb)","","1,000kg(2,200lb)to700km(430mi)(SSO)","2019–20(Planned)","CASC","Underdevelopment",""
"Kuaizhou","Kuaizhou-21","China","Heavyliftexpendablelaunchvehicle","20,000kg(44,000lb)","","","2025(Projected)","CASC","Underdevelopment",""
"Kuaizhou","Kuaizhou-31","China","Superheavyliftexpendablelaunchvehicle","70,000kg(150,000lb)","","","","TBD","CASC","Underdevelopment"
"Lambda(rocketfamily)","Lambda(rocketfamily)","Japan","Smallliftexpendablelaunchvehicle","26kg(57lb)","","","1970","ISAS/Nissan","Retired",""
"Long1Marchrocketfamily","LongMarch1","China","Smallliftexpendablelaunchvehicle","300kg(660lb)","N/A","","1970","MAI/CASC/CAST","Retired",""
"Long1Marchrocketfamily","LongMarch1D","China","Smallliftexpendablelaunchvehicle","930kg(2,050lb)","N/A","","1995","CALT","Retired",""
"LongMarch2","LongMarch2A","China","Mediumliftexpendablelaunchvehicle","2,000kg(4,400lb)","","","1974","CALT","Retired",""
"LongMarch2","LongMarch2C","China","Mediumliftexpendablelaunchvehicle","3,850kg(8,490lb)","1,250kg(2,760lb)","1,900kg(4,200lb)toSSO","1982","CALT","Inservice",""
"LongMarch2","LongMarch2D","China","Mediumliftexpendablelaunchvehicle","3,500kg(7,700lb)","","1,300kg(2,900lb)toSSO","1992","CALT","Inservice",""
"LongMarch2","LongMarch2E","China","Mediumliftexpendablelaunchvehicle","9,500kg(20,900lb)","3,500kg(7,700lb)","","1990","CALT","Inservice",""
"LongMarch2","LongMarch2F","China","Mediumliftexpendablelaunchvehicle","8,400kg(18,500lb)","","","1990","CALT","Inservice",""
"LongMarch3","Long3March","China","Mediumliftexpendablelaunchvehicle","5,000kg(11,000lb)","1,500kg(3,300lb)","","1984","CALT","Retired",""
"LongMarch3","LongMarch3A","China","Mediumliftexpendablelaunchvehicle","8,500kg(18,700lb)","2,600kg(5,700lb)","1,600kg(3,500lb)toHCO","1993","CALT","Inservice",""
"LongMarch3","LongMarch3B,3B/E","China","Mediumliftexpendablelaunchvehicle","11,500kg(25,400lb)","5,100kg(11,200lb)","3,300kg(7,300lb)toHCO2,000kg(4,400lb)toGEO","1996","CALT","Inservice",""
"LongMarch3","LongMarch3C,3C/E","China","Mediumliftexpendablelaunchvehicle","","3,900kg(8,600lb)","2,400kg(5,300lb)toHCO","2008","CALT","Inservice",""
"LongMarch4","LongMarch4A","China","Mediumliftexpendablelaunchvehicle","4,000kg(8,800lb)","","1,500kg(3,300lb)toSun-synchronousorbit","1988","CALT","Retired",""
"LongMarch4","LongMarch4B","China","Mediumliftexpendablelaunchvehicle","4,200kg(9,300lb)","1,500kg(3,300lb)","2,800kg(6,200lb)toSSO","1999","CALT","Inservice",""
"LongMarch4","LongMarch4C","China","Mediumliftexpendablelaunchvehicle","4,200kg(9,300lb)","1,500kg(3,300lb)","2,800kg(6,200lb)toSSO","2006","CALT","Inservice",""
"LongMarch5","LongMarch5","China","Heavyliftexpendablelaunchvehicle","25,000kg(55,000lb)(200km(120mi)x400km(250mi))","14,000kg(31,000lb)","8,200kg(18,100lb)toTLI","2016","CALT","Inservice",""
"LongMarch6","LongMarch6","China","Smallliftexpendablelaunchvehicle","","N/A","1,080kg(2,380lb)to700km(430mi)(SSO)","2015","CALT","Inservice",""
"LongMarch7","LongMarch7","China","Mediumliftexpendablelaunchvehicle","13,500kg(29,800lb)(200km(120mi)x400km(250mi))","5,500kg(12,100lb)","","2016","CALT","Inservice",""
"LongMarch9","LongMarch9","China","Superheavylift","140,000","66,000","50,000toTLI44,000toTMI","2028–2030","CALT","Indevelopment",""
"LongMarch11","LongMarch11","China","Smallliftexpendablelaunchvehicle","700kg(1,500lb)","","350kg(770lb)to700km(430mi)(Sun-synchronousorbit)","2015","CALT","Inservice",""
"Mu(rocketfamily)","Mu-3C","Japan","Smallliftexpendablelaunchvehicle","195kg(430lb)","","","1974","ISAS/Nissan/IHI","Retired",""
"Mu(rocketfamily)","Mu-3H","Japan","Smallliftexpendablelaunchvehicle","300kg(660lb)","","","1977","ISAS/Nissan/IHI","Retired",""
"Mu(rocketfamily)","Mu-3S","Japan","Smallliftexpendablelaunchvehicle","300kg(660lb)","","","1980","ISAS/Nissan/IHI","Retired",""
"Mu(rocketfamily)","Mu-3SII","Japan","Smallliftexpendablelaunchvehicle","770kg(1,700lb)","","","1985","ISAS/Nissan/IHI","Retired",""
"Mu(rocketfamily)","Mu-4S","Japan","Smallliftexpendablelaunchvehicle","180kg(400lb)","","","1971","ISAS/Nissan/IHI","Retired",""
"Mu(rocketfamily)","M-V","Japan","Smallliftexpendablelaunchvehicle","1,850kg(4,080lb)","","1,300kg(2,900lb)toPolarLEO","1997","ISAS/Nissan/IHI","Retired",""
"N(rocketfamily)","N-I","UnitedStatesJapan","Smallliftexpendablelaunchvehicle","1,200kg(2,600lb)","360kg(790lb)","","1975","MitsubishiHeavyIndustries/McDonnellDouglas","Retired",""
"N(rocketfamily)","N-II","UnitedStatesJapan","Mediumliftexpendablelaunchvehicle","2,000kg(4,400lb)","730kg(1,610lb)","","1981","MitsubishiHeavyIndustries/McDonnellDouglas","Retired",""
"Paektusan-1","Paektusan-1","NorthKorea","Smallliftexpendablelaunchvehicle","700kg(1,500lb)","","","1998","KCST","Retired",""
"PolarSatelliteLaunchVehicle","PSLV-G","India","Mediumliftexpendablelaunchvehicle","3,200kg(7,100lb)","1,050kg(2,310lb)","1,600kg(3,500lb)toSSO","1993","ISRO","Retired",""
"PolarSatelliteLaunchVehicle","PSLV-CA","India","Mediumliftexpendablelaunchvehicle","2,100kg(4,600lb)","","1,100kg(2,400lb)toSSO","2007","ISRO","Inservice",""
"PolarSatelliteLaunchVehicle","PSLV-XL","India","Mediumliftexpendablelaunchvehicle","3,800kg(8,400lb)","1,300kg(2,900lb)","1,750kg(3,860lb)toSSO1,350kg(2,980lb)toTMI","2008","ISRO","Inservice",""
"PolarSatelliteLaunchVehicle","PSLV-DL","India","Mediumliftexpendablelaunchvehicle","2,100kg(4,600lb)","","1,100kg(2,400lb)toSSO","2019","ISRO","Inservice",""
"PolarSatelliteLaunchVehicle","PSLV-QL","India","Mediumliftexpendablelaunchvehicle","3,800kg(8,400lb)","1,300kg(2,900lb)","1,750kg(3,860lb)toSSO1,350kg(2,980lb)toTMI","2019","ISRO","Inservice",""
"PolarSatelliteLaunchVehicle","PSLV-3S","India","Smallliftexpendablelaunchvehicle","500kg(1,100lb)(550km(340mi)","","","N/A","ISRO","Conceptonly",""
"Qonoos","Qonoos","Iran","Mediumliftexpendablelaunchvehicle","3,500kg(7,700lb)","1,500kg(3,300lb)","","2025(Projected)","ISA","Underdevelopment",""
"ReusableLaunchVehicle","ReusableLaunchVehicle","India","TSTOReusablelaunchsystem","","","","2016(Flightexperiment)","ISRO","Underdevelopment",""
