"DDC","LCC","Description"
"000","QA71-90","Computerscience,knowledgeandgeneralworks"
"001","A","knowledge"
"002","Z4-659","Thebook"
"003","","Systems"
"004","QA(subrange)","Dataprocessing&computerscience"
"005","QA(subrange)","Computerprogramming,programs&data"
"006","QA(subrange)","Specialcomputermethods"
"010","Z1001–8999","Bibliography"
"020","Z665–718.8","Library&informationsciences"
"030","AE","Generalencyclopedicworks"
"050","AI","Generalserials&theirindexes"
"060","AM111–160","Generalorganization&museology"
"070","AN","Newsmedia"
"070","PN4699–5650","Journalism"
"070","Z278–549","Publishing"
"080","AC","Generalcollections"
"090","Z105–115.5","Manuscripts"
"090","Z1019–1033","Rarebooks"
"100","B","Psychology&Philosophy"
"111","BD300–450","Ontology"
"115","BD493–701","Time"
"120","BD143–237","Epistemology"
"120","BD?","Causation"
"120","BD?","Humankind"
"124","BD493–701","Teleology"
"130","BF1404–2055","Paranormalphenomena/Occultsciences"
"150","BF","Psychology"
"152","HM1041–1101","Perception"
"152","QH?","Movement"
"152","BF511–593","Emotions"
"155","BF712–724","Developmentalpsychology"
"160","BC","Logic"
"170","BJ","Ethics(moralphilosophy)"
"180","B108–708","Classicphilosophy"
"181","B850–5739","Orientalphilosophy"
"182","B108–708","Ancientphilosophy"
"183","B108–708","Sophists&Socraticphilosophies"
"185","B108–708","Aristotelianphilosophy"
"186","B108–708","Skeptic&Neoplatonicphilosophies"
"187","B108–708","Epicureanphilosophy"
"188","B108–708","Stoicphilosophy"
"189","B720–765","MedievalWesternphilosophy"
"190","B790–5802","ModernWesternphilosophy"
"200","BL","Religion"
"210","BL175–265","Naturaltheology"
"212","BL205–216","NatureofGod"
"220","BS","Bible"
"221","BS701–1830","OldTestament"
"225","BS1901–2970","NewTestament"
"226","BS2547–2970?","Gospels&ActsoftheApostles"
"227","BS2640–2765.6","Epistles"
"228","BS2547–2970?","Revelation"
"229","BS2547–2970?","Apocrypha"
"230","BR","Christiantheology"
"232","BT198–590","Jesus&hisfamily"
"236","BT819–891","Eschatology"
"250","BR?","Christianorders&localchurch"
"260","BR?","Christiansocialtheology"
"270","BR140–1510","Christianchurchhistory"
"280","BX?","ListofChristiandenominations"
"282","BX800–4795","RomanCatholicChurch"
"283","BX5001–6093","Anglicanchurches(EnglishandProtestantEpiscopal)"
"284","BX?","ProtestantsofContinentalorigin"
"286","BX6201–6495,BX7301–7343,BX6101–6193","Baptist,DisciplesofChrist,Adventist"
"287","BX8201–8495","Methodist&relatedchurches"
"289","BX7601–7795,BX7801–7843,BX8101–8144,BX8799–8809,BX9751–9793,BX9998","Otherdenominationsandsects"
"290","BL660–2680","Non-Christianreligion"
"292","BL700–820","GreekmythologyandRomanmythology"
"295","BL1500–1590","Zoroastrianism"
"296","BM","Judaism"
"297","BP","Islam,Bábísm,Bahá?íFaith"
"300","H","Socialsciences"
"301","HM","Sociology"
"301","GN","Anthropology"
"310","HA154–473","Generalstatistics(ofpartsoftheworld)"
"320","J","Politicalscience"
"327","JZ","Internationalrelations"
"330","HB","Economics"
"331","HD4801–8943","Laboreconomics"
"332","HG","Financialeconomics"
"333","HD101–1399","Economicsofland"
"333","HD9502","Economicsofenergy"
"336","HJ","Publicfinance"
"339","HB?","Macroeconomics"
"340","K","Law"
"341","KZ","Internationallaw"
"345","K5000–5582","Criminallaw"
"346","KB479","Privatelaw"
"347","K2201–2385","Civilprocedure"
"347","K2100–2385","Courts"
"350","JF","Publicadministration"
"352","JS","Citygovernment"
"353","JK1–9593","U.S.federalgovernment"
"353","JK2403–9593","U.S.stategovernments"
"355","U","MilitaryScience"
"360","H","Socialservices;association"
"361","HN","Generalsocialproblems&services"
"362","HN","Socialwelfareproblems&services"
"363","HN","Othersocialproblems&services"
"364","HV6001–7220","Criminology"
"365","HV8301–9920","Penal&relatedinstitutions"
"366","HS","Association"
"367","HS","Generalclubs"
"368","K1960–1973","(Social)Insurance"
"370","L","Education"
"371","LB3011–3095","Schoolmanagement"
"371","LC3950–4806.5","Specialeducation"
"372","LB1501–1602","Elementaryeducation"
"373","LB1603–1699","Secondaryeducation"
"374","LC5201–6661","Adulteducation"
"376","LC1401–2572","Educationofwomen"
"377","LC321–951","Schools&religion"
"378","LB2300–2430","Highereducation"
"380","HF","Commerce,communications,transport"
"382","HF1","Internationalcommerce(Foreigntrade)"
"383","HE6000–7500","Postalcommunications"
"384","HE","Communications"
"384","HE7601–8700.9","Telecommunication"
"385","HE1001–5600","Railways"
"386","HE380–560","Inlandwaterway"
"386","HE5751–5870","Ferrytransportation"
"387","HE380–971","Watertransportation"
"387","HE9761–9900","Airtransportation"
"387","TL787–4050","Spacetransportation"
"388","HE","Transport"
"390","GT","Customs"
"390","BJ1801–2195","Etiquette"
"390","GR","Folklore"
"391","GT500–2370","CostumeandPersonalAppearance"
"392","GT2400–3390.5","Customsoflifecycle&privatelife"
"393","GT2400–3390.5","CustomsofDeath"
"395","BJ1801–2195","Etiquette"
"398","GR","Folklore"
"400","P","Language"
"410","P101–410","Linguistics"
"411","P327–327.5","Writingsystems"
"412","P321–324.5","Etymology"
"414","P?","Phonologyphonetics"
"415","P201–299","Grammar"
"419","PM8001–8995","Signlanguage"
"420","PE","Englishlanguage"
"430","PD","Germaniclanguages"
"440","PC2001–3761","Frenchlanguage"
"449","PC3201–3366","Provençal"
"449","PC3801–3976","Catalan"
"450","PC1001–1977","Italianlanguage"
"459","PC601–872","Romanianlanguage"
"459","PC901–986","Rhaeto–Romaniclanguage"
"460","PC4001–4977","Spanishlanguage"
"469","PC5001–5498","Portugueselanguage"
"470","PA2001–2915","Latinlanguage"
"480","PA201–899","Greeklanguage"
"490","P501–769","Indo-EuropeanLanguages"
"492","PJ991–995","Afro-Asiaticlanguages"
"494","PL1–481","Altaiclanguages"
"495","PL3521–4001","Sino-Tibetanlanguages"
"496","PL8000–8844","Africanlanguages"
"497","PM101–2711","NorthAmericanlanguages(NativeAmericanlanguages)"
"498","PM3001–4566","CentralAmericanLanguages(NativeAmericanlanguages)"
"498","PM5001–7356","SouthAmericanLanguages(NativeAmericanlanguages)"
"500","Q","Naturalsciences&mathematics"
"510","QA","Mathematics"
"512","QA150–272","Algebra"
"513","QA101–145","Arithmetic"
"514","QA612–699","Topology"
"515","QA299–433","Analysis/Calculus"
"516","QA440–611","Geometry(excludingTopology)"
"519","QA273–299","Probability,Statistics,Numericalanalysis"
"520","QB","Astronomy"
"521","QB349–421","Celestialmechanics"
"530","QC","Physics"
"531","QC120–168.85","Classicalmechanics;Solidmechanics"
"532","QC120–168.85","Fluidmechanics;Liquidmechanics"
"533","QC120–168.85","Gasmechanics"
"534","QC221–246","Sound&relatedvibrations"
"535","QC350–467","Light&paraphoticphenomena"
"536","QC251–338.5","Heat"
"537","QC501–721","Electricity&electronics"
"538","QC750–766","Magnetism"
"539","QC770–798","Modernphysics"
"540","QD","Chemistry&alliedsciences"
"541","QD450–801","Physical&theoreticalchemistry"
"542","QD1–65","Techniques,equipment,materials"
"543","QD71–142","Analyticalchemistry"
"544","QD71–142","Qualitativeanalysis"
"545","QD71–142","Quantitativeanalysis"
"546","QD146–197","Inorganicchemistry"
"547","QD241–441","Organicchemistry"
"548","QD0001–0999","Crystallography"
"549","QE351–399.2","Mineralogy"
"550","QE","Earthsciences"
"551","QE","Geology"
"551","GB651–2998","Hydrology"
"551","QC851–999","Meteorology"
"552","QE420–499","Petrology"
"553","QE?","Economicgeology"
"560","QE701–760","Paleontology"
"560","QE7601–899","Paleozoology"
"570","QH301–705.5","Lifesciences–Biology"
"572","QD415–436","Biochemistry"
"572","GN","Anthropology"
"573","GN49–298","Physicalanthropology"
"574","QH301–705.5","Biology"
"575","QH359–425","Evolution"
"575","QH426–470","Genetics"
"576","QH573–671","Microbiology"
"577","QH540–549.5","Ecology"
"578","QH201–278.5","Microscopyinbiology"
