"Countrycode","Country","Speedlimitonmotorway(km/h)","Speedlimitondualcarriageway(km/h)","Speedlimitonsinglecarriageway(km/h)","Speedlimitinurbanarea","Permittedalcohollevel(%)","Tollroads","Seatbeltrequired","Minimumchildage(frontseat)","Trianglerequired","Firstaidrequired","Fireextinguisherrequired","Sparebulbrequired","Minimumdriver'sage","Towroperequired"
"A","Austria","130","100","100","50","0.05","Yes","All","N/A","Yes","Yes","Recommended","No","17","Yes"
"AL","Albania","110","N/A","90","40","0","","Yes","N/A","Recommended","Recommended","Recommended","No","18","Yes"
"AND","Andorra","N/A","N/A","90","50","0.05","","Front","10","Yes","Recommended","Recommended","No","18","Yes"
"B","Belgium","120","90","70(Flanders);90(Wallonia)","50","0.05","No","All","12","Yes","Yes","Yes","No","18(17withsupervisionofparents)","Yes"
"BG","Bulgaria","140","N/A","90","50","0.05","Yes","All","10","Yes","Yes","Yes","Yes","18","Yes"
"BIH","BosniaandHerzegovina","130","100","80","50","0.03","","Yes","12","Yes","Yes","Recommended","Yes","18","Yes"
"BY","Belarus","110","N/A","90","60","0.03","Yes","Yes","12","Yes","Yes","Yes","No","18","Yes"
"CH","Switzerland","120","N/A","80(100onlimited-accessroads)","50","0.05","Yes","All","","Yes","Recommended","Recommended","No","18","Yes"
"CY","Cyprus","100","N/A","80","50","0.05","","All","12","Yes,2x","Recommended","Recommended","No","18","Yes"
"CZ","CzechRepublic","130(urban80)","110(urban80)","90","50","0(tolerated0.02)","Yes","All","","Yes","Yes","Recommended","No","18(17forB1cars)","No"
"D","Germany","noorspeedlimitsign(130recommended)","noorspeedlimitsign(130recommended)","100","50","0.05","No","All","N/A","Yes","Yes","Recommended","No","18(17withsupervisionof>30yearsolddriver)","No"
"DK","Denmark","130","N/A","80","50","0.05","Yes","All","N/A","Yes","Recommended","Recommended","No","18","Yes"
"E","Spain","120","120","90","50","0.05","Yes","All","N/A","Yes,2x","Recommended","Recommended","No","18","Yes"
"EST","Estonia","110","110","90","50","0","","All","N/A","Yes","Yes","Yes","No","18(16withsupervisionofapersonwith2+yearsofdrivingexperience)","Yes"
"F","France","130(rain/wet110)","110(rain/wet100)","80","50","0.05","Yes","All","10","Yes","Recommended","Recommended","No","18(15withsupervisionofapersonwith5+yearsofdrivingexperience)","Yes"
"FIN","Finland","120","N/A","80–100","50","0.05","No","All","3","Yes","Recommended","Recommended","No","17(16withsupervisionofa25+yearsoldpersonwith5+yearsofdrivingexperience)","Yes"
"FL","Liechtenstein","N/A","N/A","80","50","0.08","","All","N/A","Yes","Yes","Recommended","No","18","Yes"
"GB","UnitedKingdom","113(70mph)","113(70mph)","97(60mph)","48(30mph)","0.08(0.05Scotland)","Yes","All","N/A","Recommended","Recommended","Recommended","No","17","No"
"GR","Greece","130","N/A","90","50","0.05","","All","12","Yes","Yes","Yes","No","18","Yes"
"H","Hungary","130","110","90","50","0","Yes","All","12","Yes","Yes","Recommended","No","18(17withsupervisionofsomeonewith10+yearsdrive-experience)","Yes"
"HR","Croatia","130","110","80","50","0.05","Yes","All","12","Yes","Yes","Recommended","Yes","18","No"
"I","Italy","130","110","90","50","0.05","Yes","All","12","Yes","Recommended","Recommended","No","18","Yes"
"IRL","Ireland","120","N/A","80(local&regionalroads);100(nationalroads)","50","0.05","Yes","All","N/A","Recommended","Recommended","Recommended","No","17","Yes"
