"Editor","JPEG","GIF","PNG","TIFF","SVG"
"Amaya","Yes","Yes","Yes","Yes","Yes"
"Aptana","Yes","Yes","Yes","Yes","Depends"
"Arachnophilia","?","?","?","?","?"
"Bluefish","Yes","Yes","Yes","Yes","Yes"
"BlueGriffon","Yes","Yes","Yes","No","Yes"
"Brackets","Yes","Yes","Yes","No","Yes(viaextension)"
"ClarisHomepage","Yes","Yes","No","No","No"
"Codelobster","Yes","Yes","Yes","No","No"
"CoffeeCupHTMLEditor","Yes","Yes","Yes","Yes","No"
"Dreamweaver","Yes","Yes","Yes","Yes","Yes"
"Freeway","Yes","Yes","Yes","Yes","Yes"
"GoLive","Yes","Yes","Yes","No","Yes"
"KompoZer","Yes","Yes","Yes","No","No"
"Maqetta","?","?","?","?","?"
"MicrosoftExpressionWeb","Yes","Yes","Yes","Yes","No"
"MicrosoftFrontPage","Yes","Yes","Yes","?","Depends"
"MicrosoftSharePointDesigner","Yes","Yes","Yes","Yes","No"
"MicrosoftVisualWebDeveloper","Yes","Yes","Yes","Yes","No"
"Mobirise","Yes","Yes","Yes","Yes","Yes"
"Nvu","Yes","Yes","Yes","No","No"
"openElement","Yes","Yes","Yes","No","No"
"OpenOffice.org","Yes","Yes","Yes","Yes","Yes"
"oXygenXMLEditor","Yes","Yes","Yes","Yes","Yes"
"QuantaPlus","Yes","Yes","Yes","Yes","Yes"
"RocketCake","Yes","Yes","Yes","No","No"
"SeaMonkeyComposer","Yes","Yes","Yes","No","Yes"
"TOWeb","Yes","Yes","Yes","No","No"
"WebArchitect","Yes","Yes","Yes","Yes","Depends"
"WebStormIDE","Yes","Yes","Yes","No","No"
"Editor","JPEG","GIF","PNG","TIFF","SVG"
