"Client","CHAT","Whiteboard","SEND","RESUME","TSEND","SENDT","XMIT","PassiveDCC","Server","RDCC","REVERSE","RSEND","Reverse/FirewallDCC","Fileservers(FSERVs)","XDCC","VOICE"
"Bersirc","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"BitchX","Yes","No","Yes","Yes","Yes","Yes","?","No","No","?","?","?","?","?","Yes","?"
"ChatZilla","Yes","No","Yes","No","?","?","No","No","No","No","No","No","No","No","?","?"
"Colloquy","Yes","?","Yes","Yes","?","?","?","Yes","No","?","?","?","?","?","Yes","?"
"degesch","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"DMDirc","Yes","No","Yes","Yes","?","?","No","Yes","No","No","No","No","Yes","No","No","?"
"ERC","Yes","?","Yes","?","?","?","?","?","?","?","?","?","?","?","?","?"
"HexChat","Yes","No","Yes","Yes","?","?","?","Yes","?","?","?","?","?","?","Yes","?"
"HydraIRC","Yes","No","Yes","Yes","?","?","No","?","?","?","?","?","?","No","No","?"
"IceChat","Yes","No","Yes","?","?","?","No","?","?","?","?","?","?","No","No","?"
"IRCCloud","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"ircII","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"IRCjr","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Ircle","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?"
"Irssi","Yes","No","Yes","Yes","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"KiwiIRC","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Konversation","Yes","Yes","Yes","Yes","?","?","?","Yes","No","?","?","?","Yes","?","Yes","?"
"KVIrc","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes"
"LimeChat","?","?","?","?","?","?","?","Yes","Yes","?","?","?","?","?","?","?"
"Linkinus","?","?","?","?","?","?","?","Yes","No","?","?","?","?","?","?","?"
"Mibbit","No","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"mIRC","Yes","?","Yes","Yes","?","?","?","Yes","Yes","Yes","?","?","Yes","Yes","Yes","?"
"Nettalk","Yes","No","Yes","Yes","No","No","No","No","Partial","No","No","No","No","?","?","?"
"PIRCH","Yes","No","Yes","Yes","?","?","No","No","No","No","No","No","No","No","No","?"
"PJIRC","Yes","No","Yes","Yes","?","?","?","?","?","?","?","?","?","?","?","?"
"Quassel","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"qwebirc","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"rcirc","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","?"
"Smuxi","?","?","?","?","?","?","?","No","No","?","?","?","?","?","?","?"
"Snak","Yes","?","Yes","Yes","?","Yes","?","No","No","?","?","?","?","?","?","?"
"VisualIRC","?","Yes","?","Yes","?","?","?","Yes","No","?","?","?","Yes","?","?","Yes"
"WeeChat","Yes","?","Yes","?","?","?","?","No","No","?","?","?","?","?","Yes","?"
