"","AngularJS","ApacheRoyale","Cash","Dojo","Ember.js","Enyo","ExtJS","GoogleWebToolkit","jQuery","jQWidgets","MooTools","OpenUI5","Prototype&script.aculo.us","qooxdoo","SproutCore","Svelte","Vue","Wakanda","ZK","Webix"
"Featuredetection","Yes","","","Yes","Yes","","Yes","No","Yes","Yes","Yes","","No","Yes","Yes","","","Partial","No","Yes"
"DOMwrapped","Yes","","Yes","Yes","No","Yes","Yes","Yes","Yes","","No","","No","Yes","No","","","Yes","Yes","Yes"
"XMLHttpRequestdataretrieval","Yes","Yes","No","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","","Yes"
"WebSocket","","","","Yes","","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","ViaPlugin","","","Yes","","Yes"
"Serverpushdataretrieval","","","","Yes","","","Yes","Yes","Yes","No","","","","","ViaPlugin","","","","Yes","Yes"
"Otherdataretrieval","","Yes:XML,HTML,CSV,ATOM,AMF,JSON","","Yes:XML,HTML,CSV,ATOM","","","Yes:XML,SOAP,AMF,Ext.Direct","Yes:RPC,RequestFactory","Yes:XML,HTML","Yes:XML,JSON,CSV,TSV","Yes:XML,HTML","","","","","","","Yes:JSON-RPC,WakandaREST","","Yes:XML,HTML,CS,JSON,JSArray,CSV"
"Draganddrop","","Yes","","Yes","","","Yes","Withplugin","Withplugins","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes"
"Simplevisualeffects","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes"
"Animation/advancedvisualeffects","Yes","","","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","","Yes","Yes","Yes"
"Backbuttonsupport/historymanagement","","","","Yes","Yes","Yes","Yes","Yes","Withplugins","No","Withplugin","","Yes","Yes","Yes","","","","Yes","Yes"
"Inputformwidgets&validation","Yes","Yes","","Yes","","Yes","Yes","Yes,Validationrequiresplugin","Withplugins","Yes","Yes","Yes","Yes","Yes","Yes","","","Yes","Yes","Yes"
"","AngularJS","ApacheRoyale","Cash","Dojo","Ember.js","Enyo","ExtJS","GoogleWebToolkit","jQuery","jQWidgets","MooTools","OpenUI5","Prototype&script.aculo.us","qooxdoo","SproutCore","Svelte","Vue","Wakanda","ZK","Webix"
"Grid","","Yes","","Yes","","","Yes","Yes","Withplugins","Yes","Withplugin","Yes","","Yes","Yes","","","Yes","Yes","Yes"
"HierarchicalTree","","Yes","","Yes","","Yes","Yes","Yes","Withplugins","Yes","Withplugins","Yes","","Yes","Yes","","","Yes(AutoForm)","Yes","Yes"
"Richtexteditor","No","Yes","","Yes","","","Yes","Yes","Withplugins","Yes","Yes","","","Yes","Viaplugin","","","Yes","Yes","Yes"
"Autocompletiontools","No","","","Yes","","","Yes","Yes","Yes","Yes","Withplugin","","Yes","","Withplugins","","","Yes","Yes","Yes"
"HTMLgenerationtools","No","","","Yes","","","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","","No","Yes","Yes"
"Widgetsthemeable/skinnable","","Yes","","Yes","","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","","Yes","","","","Yes","Yes"
"GUIresizablepanelsandmodaldialogs","","Yes","","Yes","","Yes","Yes","Yes","Withplugins","Yes","Yes","","","Yes","Yes","","","Yes","Yes","Yes"
"GUIpagelayout","","","","Yes","","","Yes","Yes","Withplugin","Yes","Yes","","","Yes","Yes","","","Yes","Yes","Yes"
"Canvassupport","","Yes","","Yes","","Yes","Yes","Yes","Withplugin","Yes","Yes","","","Yes","Yes","","","Yes","Yes","Yes"
"Mobile/tabletsupport(touchevents)","Yes","Yes","","Yes","Yes","Yes","Yes","Withplugin","Withplugin","Yes","Withplugin","Yes","","Yes","Yes","","","Yes","Yes","Yes"
"Accessibility/gracefuldegradation","Yes","","","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","","","No","Degradation:NoAccessibility:Yes","","","","Yes","Yes"
"ARIAcompliant","","","","Yes","","","Yes","","Yes","Yes","","Yes","","No","Yes","","","","Yes","Yes"
"Developertools,Visualdesign","","","","Yes","","inprogress","Yes","Yes","Yes","Yes","Yes","","","Yes","No","","","Yes","Yes","Yes"
"Offlinestorage","","Yes","","No","","Yes","Yes","ViaGoogleGears","Withplugin","Yes","","","","Yes","Yes","","","planned","Yes","Yes"
"Cross-browser2dVectorGraphics","","","","Yes","","","Yes","","Withplugin","Yes","Yes","","","","No]","","","Yes(viaRaphael)","Yes","Yes(viaRaphael)"
"Charting&Dashboard","","Yes","","Yes","","","Yes","","Withplugin","Yes","","","","","No","","","Yes","Yes","Yes"
"RTLSupportinUIComponents","","Yes","","Yes","","","Yes","","Dependsonthepluginused","Yes","","Yes","","","Yes","","","","","No"
