"Distribution","Founder","Maintainer","Initialreleaseyear","Currentstableversion","Securityupdates(years)","Releasedate","Systemdistributioncommitment","Forkedfrom","Targetaudience","Cost","Status"
"AlmaLinux","AlmaLinuxFoundation","AlmaLinuxFoundation","2021","8.4","10years","2021-05-26","X","RedHatEnterpriseLinux(RHEL)","server,workstation","None","Active"
"AlpineLinux","AlpineLinuxTeam","AlpineLinuxTeam","2006","3.14.1","?","2021-08-04","X","LEAFProject","security,lightweight,general","None","Active"
"ALTLinux","ALTLinuxTeam","ALTLinuxTeam,ALTLinuxLLC","2001","10.0","?","2021-12-16","X","MandrakeLinux","general,school","None","Active"
"antiX","Anticapitalista","Anticapitalista","2007","19.4","?","2021-05-21","X","Debian,MEPIS","oldcomputers","None","Active"
"ArchBang","WillenskyAristide","StanMcLaren","2011","Rolling","Rolling","?","X","ArchLinux(UKMEdition)","general","None","Active"
"ArchLinux","JuddVinet","devteam","2002","Rolling","Rolling","Rolling","X","Independent,inspiredfromCRUX","general","None","Active"
"BLAG","BrixtonLinuxActionGroup","BrixtonLinuxActionGroup","2002","140k","?","2011-05-04","100%Free:GNUFSDG","Fedora","desktop","None","Inactive"
"BodhiLinux","BodhiLinuxTeam","BodhiLinuxTeam","2011","6.0.0","?","2021-05-12","X","Debian,Ubuntu","desktop,lightweight","None","Active"
"Canaima","CANTV/CNTI/CENTIDEL/Edelca/VIT/FUNDACITE/Freesoftwarecommunity","CANTV/CNTI/CENTIDEL/Edelca/VIT/FUNDACITE/Freesoftwarecommunity","2007","6.1","?","2020-06-24","X","Debian,Ubuntu","GovernmentofVenezuela","None","Active"
"CentOS","CentOSProject","CentOSProject","2003","8.2-2105","10years","2021-07-03","X","RedHatEnterpriseLinux(RHEL)","server,workstation","None","Active"
"Chakra","JanMetteandArchLinuxKDEmoddevelopers","TheChakraProjectTeam","2010","Rolling","Rolling","?","X","ArchLinux","desktop","None","Active"
"ChromeOS","SundarPichai","Google","2011","92.0.4515.130","Rolling","2021-08-02","X","Gentoolinux","webapplications","None","Active"
"ClearLinuxOS","ArjanvandeVen","Intel","2015","Rolling","Rolling","Rolling","X","Independent","container,server,desktop","None","Active"
"ClearOS","PeterBaldwin","ClearFoundation","2000","7.8","?","2020-06-23","X","RHEL,CentOS","server,gateway,network","Someeditionsarefreeofcharge","Active"
"CrunchBangLinux","PhilipNewborough","PhilipNewborough","2008","11","?","2013-05-06","X","Debian","desktop","None","Inactive"
"DamnSmallLinux","JohnAndrews","devteam","2003","4.4.10","?","2008-11-18","X","Debian,Knoppix","lightweight,portable","None","Inactive"
