"Distribution","DefaultLinuxkernel","Defaultfilesystem","Defaultinitsystem","Install-timedesktopenvironmentorwindowmanagerselection","Reproduciblebuilds"
"AlpineLinux","Binaryblobs","ext4","openrc","none","Inprogress"
"ALTLinux","Binaryblobs","ext3","systemd","KDEPlasmaWorkspaces,Xfce","No"
"ArchLinux","Binaryblobs","none","systemd","Awesome,Budgie,Cinnamon,CuteFish,Deepin,Enlightenment,GNOME,i3,KDE,LXQt,MATE,Sway,Xfce","Inprogress"
"BLAG","Linux-libre","ext3","sysvinit","GNOME","No"
"BodhiLinux","Binaryblobs","ext4","systemd","Moksha(Enlightenmentfork)","No"
"Canaima","Binaryblobs","?","systemd","CinnamonandMATE","No"
"CentOS","Binaryblobs","xfs","systemd","GNOME","No"
"Chakra","Binaryblobs","ext4","systemd","KDEPlasmaWorkspaces","No"
"ClearLinuxOS","","","","",""
"ClearOS","Binaryblobs","ext3","systemd","none(Webbased)","No"
"CoreOS","Binaryblobs","ext4","systemd","None","No"
"CrunchBangLinux","Binaryblobs","ext4","sysvinit","Openbox","No"
"DamnSmallLinux","Binaryblobs","ext3","sysvinit","JWM","No"
"Debian","BydefaultLinux-libre,buttheDebianProjectalsohostsanon-freerepositoryallowingblobstobeinstalledoptionally.BuiltwithLinux-libretools.","ext4","systemd","GNOME,KDE,Xfce,LXDE","Inprogress"
"Devuan","Binaryblobs","ext4","sysvinit","Xfce","No"
"DragoraGNU/Linux-Libre","Linux-libre","ext4","runit","Xfce","No"
"dyne:bolic","Linux-libre","?","systemd","GNOME","No"
"Fedora","Binaryblobs","btrfs","systemd","GNOME(defaultWorkstationEdition),Spinsfor:KDEPlasmaWorkspaces,Xfce,LXDE,MATE(withCompiz),Cinnamon,SugaronaStick","Inprogress"
"Funtoo","Binaryblobs","none","openrc","None","No"
"Gentoo","Binaryblobs","none","openrc","Awesome,Enlightenment,Fluxbox,GNOME,KDE,LXDE-Meta,Openbox,XBMCandXfce(liveDVD)","No"
"gNewSense","DebianLinuxkernel,and(unlikeDebian)blobscannotbeinstalled","ext3","sysvinit","GNOME","No"
"GnoppixLinux","Binaryblobs","ext3","systemd","KDE","No"
"GuixSystem","Linux-libre,Hurd(inprogress)","ext4","GNUShepherd","GNOME,Xfce,MATE,Enlightenment,Openbox,awesome,i3,ratpoison,EXWM","Inprogress"
"HyperbolaGNU/Linux-libre","Linux-libre","none","openrc","none","No"
"KaliLinux","Binaryblobs","ext3","systemd","GNOME","No"
"Knoppix","Binaryblobs","xfs","microknoppix","LXDE","No"
"LibreCMC","Binaryblobs","ext4","busybox-init","none","No"
