"Distribution","Compiletimebufferchecks","Mandatoryaccesscontrol","Softwareexecutablespaceprotection","grsecurity","RSBAC"
"AlpineLinux","Yes","Unknown","PaX","Discontinuedin3.8.0","Unknown"
"BLAG","Unknown","Unknown","Unknown","Unknown","Unknown"
"Android(operatingsystem)","Yes","Yes,sinceAndroidMarshmallow","Optional","Optional","Optional"
"ClearLinuxOS","Unknown","Unknown","Unknown","Unknown","Unknown"
"Debian","Yes","SELinux,AppArmor","PaXoptional","Optional","Optional"
"DragoraGNU/Linux-Libre","Unknown","Unknown","Unknown","Unknown","Unknown"
"dyne:bolic","Unknown","Unknown","Unknown","Unknown","Unknown"
"Fedora","Yes","SELinux","ExecShield","No","No"
"Gentoo","Optional","SELinux,AppArmor","PaXoptional","Optional","Optional"
"gNewSense","Unknown","SELinux,AppArmor","Unknown","Unknown","Unknown"
"GnoppixLinux","Unknown","Unknown","Unknown","Unknown","Unknown"
"GuixSystem","Unknown","Unknown","Unknown","Unknown","Unknown"
"LibreCMC","Unknown","Unknown","Unknown","Unknown","Unknown"
"Mandriva","Unknown","AppArmor","Unknown","Unknown","Yes"
"MusixGNU+Linux","Unknown","Unknown","Unknown","Unknown","Unknown"
"ParabolaGNU/Linux-libre","Unknown","Optional","Unknown","Optional","Unknown"
"Slackware","Unknown","AppArmor,tomoyo","Unknown","Unknown","Optional"
"SUSELinux","Yes","AppArmor","HardwareNXandothermethodsinmainlinekernelandtoolchain","No","No"
"Solus","Yes","AppArmor","Unknown","No","Unknown"
"Trisquel","Unknown","SELinux,AppArmor","Unknown","Unknown","Unknown"
"Ubuntu","Yes","SELinux,AppArmor","PaXoptional","Optional","Optional"
"Ututo","Unknown","Unknown","Unknown","Unknown","Unknown"
