"English","Malay","Indonesian"
"vagina","faraj(fromArabic,inIndonesianmeans""vulva""),pepek/pepet(slang)","alatkelaminwanita,liangperanakan,vagina,farji,memek(slang,vulgar),pepek(slang,vulgar)"
"variable(mathematics)","pembolehubah","variabel,peubah"
"VaticanCity","VaticanCity","(Kota)Vatikan"
"Venice","Venice","Venesia(influencedbyDutchVenetië)"
"verb","katakerja","katakerja(influencedbyDutchwerkwoord,lit.""workword""),verba"
"verification","pengesahan(means""validation""inIndonesian)","verifikasi"
"very","sangat,amat,sekali","sangat,amat,sekali,banget(fromJavanesengoko)"
"vice(deputy)","naib","wakil,naib(lesscommon)"
"victim","mangsainIndonesianmeans""prey""","korban"
"Vienna","Vienna","Wina(influencedbyDutchWenen)"
"violet(colour)","lembayung","violet,ungu,lembayung(rarelyused)"
"virgin","(anak)dara,(anak)gadis,perawan","perawan(formal),gadis,(anak)dara"
"viscosity","kelikatan","viskositas,kekentalan"
"visit","lawatan,pelancongan","wisata,kunjungan,pelancongan,lawatan(toforeigncountry,anexcursion),besuk(fromDutchbezoeken)(tosomeonesick)"
"volleyball","bolatampar","bolavoli"
"volume(math)","isipadu","volume,ruang,isi"
"voucher","baucer","voucer"
