"Resortnameandwebsite","Nearestcity","State/province","Peakelevation(ft)","Baseelevation(ft)","Verticaldrop(ft)","Skiableacreage","Totaltrails","Totallifts","Avgannualsnowfall(in)","Adultweekendliftticketwindowprice(USD)","Datestatisticsupdated"
"SkiBromont","Bromont","Quebec","1,854","590","1,264","450","141","9","190","$54","December1,2019"
"ApexMountainResort","Penticton","BritishColumbia","7,197","5,197","2,000","1,112","79","4","236","$65","November30,2019"
"CanyonSkiArea","RedDeer","Alberta","2,950","2,412","538","80","23","6","45","$35","November30,2019"
"FernieAlpineResort","Fernie","BritishColumbia","7,000","3,450","3,550","2,500","142","10","360","$90","November30,2019"
"MarbleMountainSkiResort","SteadyBrook","NewfoundlandandLabrador","1,791","33","1,759","230","40","5","192","$34","December1,2019"
"WhiteHillsSkiResort","Clarenville","NewfoundlandandLabrador","1,227","482","745","55","27","2","100","$38","December1,2019"
"SkiWentworth","Wentworth","NovaScotia","990","715","815","150","20","3","150","$35","December1,2019"
"MountSima","Whitehorse","Yukon","3,900","2,857","1,043","92","15","3","","$37","November30,2019"
"ShamesMountain","Terrace","BritishColumbia","3,900","2,300","1,600","225","28","3","480","$43","November30,2019"
"CastleMountainResort[1]","PincherCreek","Alberta","7,463","4,630","2,833","3,592","94","6","354","$71.75","November15,2019"
"BoltonValley[2]","Waterbury","Vermont","3,150","2,100","1,704","300","71","6","312","$69","October17,2019"
"Cooper[3]","Leadville","Colorado","11,700","10,500","1,200","470","60","5","260","$70","September19,2019"
"GrandTargheeResort[4]","Alta","Wyoming","10,121","7,851","2,270","2,602","99","5","500","$98","September19,2019"
"StrattonMountainResort[5]","Winhall","Vermont","3,875","1,872","2,003","670","99","11","171","$125","September9,2019"
"Mt.RoseSkiTahoe","Reno","Nevada","9,700","8,260","1,800","1,200","60","8","396","$135","November7,2019"
"SoldierMountain","Fairfield","Idaho","7,177","5,756","1,400","1,180","36","2","","$45","November7,2019"
"PomerelleMountainResort","Albion","Idaho","9,000","8,000","1,000","500","24","2","500","$45","November7,2019"
