"Letter","Danish","Norwegian","Swedish","Danish","Danish","Norwegian","Swedish"
"Letter","Instressedonset","Elsewhere(single)","Elsewhere(double)","Instressedonset","Elsewhere","Instressedonset","Elsewhere"
"v","[v]","[w]","[w]","[ʋ]","[ʋ]","[v]","[v]"
"b","[p]","[p,w]","[p]","[b]","[b]","[b]","[b]"
"p","[pʰ]","[p]","[p]","[pʰ]","[p]","[pʰ]","[p]"
"d","[t]","[ð]","[ð]","[d]","[d]","[d]","[d]"
"t","[tsʰ]","[t]","[t]","[tʰ]","[t]","[tʰ]","[t]"
"g","[k]","[-,j,w]","[k]","[ɡ]","[ɡ]","[ɡ]","[ɡ]"
"k","[kʰ]","[k]","[k]","[kʰ]","[k]","[kʰ]","[k]"
"r","[ʁ]","[ɐ̯,-]","[ɐ̯]","[r]","[r]","[r]","[r]"
