"Model","CodeName","ReleaseDate","CPUSocket","ProcessorsSupported","Fab(nm)","HyperTransport(MHz)","PCI-Express","SLI","PCI","USB","PATA","SATA","LAN","Sound","Features","Notes"
"nForce500","CK8-04","2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports1.5Gbit/s","1000Mbit/s","AC'972.3","","RebrandednForce4"
"nForce500Ultra","CK8-04","2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","AC'972.3","","RebrandednForce4Ultra"
"nForce500SLI","CK8-04","2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","x8+x8","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","AC'972.3","","RebrandednForce4SLI"
"nForce510","MCP51","2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","8PortsRev2.0","1PortsUDMA133","2Ports3.0Gbit/s","100Mbit/s","HDA","",""
"nForce520LE","MPC61/MCP65","2007","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","90nm/?","1GHz","1.0a20lanes","No","5Ports","8PortsRev2.0","1PortsUDMA133","2Ports3.0Gbit/s","100Mbit/s","HDA","","MPC61isenhancedversionofnForce430rev.2withDisabledOnboardGeForce6100"
"nForce520","MCP65","2007","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","1PortsUDMA133","4Ports3.0Gbit/s","100Mbit/s","HDA","",""
"nForce550","MCP55","March7,2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","1PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","",""
"nForce560","MCP65","2007","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","1PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","","SamechipsetasnForce570LTSLIbutwithsomeresistorsremovedthusdisablingSLI"
"nForce560SLI","CK8-04","2007","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","x8+x8","5Ports","10PortsRev2.0","2PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","AC'972.3","","RebrandednForce4SLI"
"nForce570LTSLI","MCP65","2007","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","x8+x8","5Ports","10PortsRev2.0","1PortsUDMA133","4Ports3.0Gbit/s","1000Mbit/s","HDA","",""
"nForce570Ultra","MCP55","March7,2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1GHz","1.0a20lanes","No","5Ports","10PortsRev2.0","1PortsUDMA133","6Ports3.0Gbit/s","2×1000Mbit/s","HDA","",""
"nForce570SLI","MCP55","March7,2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1PortsUDMA133","6Ports3.0Gbit/s","2×1000Mbit/s","1GHz","1.0a28lanes","x8+x8","5Ports","10PortsRev2.0","HDA","",""
"nForce590SLI","Crush51+MCP55","March7,2006","SocketAM2","Athlon64Athlon64X2Athlon64FXOpteronSempronPhenomPhenomII","","1PortsUDMA133","6Ports3.0Gbit/s","2×1000Mbit/s","1GHz","1.0a46lanes","x16+x16","5Ports","10PortsRev2.0","HDA","",""
