"English","Irish","ScottishGaelic","Notes"
"in","i,in","(ann)an","InClassicalIrishtheformswere""i"",""a"",""in"",""an""–""i/in""whenthefollowingsoundwasslender,and""a/an""whenthefollowingsoundwasbroad.InbothIrishandScottish,inthespokenlanguage,thefourformsof""i"",""a"",""in"",""an""stillexist."
"minister","ministir,ministéir","ministear","InIrish,aireforagovernmentminister"
"Bible","Bíobla","Bìoball",""
"Germany","AnGhearmáin","A'Ghearmailt",""
"America","Meiriceá,Meirice","Ameireaga",""
"England","Sasana","Sasainn",""
"London","Londain","Lunnain",""
"road","bóthar/ród","rathad",""
"cold(sickness)","slaghdán","cnatan","Meaningillness"
"talking","agcaint","a'bruidhinn","Bruíon(formerlybruighean)inIrishmeans""fighting"",""quarrelling.""CainntinScottishGaelicisusedasanounonly,meaning""speech,""exceptinArranwhereitisalsoaverb"
