"Implementation","brainpoolP256r1(26)","brainpoolP384r1(27)","brainpoolP512r1(28)","X25519","Curve448Ed448-Goldilocks","M221Curve2213","E222","Curve1174","E382","M383","Curve383187","Curve41417Curve3617","M511Curve511187","E521"
"Botan","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"BoringSSL","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"BSAFE","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"GnuTLS","No","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No"
"JSSE","No","No","No","Yesx25519:JDK13+Ed25519:JDK15+","Yesx448:JDK13+Ed448:JDK15+","No","No","No","No","No","No","No","No","No"
"LibreSSL","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"MatrixSSL","Yes","Yes","Yes","TLS1.3only","No","No","No","No","No","No","No","No","No","No"
"MbedTLS","Yes","Yes","Yes","Primitiveonly","Primitiveonly","No","No","No","No","No","No","No","No","No"
"NSS","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No"
"OpenSSL","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No"
"SChannelVista/2008,7/2008R2,8/2012,8.1/2012R2,10","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"SecureTransport","No","No","No","No","No","No","No","No","No","No","No","No","No","No"
"wolfSSL","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No"
"Erlang/OTPSSLapplication","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No"
"Implementation","brainpoolP256r1(26)","brainpoolP384r1(27)","brainpoolP512r1(28)","Curve25519","Curve448Ed448-Goldilocks","M221Curve2213","E222","Curve1174","E382","M383","Curve383187","Curve41417Curve3617","M511Curve511187","E521"
