"Program","Operatingsystems","License","Opensource","Protocols","Codecs","Encryption","Otherabilities","Latestrelease"
"AcrobitsSoftphone","Androidv2.2+,iOSv7.0+","Proprietary","No","SIP","G.711,G.722,iLBC,GSM,G.729","TLS,SRTP,ZRTP","VOIPoverWi-Fior3GiOSonly:pushnotifications,video,numberrewriting,addressbookmatching,smsforbetamaxprovidersandpennytel","AcrobitsSoftphone:3.20(Android),5.2(iOS)"
"CSipSimple","Android","GPL","Yes","SIP","Opus,AMR-WB,G.722,iSAC,iLBC,Speex,SILK,Codec2,G.726,G711(PCMA&PCMU),AMR,GSM","SRTP,SIPoverTLS1.0andZRTP","?","1.02.02"
"GoogleDuo","iOS,Android","Proprietary,freeware","No","WebRTC","?","?","One-to-onevoiceandvideocalling.","Android114.0/November26,2020;15monthsago(2020-11-26)iOS114.0/November20,2020;16monthsago(2020-11-20)","Android","114.0/November26,2020;15monthsago(2020-11-26)","iOS","114.0/November20,2020;16monthsago(2020-11-20)"
"Android","114.0/November26,2020;15monthsago(2020-11-26)"
"iOS","114.0/November20,2020;16monthsago(2020-11-20)"
"iCallMobile","iOSv4.3+","Proprietary,freeware","No","SIPAIMICQXMPP,Facebook,Yahoo!Messenger,WindowsLive","Speex,CELT,WebM","TLS,ZRTP","VoIPoverWi-Fior3G,SMS,voicemail","2.0.1;April2012;9yearsago(2012-04)"
"JamibySavoir-faireLinux","iOS,Android","GPLv3","Yes","SIP","Video:H264,VP8,MP4V,H263,Audio:Opus48000hz,G722PCMA,PCMU","SRTP,SIPoverTLS","?","Version202103261733March2021;1yearago(2021-03)"
"JajahMobileWeb","Symbian,WindowsMobile(versionunknown)","Proprietary","No","?","?","?","webbasedservice,Callback,nodownload","?"
"JusTexbyJuphoon","Android,iOSv5.1+","Proprietary","No","SIP","PCMA,PCMU,G.722,iLBC,iSAC,Opus,H.264,VP8,H.263","TLS,TCP,UDP,SRTP","JusTexSoftphoneoverWi-Fior3G,HDvoiceandvideocall,Multipartycall,conference.","3.0.1(iOS);July13,2014;7yearsago(2014-07-13);3.0(Android);July9,2014;7yearsago(2014-07-09)"
"Line","Android,iOS","Proprietary","No","?","?","?","?",""
"Line2","Android,iOS","Proprietary,freeware","No","ProprietarywithSIPcore","?","?","Tri-modecalling(cellular,3G/4Gdata,Wi-Fi),SMSoverIP,visualvoicemail,20-personconferencecalls,auto-attendant,call-forwarding","1.0.4Android,3.2.1iOS"
"Media5-fone","iOS,Android","Proprietary","No","SIP","PCMA,PCMU,G.722*,iLBC,iSAC*,G.729*","TLS*,SRTP*","Wi-Fiand3G/4Gdata,secondcall*,conferencecalls*,HDVoice,Bluetooth*(*Additionalfees)","?"
"SignalbytheSignalFoundation","iOS,Android","GPLv3","Yes","WebRTC","Opus","TLS,SignalProtocol","End-to-endencryptionbydefaultforeverything.CallKitandlocationprivacy,one-to-oneandgroupmessaging,videocalling,image/videosharing,timedmessages,identityverification,screenshotblocking.Androidonly:SMS/MMSmessaging,doodling,GIFsharing.","Android5.28.10/6January2022;2monthsago(6January2022)iOS5.32/17March2022;3daysago(17March2022)Desktop5.35.0/9March2022;11daysago(9March2022)","Android","5.28.10/6January2022;2monthsago(6January2022)","iOS","5.32/17March2022;3daysago(17March2022)","Desktop","5.35.0/9March2022;11daysago(9March2022)"
"Android","5.28.10/6January2022;2monthsago(6January2022)"
"iOS","5.32/17March2022;3daysago(17March2022)"
"Desktop","5.35.0/9March2022;11daysago(9March2022)"
"Sipdroid","Android","GPL","Yes","SIP","?","?","UsesWi-Fi,3GorEDGE","2.7"
"TangobyTangoMEInc.","iOS,Android,MicrosoftWindows,macOS,WindowsPhone","Proprietary,freeware","?","?","?","?","VoIP,Wi-Fiout&in,SMSoverIP,call-through&call-back,instantmessaging,videoconferencing","?"
"Truphone","Nokia-Symbian,iOS,Android,BlackBerry","Proprietary,freeware","No","SIP","?","?","VoIP,Wi-Fiout&in,SMSoverIP,call-through&call-back,connectionmanagement,provisioning","Symbian4.0,iOS1.11.1"
"Vopium","Symbian,JavaME,Android,BlackBerryRIM,iOS,WindowsMobile2003SEandhigher","Proprietary,freeware","No","SIP,MSN,Skype,Yahoo,AOL,ICQ,GoogleTalk,Facebook&Twitter","GSM","?","Wi-FiVoIP,GSMcall-through,SMSoverIP,leastcostrouting,synchronising-backupmobilecontactsandcalendar","2.0"
"WhatsApp","Android,BlackBerry,iOS,Symbian,WindowsPhone","Proprietary,freeware","No","?","?","ECDH,SRTP","VoIPandinstantmessagingoverWi-Fioradataconnection.","6361529682"
"WindowsMobile6","WindowsMobile6Professional/Standard","Proprietary","No","SIPtopubliclyandnon-publiclyroutableservers","?","?","Wi-FiMobileVoIP","6.1"
"X-PROforPocketPC","WindowsMobile2003(earlierversionssupportWindowsPocketPC2002)","Proprietary,discontinuedinApril2007","No","SIP","?","?","Supporteddevices:AudioVoxMaestro,Compaq/HPiPAQ:365x,37xx,385x,395x,hx4700,DellAximX51,X51v,Toshibae550,e570.iPAQ545xandToshibae7xxarenotsupported.","2.2"
"Yuilop","Android,iOS,WindowsPhone,BlackBerryOS","Proprietary,freeware","No","XMPP,RTP","iLBC","TLS","VoIPover3G-4G-LTEandWi-fi,SMS,groupchat,photosharing,Locationsharing,virtualphonenumbers","iOS2.4(November26,2014;7yearsago(2014-11-26))[±]Android2.0.2(February12,2014;8yearsago(2014-02-12))[±]WindowsPhone7.x1.0.1.7(September12,2013;8yearsago(2013-09-12))[±]WindowsPhone8.x1.0.0.4(September18,2013;8yearsago(2013-09-18))[±]BlackBerryOS1.0.1(May31,2013;8yearsago(2013-05-31))[±]KindleFire2.0(December19,2013;8yearsago(2013-12-19))[±]"
"Linkus","AndroidV4.4+,iOSv10.0+","Proprietary,freeware","No","SIP","iLBC","TLS,SRTP","HDVoIPCall,InstantMessaging,Conferencing,SRTPSecureMedia,Presenceinformation","iOS2.7.9Android2.7.12"
