"Audiocompressionformat","Algorithm","Samplerate","Bitrate","Bitspersample","Latency","CBR","VBR","Stereo","Multichannel"
"G.711","compandingA-lawor?-law,PCM","8kHz","64kbit/s","8bit(log)","125µs(typical)","Yes","No","No","No"
"G.711.0","LosslesscompressionofG.711","8kHz","0.2–65.6kbit/s","8bit(log)","5–40ms","No","Yes","No","No"
"G.711.1","MDCT,A-law,?-law","8,16kHz","64,80,96kbit/s","16bit","11.875ms","Yes","Yes","No","No"
"G.718","CELP,MDCT,Lossy","8,16kHz","8,12,12.65,16,24,32kbit/s","16bit","42.875–43.875ms","Yes","Yes","No","No"
"G.718B","CELP,MDCT,Lossy,SinusoidalCoding","32kHz","36,40,48kbit/s","16bit","49.625ms","Yes","Yes","No","No"
"G.719","MDCT,Lossy(incorporateselementsofSirenCodecandEricssontechnology)","48kHz","32–88kbit/sin4kbit/ssteps,88–128kbit/sin8kbit/ssteps","16bit","40ms","Yes","No","Yes:onlyinMPEG-4Part12container","Yes:onlyinMPEG-4Part12container"
"G.721","ADPCM,Lossy","8kHz","32kbit/s","13bit","","Yes","No","No","No"
"G.722","sub-bandADPCM,Lossy","16kHz","64kbit/s(comprises48,56or64kbit/saudioand16,8or0kbit/sauxiliarydata)","14bit","4ms","Yes","No","No","No"
"G.722.1","ModulatedLappedTransform(MDCT),Lossy(basedonSirenCodec)","16kHz","24,32kbit/s","16bit","40ms","Yes","No","No","No"
"G.722.1C","ModulatedLappedTransform(MDCT),Lossy(basedonSirenCodec)","32kHz","24,32,48kbit/s","16bit","40ms","Yes","No","No","No"
"G.722.2(AMR-WB)","multi-ratewidebandACELP,Lossy","16kHz","6.60,8.85,12.65,14.25,15.85,18.25,19.85,23.05,23.85kbit/s","14bit","25ms","Yes","Yes","Yes:onlyinMPEG-4Part12container","No"
"G.723","ADPCM,Lossy","8kHz","24,40kbit/s","13bit","","Yes","No","No","No"
"G.723.1","MP-MLQ,ACELP,Lossy","8kHz","5.3,6.3kbit/s","13bit","37.5ms","Yes","No","No","No"
"G.726","ADPCM,Lossy","8kHz","16,24,32,40kbit/s","13bit","125µs","Yes","No","No","No"
"G.727","ADPCM,Lossy","8kHz","16,24,32,40kbit/s","13bit","","Yes","Yes","No","No"
"G.728","low-delayCELP,Lossy","8kHz","16kbit/s","13bit","0.625ms","Yes","No","No","No"
"G.729","CS-ACELP,Lossy","8kHz","8kbit/s","13bit","15ms","Yes","No","No","No"
"G.729D","CS-ACELP,Lossy","8kHz","6.4kbit/s","13bit","","Yes","No","No","No"
"G.729E","CS-ACELP,Lossy","8kHz","11.8kbit/s","13bit","15ms","Yes","No","No","No"
"G.729.1","CELP,TDBWE,TDAC(MDCT),Lossy","8,16kHz","8kbit/s,12–32kbit/sin2kbit/ssteps","16bit","48.9375ms","Yes","Yes","No","No"
