"","Developer","Firstrelease","Latestrelease","License","Platform"
"BattleChess","InterplaySilicon&Synapse(C64)","1988","1994","Commercial","MicrosoftWindows,AppleInc.,Amiga,3DO,AcornArchimedes,Atari,Commodore64,MS-DOS,FMTowns,NES,PC-98,SharpX68000"
"BattleChess:GameofKings","Interplay","2014","n/a","Commercial","Steam"
"Battlevs.Chess","TargemGamesZuxxezEntertainment","2011","n/a","Commercial(TopwareInteractive)","MicrosoftWindows,MacOSX,NintendoDS,PlayStation3,PlayStationPortable,Xbox360,Wii"
"Chessaria:TheTacticalAdventure","PixelWizards","2018","n/a","Commercial","Steam,MicrosoftWindows,MacOSX"
"ChessAssistant","VictorZakharov","1988","2018","Commercial(Convekta)","MicrosoftWindows"
"Chessbase","MathiasWüllenweber,MathiasFeist","1987","2018","Commercial(Chessbase)","MicrosoftWindows,Android,Steam"
"Chessmaster","DavidKittinger,KatheandDanSpracklen,JohandeKoning","1986","2007","Commercial(Ubisoft)","MicrosoftWindows,MS-DOS,PlayStation,Xbox360,(XBLA),PSP,PS2"
"ChessTitans","OberonGames","2007","n/a","IncludedinMicrosoftWindowsVistaand7","WindowsVista,Windows7"
"ChessV","GregoryStrong","2009","n/a","GPL","MicrosoftWindows"
"Fritz","FransMorsch,MathiasFeist,GyulaHorvath,VasikRajlich","1991","2018","Commercial(Chessbase)","MicrosoftWindows,Steam,PlayStation3,Wii,NintendoDS"
"FritzandChesster","Chessbase","2005","2010","Commercial(Chessbase)","MicrosoftWindows,Mac,NintendoDS"
"GNOMEChess","RobertAncell,GNOMETeam","2000","2018","Free","Unix-like"
"GNUChess","StuartCracraft,JohnStanback,ChuaKong-Sian,FabienLetouzey","1984","2013","Free","MicrosoftWindows,Unix-like"
"HIARCS","MarkUniacke","1980","2012","Commercial(Chessbase,Hiarcs.com)","MicrosoftWindows,iOS,MacOSX,WindowsMobile,FreescaleDragonBall,ARM-basedPalmOS"
"Houdini","RobertHoudart","2010","2018","Commercial(Chessbase,Convekta)","MicrosoftWindows"
"Junior","AmirBan,ShayBushinsky","1997","2014","Commercial(Chessbase,Hiarcs.com)","MicrosoftWindows"
"Komodo","DonDailey,LarryKaufman,MarkLefler","2010","2018","Commercial(Chessbase,Komodochess.com)","MicrosoftWindows,Linux,MacintoshOperatingSystem,Android"
"Playchess","Chessbase","2003","2018","Commercial(Chessbase)","MicrosoftWindows,web"
"PlayMagnus","TordRomstad","2014","2018","Freetotrywithin-apppurchases","Android,iOS"
"PureChess","VooFooStudios","2012","n/a","Commercial(Ripstone)","MicrosoftWindows,Android,iOS,PlayStation3,PlayStationVita"
"pyChess","PyChessProject","2006","2018","GPL","Unix-likeMicrosoftWindows"
"Rybka","VasikRajlich","2010","","Commercial(Chessbase,rybkachess.com)","MicrosoftWindows"
"Shredder","StefanMeyer-Kahlen","1993","2010","Commercial(ChessbaseShredderchess.com)","MicrosoftWindows,MacOSX,Linux,iPhone,iPad,Android"
"WiiChess","FritzReul","2008","n/a","Commercial","NintendoWii"
"Winboard/xBoard","TimMann,HarmGeertMuller","","2013","FreeGPL","Unix-like,X11,MicrosoftWindows"
