"Function","Size(bits)","Size(bits)","Size(bits)","Size(bits)","Size(bits)","Size(bits)","Words×Passes=Rounds","Operations","Endian"
"Function","Word","Words×Passes=Rounds","Operations","Endian","Digest","Chainingvalues","Computationvalues","Block","Length"
"GOSTR34.11-94","32","×8=256","×8=256","×8=256","×8=256","32","4","ABLS","Little"
"HAVAL-3-128","32","×4=128","×8=256","×8=256","×32=1,024","64","32×3=96","ABS","Little"
"HAVAL-3-160","32","×5=160","×8=256","×32=1,024","64","32×3=96","ABS","Little"
"HAVAL-3-192","32","×6=192","×8=256","×32=1,024","64","32×3=96","ABS","Little"
"HAVAL-3-224","32","×7=224","×8=256","×32=1,024","64","32×3=96","ABS","Little"
"HAVAL-3-256","32","×8=256","×8=256","×32=1,024","64","32×3=96","ABS","Little"
"HAVAL-4-128","32","×4=128","×8=256","×32=1,024","64","32×4=128","ABS","Little"
"HAVAL-4-160","32","32×4=128","×5=160","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-4-192","32","32×4=128","×6=192","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-4-224","32","32×4=128","×7=224","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-4-256","32","32×4=128","×8=256","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-5-128","32","×4=128","×8=256","×32=1,024","64","32×5=160","ABS","Little"
"HAVAL-5-160","32","32×5=160","×5=160","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-5-192","32","32×5=160","×6=192","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-5-224","32","32×5=160","×7=224","×8=256","×32=1,024","64","ABS","Little"
"HAVAL-5-256","32","32×5=160","×8=256","×8=256","×32=1,024","64","ABS","Little"
"MD2","8","×16=128","×32=256","×48=384","×16=128","None","48×18=864","B","N/A"
"MD4","32","×4=128","×4=128","×4=128","×16=512","64","16×3=48","ABS","Little"
"MD5","32","×4=128","×16=512","64","16×4=64","ABS","Little"
"RIPEMD","32","×4=128","×4=128","×8=256","×16=512","64","16×3=48","ABS","Little"
"RIPEMD-128","32","×4=128","×8=256","×16=512","64","16×4=64","ABS","Little"
"RIPEMD-256","×8=256","16×4=64","32","×8=256","×8=256","×16=512","64","ABS","Little"
"RIPEMD-160","×5=160","32","×5=160","×10=320","×16=512","64","16×5=80","ABS","Little"
"RIPEMD-320","×10=320","32","×10=320","16×5=80","×10=320","×16=512","64","ABS","Little"
"SHA-0","32","×5=160","×5=160","×5=160","×16=512","64","16×5=80","ABS","Big"
"SHA-1","32","×5=160","×16=512","64","16×5=80","ABS","Big"
"SHA-256","32","×8=256","×8=256","×16=512","64","×8=256","ABS","Big","16×4=64"
"SHA-224","32","×8=256","16×4=64","×7=224","×16=512","64","ABS","Big"
"SHA-512","64","×8=512","×8=512","×8=512","×16=1024","128","ABS","Big","16×5=80"
"SHA-384","64","×6=384","×8=512","×16=1024","128","16×5=80","ABS","Big"
"Tiger-192","64","×3=192","×3=192","×3=192","×8=512","64","8×3=24","ABLS","NotSpecified"
"Tiger-160","64","×2.5=160","×3=192","×8=512","64","8×3=24","ABLS","NotSpecified"
"Tiger-128","64","×2=128","×3=192","×8=512","64","8×3=24","ABLS","NotSpecified"
"Function","Word","Digest","Chainingvalues","Computationvalues","Block","Length","Words×Passes=Rounds","Operations","Endian"
"Size(bits)","Size(bits)","Size(bits)","Size(bits)","Size(bits)","Function","Size(bits)","Words×Passes=Rounds","Operations","Endian"
